data,nome,codigo,temperatura
2003-01-31,CONTAGEM,A501,22.517201
2003-02-28,CONTAGEM,A501,24.043555
2003-03-31,CONTAGEM,A501,22.480365
2003-04-30,CONTAGEM,A501,22.213013
2003-05-31,CONTAGEM,A501,19.162626
2003-06-30,CONTAGEM,A501,20.171576
2003-07-31,CONTAGEM,A501,18.64065
2003-08-31,CONTAGEM,A501,19.708713
2003-09-30,CONTAGEM,A501,21.41718
2003-10-31,CONTAGEM,A501,22.326635
2003-11-30,CONTAGEM,A501,22.211938
2003-12-31,CONTAGEM,A501,22.594892
2004-01-31,CONTAGEM,A501,21.928549
2004-02-29,CONTAGEM,A501,
2004-03-31,CONTAGEM,A501,
2004-04-30,CONTAGEM,A501,21.128545
2004-05-31,CONTAGEM,A501,19.703352
2004-06-30,CONTAGEM,A501,18.006967
2004-07-31,CONTAGEM,A501,17.001039
2004-08-31,CONTAGEM,A501,19.664904
2004-09-30,CONTAGEM,A501,22.318512
2004-10-31,CONTAGEM,A501,22.258371
2004-11-30,CONTAGEM,A501,22.857211
2004-12-31,CONTAGEM,A501,21.689798
2005-01-31,CONTAGEM,A501,22.461017
2005-02-28,CONTAGEM,A501,22.335531
2005-03-31,CONTAGEM,A501,22.236197
2005-04-30,CONTAGEM,A501,21.974789
2005-05-31,CONTAGEM,A501,19.974913
2005-06-30,CONTAGEM,A501,
2005-07-31,CONTAGEM,A501,18.076802
2005-08-31,CONTAGEM,A501,20.672433
2005-09-30,CONTAGEM,A501,20.61454
2005-10-31,CONTAGEM,A501,24.075881
2005-11-30,CONTAGEM,A501,20.008396
2005-12-31,CONTAGEM,A501,20.984742
2006-01-31,CONTAGEM,A501,23.189919
2006-02-28,CONTAGEM,A501,24.048855
2006-03-31,CONTAGEM,A501,21.985926
2006-04-30,CONTAGEM,A501,21.769744
2006-05-31,CONTAGEM,A501,19.175158
2006-06-30,CONTAGEM,A501,17.660107
2006-07-31,CONTAGEM,A501,18.750094
2006-08-31,CONTAGEM,A501,20.27686
2006-09-30,CONTAGEM,A501,20.262415
2006-10-31,CONTAGEM,A501,21.206241
2006-11-30,CONTAGEM,A501,21.118726
2006-12-31,CONTAGEM,A501,21.750731
2007-01-31,CONTAGEM,A501,22.032796
2007-02-28,CONTAGEM,A501,22.268194
2007-03-31,CONTAGEM,A501,23.816012
2007-04-30,CONTAGEM,A501,22.209819
2007-05-31,CONTAGEM,A501,19.662776
2007-06-30,CONTAGEM,A501,19.254825
2007-07-31,CONTAGEM,A501,19.083696
2007-08-31,CONTAGEM,A501,19.709911
2007-09-30,CONTAGEM,A501,21.241528
2007-10-31,CONTAGEM,A501,23.176075
2007-11-30,CONTAGEM,A501,22.763482
2007-12-31,CONTAGEM,A501,22.94664
2008-01-31,CONTAGEM,A501,21.726747
2008-02-29,CONTAGEM,A501,22.776935
2008-03-31,CONTAGEM,A501,22.163564
2008-04-30,CONTAGEM,A501,22.437675
2008-05-31,CONTAGEM,A501,19.846944
2008-06-30,CONTAGEM,A501,19.852821
2003-01-31,BARBACENA,A502,
2003-02-28,BARBACENA,A502,
2003-03-31,BARBACENA,A502,
2003-04-30,BARBACENA,A502,18.960049
2003-05-31,BARBACENA,A502,15.856454
2003-06-30,BARBACENA,A502,17.353414
2003-07-31,BARBACENA,A502,15.633619
2003-08-31,BARBACENA,A502,
2003-09-30,BARBACENA,A502,
2003-10-31,BARBACENA,A502,
2003-11-30,BARBACENA,A502,
2003-12-31,BARBACENA,A502,20.941078
2004-01-31,BARBACENA,A502,20.477222
2004-02-29,BARBACENA,A502,20.560047
2004-03-31,BARBACENA,A502,19.920452
2004-04-30,BARBACENA,A502,19.754155
2004-05-31,BARBACENA,A502,17.708737
2004-06-30,BARBACENA,A502,15.964502
2004-07-31,BARBACENA,A502,14.98636
2004-08-31,BARBACENA,A502,
2004-09-30,BARBACENA,A502,
2004-10-31,BARBACENA,A502,
2004-11-30,BARBACENA,A502,19.475463
