Nome: MARIA DA FE
Codigo Estacao: 83015
Latitude: -22.31444444
Longitude: -45.37305554
Altitude: 1281.36
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2016-08-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;20,356129;
2003-02-28;null;
2003-03-31;19,367097;
2003-04-30;17,332;
2003-05-31;13,192258;
2003-06-30;13,285333;
2003-07-31;12,681935;
2003-08-31;13,423871;
2003-09-30;16,654;
2003-10-31;null;
2003-11-30;null;
2003-12-31;20,492258;
2004-01-31;19,743226;
2004-02-29;19,105517;
2004-03-31;17,353548;
2004-04-30;17,597333;
2004-05-31;13,710968;
2004-06-30;12,334;
2004-07-31;12,063871;
2004-08-31;13,36129;
2004-09-30;17,734;
2004-10-31;16,787742;
2004-11-30;null;
2004-12-31;19,372258;
2005-01-31;20,114839;
2005-02-28;18,521429;
2005-03-31;19,556774;
2005-04-30;17,841333;
2005-05-31;14,425806;
2005-06-30;12,950667;
2005-07-31;12,588387;
2005-08-31;13,816552;
2005-09-30;16,205333;
2005-10-31;19,070323;
2005-11-30;18,234667;
2005-12-31;18,591613;
2006-01-31;19,847097;
2006-02-28;20,152857;
2006-03-31;19,666452;
2006-04-30;16,696;
2006-05-31;12,358065;
2006-06-30;11,312;
2006-07-31;12,12129;
2006-08-31;14,010323;
2006-09-30;15,752;
2006-10-31;18,019355;
2006-11-30;18,750667;
2006-12-31;19,979355;
2007-01-31;19,961935;
2007-02-28;19,952857;
2007-03-31;19,760645;
2007-04-30;18,074667;
2007-05-31;13,647097;
2007-06-30;12,315333;
2007-07-31;12,282581;
2007-08-31;13,808387;
2007-09-30;17,354;
2007-10-31;19,245161;
2007-11-30;18,468667;
2007-12-31;19,693548;
2008-01-31;19,239355;
2008-02-29;19,561379;
2008-03-31;18,353548;
2008-04-30;17,577333;
2008-05-31;13,469677;
2008-06-30;13,242667;
2008-07-31;11,122581;
2008-08-31;14,798065;
2008-09-30;15,061333;
2008-10-31;18,625806;
2008-11-30;18,269333;
2008-12-31;18,948387;
2009-01-31;19,455484;
2009-02-28;20,167857;
2009-03-31;19,770968;
2009-04-30;16,359333;
2009-05-31;14,46129;
2009-06-30;11,69;
2009-07-31;14,012903;
2009-08-31;14,252258;
2009-09-30;17,514667;
2009-10-31;18,722581;
2009-11-30;20,634667;
2009-12-31;20,009032;
2010-01-31;20,871613;
2010-02-28;20,735;
2010-03-31;19,61871;
2010-04-30;16,906;
2010-05-31;14,089677;
2010-06-30;11,646667;
2010-07-31;13,623226;
2010-08-31;13,240645;
2010-09-30;16,880667;
2010-10-31;17,319355;
2010-11-30;18,370667;
2010-12-31;20,644516;
2011-01-31;20,359355;
2011-02-28;20,480714;
2011-03-31;19,432;
2011-04-30;17,494667;
2011-05-31;13,719355;
2011-06-30;11,064;
2011-07-31;13,068387;
2011-08-31;15,196129;
2011-09-30;16,150714;
2011-10-31;17,728387;
2011-11-30;17,464;
2011-12-31;19,178065;
2012-01-31;18,835484;
2012-02-29;20,035862;
2012-03-31;18,923871;
2012-04-30;17,874;
2012-05-31;13,507742;
2012-06-30;14,197333;
2012-07-31;12,134194;
2012-08-31;13,182581;
2012-09-30;16,074667;
2012-10-31;19,542581;
2012-11-30;18,902667;
2012-12-31;21,11;
2013-01-31;19,578065;
2013-02-28;20,405;
2013-03-31;19,316129;
2013-04-30;16,357333;
2013-05-31;14,310323;
2013-06-30;14,301333;
2013-07-31;12,683226;
2013-08-31;13,347097;
2013-09-30;16,16;
2013-10-31;17,209032;
2013-11-30;18,810667;
2013-12-31;20,112903;
2014-01-31;20,879355;
2014-02-28;20,792857;
2014-03-31;19,854194;
2014-04-30;17,6;
2014-05-31;14,12129;
2014-06-30;13,268;
2014-07-31;12,569677;
2014-08-31;14,042581;
2014-09-30;16,706667;
2014-10-31;18,434194;
2014-11-30;19,431333;
2014-12-31;20,26129;
2015-01-31;21,408387;
2015-02-28;20,118571;
2015-03-31;19,03871;
2015-04-30;17,730667;
2015-05-31;14,596129;
2015-06-30;13,538;
2015-07-31;14,156774;
2015-08-31;14,38;
2015-09-30;17,772;
2015-10-31;20,112903;
2015-11-30;20,774667;
2015-12-31;20,917419;
2016-01-31;20,494194;
2016-02-29;20,988276;
2016-03-31;20,142581;
2016-04-30;18,554;
2016-05-31;14,886452;
2016-06-30;11,931429;
2016-07-31;13,06;
2016-08-31;14,770323;

