Nome: LAMBARI
Codigo Estacao: 83032
Latitude: -21.944146
Longitude: -45.317739
Altitude: 884.56
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2012-07-19
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;22,865806;
2003-02-28;23,27;
2003-03-31;21,914194;
2003-04-30;19,850667;
2003-05-31;14,891613;
2003-06-30;14,856;
2003-07-31;13,828387;
2003-08-31;15,104516;
2003-09-30;18,329333;
2003-10-31;20,178065;
2003-11-30;21,378667;
2003-12-31;22,758065;
2004-01-31;22,357419;
2004-02-29;21,878621;
2004-03-31;20,219355;
2004-04-30;20,648;
2004-05-31;16,536774;
2004-06-30;14,424;
2004-07-31;13,903226;
2004-08-31;15,010323;
2004-09-30;19,562667;
2004-10-31;19,774194;
2004-11-30;21,294667;
2004-12-31;22,282581;
2005-01-31;23,037419;
2005-02-28;21,832857;
2005-03-31;22,509677;
2005-04-30;20,926667;
2005-05-31;17,024516;
2005-06-30;15,245333;
2005-07-31;14,264516;
2005-08-31;16,419355;
2005-09-30;18,902667;
2005-10-31;21,501935;
2005-11-30;21,334667;
2005-12-31;21,532903;
2006-01-31;22,899355;
2006-02-28;23,278571;
2006-03-31;23,050323;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;

