Nome: CORONEL PACHECO
Codigo Estacao: 83037
Latitude: -21.546686
Longitude: -43.261045
Altitude: 411.03
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2009-04-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;24,267742;
2003-02-28;24,565;
2003-03-31;23,798065;
2003-04-30;21,864667;
2003-05-31;18,301935;
2003-06-30;17,97;
2003-07-31;16,813548;
2003-08-31;16,739355;
2003-09-30;19,774667;
2003-10-31;21,110968;
2003-11-30;22,662;
2003-12-31;23,883226;
2004-01-31;23,380645;
2004-02-29;23,028966;
2004-03-31;22,709032;
2004-04-30;22,206;
2004-05-31;19,300645;
2004-06-30;17,081333;
2004-07-31;16,708;
2004-08-31;17,875484;
2004-09-30;21,172;
2004-10-31;21,435484;
2004-11-30;22,176;
2004-12-31;23,135484;
2005-01-31;23,92129;
2005-02-28;23,263571;
2005-03-31;23,884516;
2005-04-30;23,250667;
2005-05-31;20,086452;
2005-06-30;18,306667;
2005-07-31;17,41871;
2005-08-31;18,854839;
2005-09-30;20,3;
2005-10-31;22,676774;
2005-11-30;21,679333;
2005-12-31;22,357419;
2006-01-31;24,334839;
2006-02-28;24,342857;
2006-03-31;23,575484;
2006-04-30;21,469333;
2006-05-31;17,9;
2006-06-30;16,519333;
2006-07-31;15,556774;
2006-08-31;17,82129;
2006-09-30;18,738667;
2006-10-31;21,849032;
2006-11-30;22,426667;
2006-12-31;23,777419;
2007-01-31;23,808387;
2007-02-28;23,484286;
2007-03-31;23,580645;
2007-04-30;null;
2007-05-31;17,317333;
2007-06-30;16,332;
2007-07-31;16,32;
2007-08-31;17,38;
2007-09-30;20,098667;
2007-10-31;22,47871;
2007-11-30;22,633333;
2007-12-31;23,859355;
2008-01-31;22,995484;
2008-02-29;23,914483;
2008-03-31;23,35871;
2008-04-30;22,622667;
2008-05-31;19,082581;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;19,194667;
2008-10-31;22,600645;
2008-11-30;null;
2008-12-31;null;
2009-01-31;24,484516;
2009-02-28;24,939286;
2009-03-31;24,687742;
2009-04-30;22,038667;

