Nome: PONTE ALTA
Codigo Estacao: 83061
Latitude: -19.836926
Longitude: -42.648655
Altitude: 450
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2006-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,198;
2003-02-28;25,720714;
2003-03-31;25,188387;
2003-04-30;24,535333;
2003-05-31;21,996;
2003-06-30;19,669524;
2003-07-31;19,470323;
2003-08-31;20,87871;
2003-09-30;23,182667;
2003-10-31;24,010323;
2003-11-30;24,955333;
2003-12-31;25,39871;
2004-01-31;24,768387;
2004-02-29;24,405517;
2004-03-31;24,174194;
2004-04-30;23,616;
2004-05-31;21,703871;
2004-06-30;19,098667;
2004-07-31;18,993548;
2004-08-31;19,504516;
2004-09-30;22,025333;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;

