Nome: FORMOSO
Codigo Estacao: 83334
Latitude: -14.949727
Longitude: -46.235795
Altitude: 854.6
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;23,949677;
2003-02-28;24,415714;
2003-03-31;23,71871;
2003-04-30;24,154667;
2003-05-31;22,23871;
2003-06-30;21,658;
2003-07-31;null;
2003-08-31;22,594839;
2003-09-30;24,526667;
2003-10-31;25,220645;
2003-11-30;24,147333;
2003-12-31;25,063226;
2004-01-31;23,249032;
2004-02-29;22,828966;
2004-03-31;23,219355;
2004-04-30;23,132;
2004-05-31;23,131613;
2004-06-30;20,54069;
2004-07-31;19,774667;
2004-08-31;22,006667;
2004-09-30;null;
2004-10-31;25,554839;
2004-11-30;25,144;
2004-12-31;24,236129;
2005-01-31;24,07871;
2005-02-28;24,253333;
2005-03-31;23,852903;
2005-04-30;24,308;
2005-05-31;21,974194;
2005-06-30;21,010667;
2005-07-31;20,727742;
2005-08-31;22,501935;
2005-09-30;null;
2005-10-31;26,651613;
2005-11-30;23,304;
2005-12-31;22,92129;
2006-01-31;24,660645;
2006-02-28;24,395714;
2006-03-31;23,376774;
2006-04-30;23,22;
2006-05-31;21,829677;
2006-06-30;20,122667;
2006-07-31;20,634839;
2006-08-31;23,138065;
2006-09-30;null;
2006-10-31;23,410323;
2006-11-30;23,436;
2006-12-31;24,093548;
2007-01-31;24,722581;
2007-02-28;23,411429;
2007-03-31;24,252903;
2007-04-30;24,269333;
2007-05-31;23,023226;
2007-06-30;21,380667;
2007-07-31;21,736774;
2007-08-31;21,483871;
2007-09-30;null;
2007-10-31;26,390968;
2007-11-30;25,645333;
2007-12-31;24,084516;
2008-01-31;24,068387;
2008-02-29;23,830345;
2008-03-31;23,449032;
2008-04-30;23,914667;
2008-05-31;22,567742;
2008-06-30;21,261333;
2008-07-31;20,350968;
2008-08-31;22,790323;
2008-09-30;null;
2008-10-31;26,476774;
2008-11-30;23,96;
2008-12-31;23,47871;
2009-01-31;24,314839;
2009-02-28;24,552857;
2009-03-31;25,192258;
2009-04-30;23,2;
2009-05-31;21,843871;
2009-06-30;21,474667;
2009-07-31;22,138065;
2009-08-31;22,95871;
2009-09-30;null;
2009-10-31;24,849032;
2009-11-30;24,770667;
2009-12-31;23,571613;
2010-01-31;24,685161;
2010-02-28;25,352857;
2010-03-31;24,393548;
2010-04-30;23,749333;
2010-05-31;23,969032;
2010-06-30;21,408;
2010-07-31;21,149677;
2010-08-31;21,416774;
2010-09-30;null;
2010-10-31;25,654194;
2010-11-30;23,026;
2010-12-31;24,228387;
2011-01-31;23,994839;
2011-02-28;24,357143;
2011-03-31;23,64;
2011-04-30;23,453333;
2011-05-31;22,185806;
2011-06-30;21,672;
2011-07-31;21,323871;
2011-08-31;23,47871;
2011-09-30;null;
2011-10-31;23,752903;
2011-11-30;22,608;
2011-12-31;23,232258;
2012-01-31;23,033548;
2012-02-29;24,22069;
2012-03-31;24,336774;
2012-04-30;24,869333;
2012-05-31;22,296774;
2012-06-30;22,728;
2012-07-31;21,901935;
2012-08-31;21,654194;
2012-09-30;null;
2012-10-31;26,277419;
2012-11-30;23,572;
2012-12-31;25,944516;
2013-01-31;23,44129;
2013-02-28;25,351429;
2013-03-31;25,174839;
2013-04-30;23,264;
2013-05-31;23,092903;
2013-06-30;22,617333;
2013-07-31;22,356129;
2013-08-31;22,929032;
2013-09-30;null;
2013-10-31;24,854194;
2013-11-30;24,301333;
2013-12-31;23,512258;
2014-01-31;24,39871;
2014-02-28;24,374286;
2014-03-31;23,625806;
2014-04-30;24,122667;
2014-05-31;22,936774;
2014-06-30;21,585333;
2014-07-31;21,211613;
2014-08-31;22,734194;
2014-09-30;null;
2014-10-31;25,450323;
2014-11-30;24,489333;
2014-12-31;23,52;
2015-01-31;26,014194;
2015-02-28;24,043571;
2015-03-31;23,931613;
2015-04-30;23,874667;
2015-05-31;22,171613;
2015-06-30;21,414;
2015-07-31;21,814194;
2015-08-31;22,667097;
2015-09-30;null;
2015-10-31;27,313548;
2015-11-30;26,428;
2015-12-31;26,227097;
2016-01-31;23,602581;
2016-02-29;25,751724;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;
2023-01-31;null;
2023-02-28;null;
2023-03-31;null;
2023-04-30;null;
2023-05-31;null;
2023-06-30;null;
2023-07-31;null;
2023-08-31;null;
2023-09-30;null;
2023-10-31;null;
2023-11-30;null;

