Nome: ESPINOSA
Codigo Estacao: 83338
Latitude: -14.91222222
Longitude: -42.80861111
Altitude: 565.52
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2019-03-14
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,249677;
2003-02-28;26,670714;
2003-03-31;26,116774;
2003-04-30;25,950667;
2003-05-31;24,200645;
2003-06-30;22,700667;
2003-07-31;22,07871;
2003-08-31;23,858065;
2003-09-30;25,523333;
2003-10-31;26,806452;
2003-11-30;26,261333;
2003-12-31;27,753548;
2004-01-31;24,716774;
2004-02-29;24,392414;
2004-03-31;23,738065;
2004-04-30;23,613333;
2004-05-31;23,195484;
2004-06-30;21,332;
2004-07-31;20,75871;
2004-08-31;22,500645;
2004-09-30;24,545333;
2004-10-31;26,445161;
2004-11-30;25,826667;
2004-12-31;25,303871;
2005-01-31;25,363226;
2005-02-28;25,072857;
2005-03-31;25,283226;
2005-04-30;25,921333;
2005-05-31;23,946452;
2005-06-30;22,704667;
2005-07-31;22,296774;
2005-08-31;23,935484;
2005-09-30;25,972667;
2005-10-31;27,754839;
2005-11-30;25,613333;
2005-12-31;24,825161;
2006-01-31;26,307097;
2006-02-28;27,060714;
2006-03-31;25,429032;
2006-04-30;23,884;
2006-05-31;22,007742;
2006-06-30;20,838;
2006-07-31;21,123226;
2006-08-31;23,80129;
2006-09-30;25,186;
2006-10-31;25,309032;
2006-11-30;24,179333;
2006-12-31;25,040645;
2007-01-31;26,592903;
2007-02-28;24,365;
2007-03-31;24,979355;
2007-04-30;25,237333;
2007-05-31;23,88129;
2007-06-30;22,396667;
2007-07-31;22,478065;
2007-08-31;23,109032;
2007-09-30;24,806;
2007-10-31;26,982581;
2007-11-30;27,526;
2007-12-31;25,355484;
2008-01-31;25,632258;
2008-02-29;25,422069;
2008-03-31;24,863871;
2008-04-30;24,719333;
2008-05-31;23,852903;
2008-06-30;22,476667;
2008-07-31;21,480645;
2008-08-31;23,976129;
2008-09-30;25,776;
2008-10-31;27,821935;
2008-11-30;25,724;
2008-12-31;24,73871;
2009-01-31;25,175484;
2009-02-28;26,533077;
2009-03-31;26,482;
2009-04-30;24,306667;
2009-05-31;22,834194;
2009-06-30;22,875172;
2009-07-31;22,862667;
2009-08-31;24,386897;
2009-09-30;27,243077;
2009-10-31;26,491538;
2009-11-30;26,2872;
2009-12-31;25,823704;
2010-01-31;26,338462;
2010-02-28;26,71375;
2010-03-31;25,53037;
2010-04-30;25,137692;
2010-05-31;25,7528;
2010-06-30;23,191429;
2010-07-31;23,12;
2010-08-31;23,092;
2010-09-30;25,2144;
2010-10-31;28,2696;
2010-11-30;25,640769;
2010-12-31;25,45;
2011-01-31;25,326154;
2011-02-28;26,9775;
2011-03-31;25,325556;
2011-04-30;24,608;
2011-05-31;23,058462;
2011-06-30;22,713333;
2011-07-31;22,35125;
2011-08-31;24,374815;
2011-09-30;24,47;
2011-10-31;25,296;
2011-11-30;24,214615;
2011-12-31;25,394444;
2012-01-31;25,47;
2012-02-29;26,185;
2012-03-31;27,587143;
2012-04-30;27,6136;
2012-05-31;24,759259;
2012-06-30;24,896923;
2012-07-31;23,365333;
2012-08-31;23,288889;
2012-09-30;26,2056;
2012-10-31;27,654815;
2012-11-30;24,833846;
2012-12-31;26,849231;
2013-01-31;27,445882;
2013-02-28;27,870833;
2013-03-31;27,884615;
2013-04-30;25,656923;
2013-05-31;25,550833;
2013-06-30;24,240909;
2013-07-31;23,92;
2013-08-31;24,294074;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;

