Nome: ARINOS
Codigo Estacao: 83384
Latitude: -15.91527777
Longitude: -46.10722222
Altitude: 523
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,528387;
2003-02-28;26,4;
2003-03-31;25,505161;
2003-04-30;25,75;
2003-05-31;23,116774;
2003-06-30;21,662;
2003-07-31;21,236774;
2003-08-31;24,129677;
2003-09-30;26,282667;
2003-10-31;27,02129;
2003-11-30;25,818;
2003-12-31;26,703871;
2004-01-31;24,78129;
2004-02-29;24,258621;
2004-03-31;24,834194;
2004-04-30;24,390667;
2004-05-31;24,205806;
2004-06-30;21,529333;
2004-07-31;21;
2004-08-31;22,957419;
2004-09-30;25,756;
2004-10-31;27,852258;
2004-11-30;27,1;
2004-12-31;25,412258;
2005-01-31;25,801935;
2005-02-28;26,33;
2005-03-31;25,679355;
2005-04-30;26,033333;
2005-05-31;23,354194;
2005-06-30;22,496;
2005-07-31;21,854839;
2005-08-31;24,128387;
2005-09-30;26,790667;
2005-10-31;29,045806;
2005-11-30;25,033333;
2005-12-31;24,617419;
2006-01-31;25,733548;
2006-02-28;27,084286;
2006-03-31;25,723226;
2006-04-30;24,976;
2006-05-31;22,574839;
2006-06-30;21,093333;
2006-07-31;21,405806;
2006-08-31;24,45871;
2006-09-30;25,582667;
2006-10-31;25,297419;
2006-11-30;25,212;
2006-12-31;25,745161;
2007-01-31;26,503226;
2007-02-28;25,408571;
2007-03-31;26,58129;
2007-04-30;25,704;
2007-05-31;23,650968;
2007-06-30;21,917333;
2007-07-31;22,70129;
2007-08-31;22,992903;
2007-09-30;25,936;
2007-10-31;28,480645;
2007-11-30;28,04;
2007-12-31;26,070323;
2008-01-31;25,804516;
2008-02-29;25,949655;
2008-03-31;25,212258;
2008-04-30;25,589333;
2008-05-31;22,977419;
2008-06-30;22,032;
2008-07-31;20,974839;
2008-08-31;23,973548;
2008-09-30;26,381333;
2008-10-31;28,869032;
2008-11-30;25,958;
2008-12-31;25,271613;
2009-01-31;26,013548;
2009-02-28;26,308571;
2009-03-31;26,488387;
2009-04-30;24,447333;
2009-05-31;22,68129;
2009-06-30;21,937333;
2009-07-31;22,646452;
2009-08-31;23,662581;
2009-09-30;27,28;
2009-10-31;26,368387;
2009-11-30;26,546667;
2009-12-31;25,165806;
2010-01-31;26,60129;
2010-02-28;27,374286;
2010-03-31;26,081935;
2010-04-30;24,802667;
2010-05-31;24,475484;
2010-06-30;21,288;
2010-07-31;22,549677;
2010-08-31;22,674194;
2010-09-30;25,970667;
2010-10-31;27,946452;
2010-11-30;24,770667;
2010-12-31;26,062581;
2011-01-31;25,887097;
2011-02-28;26,792143;
2011-03-31;25,216129;
2011-04-30;24,824;
2011-05-31;22,85871;
2011-06-30;22,222667;
2011-07-31;21,697419;
2011-08-31;24,223871;
2011-09-30;25,503333;
2011-10-31;25,642581;
2011-11-30;24,870667;
2011-12-31;24,916774;
2012-01-31;25,149032;
2012-02-29;26,128966;
2012-03-31;26,050968;
2012-04-30;26,443333;
2012-05-31;23,714194;
2012-06-30;24,102667;
2012-07-31;22,89871;
2012-08-31;23,752903;
2012-09-30;26,850667;
2012-10-31;28,269032;
2012-11-30;24,963333;
2012-12-31;27,555484;
2013-01-31;24,792903;
2013-02-28;26,692857;
2013-03-31;26,505161;
2013-04-30;24,421333;
2013-05-31;23,653548;
2013-06-30;23,1;
2013-07-31;22,991613;
2013-08-31;23,928387;
2013-09-30;26,432;
2013-10-31;26,176129;
2013-11-30;26,470667;
2013-12-31;25,496129;
2014-01-31;26,449677;
2014-02-28;26,298571;
2014-03-31;25,729677;
2014-04-30;25,970667;
2014-05-31;24,070323;
2014-06-30;22,906667;
2014-07-31;22,484516;
2014-08-31;23,902581;
2014-09-30;27,356667;
2014-10-31;27,810968;
2014-11-30;26,814667;
2014-12-31;25,595484;
2015-01-31;27,932258;
2015-02-28;26,017143;
2015-03-31;25,394194;
2015-04-30;25,885333;
2015-05-31;23,604516;
2015-06-30;22,952;
2015-07-31;23,560645;
2015-08-31;24,417419;
2015-09-30;28,424;
2015-10-31;29,718065;
2015-11-30;28,617333;
2015-12-31;28,089677;
2016-01-31;25,692258;
2016-02-29;27,797931;
2016-03-31;26,642581;
2016-04-30;26,517333;
2016-05-31;24,805161;
2016-06-30;22,870667;
2016-07-31;23,336129;
2016-08-31;25,171613;
2016-09-30;27,596;
2016-10-31;27,797419;
2016-11-30;25,966667;
2016-12-31;26,496129;
2017-01-31;27,435484;
2017-02-28;25,567143;
2017-03-31;26,594194;
2017-04-30;26,721333;
2017-05-31;24,810968;
2017-06-30;23,8;
2017-07-31;21,81871;
2017-08-31;24,390323;
2017-09-30;25,621333;
2017-10-31;28,642581;
2017-11-30;25,973333;
2017-12-31;25,679355;
2018-01-31;26,525806;
2018-02-28;25,574286;
2018-03-31;26,134839;
2018-04-30;24,562667;
2018-05-31;23,081935;
2018-06-30;22,457333;
2018-07-31;22,124516;
2018-08-31;25,267097;
2018-09-30;26,792;
2018-10-31;28,50129;
2018-11-30;25,155333;
2018-12-31;26,081935;
2019-01-31;27,554194;
2019-02-28;26,474286;
2019-03-31;25,854194;
2019-04-30;25,904;
2019-05-31;24,523226;
2019-06-30;22,488;
2019-07-31;21,670323;
