Nome: JANUARIA
Codigo Estacao: 83386
Latitude: -15.44805555
Longitude: -44.36638888
Altitude: 480
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,045161;
2003-02-28;25,504286;
2003-03-31;25,664516;
2003-04-30;25,556;
2003-05-31;23,669032;
2003-06-30;21,642;
2003-07-31;21,247742;
2003-08-31;23,408387;
2003-09-30;null;
2003-10-31;26,590968;
2003-11-30;26,281333;
2003-12-31;27,123226;
2004-01-31;25,309677;
2004-02-29;24,482069;
2004-03-31;23,825806;
2004-04-30;23,527333;
2004-05-31;23,316129;
2004-06-30;20,566667;
2004-07-31;20,265806;
2004-08-31;21,777419;
2004-09-30;24,098667;
2004-10-31;27,202581;
2004-11-30;25,916667;
2004-12-31;25,155484;
2005-01-31;25,613548;
2005-02-28;25,139286;
2005-03-31;25,270968;
2005-04-30;25,046;
2005-05-31;22,946452;
2005-06-30;21,685333;
2005-07-31;21,071613;
2005-08-31;22,88;
2005-09-30;25,695333;
2005-10-31;27,338065;
2005-11-30;25,132;
2005-12-31;24,249677;
2006-01-31;25,602581;
2006-02-28;26,86;
2006-03-31;25,061935;
2006-04-30;24,046;
2006-05-31;21,689677;
2006-06-30;20,524;
2006-07-31;20,567742;
2006-08-31;23,065161;
2006-09-30;25,009333;
2006-10-31;25,793548;
2006-11-30;24,493333;
2006-12-31;24,992258;
2007-01-31;25,714194;
2007-02-28;24,284286;
2007-03-31;24,857419;
2007-04-30;24,814;
2007-05-31;23,2;
2007-06-30;21,438;
2007-07-31;21,76129;
2007-08-31;21,714839;
2007-09-30;24,183333;
2007-10-31;26,923871;
2007-11-30;27,807333;
2007-12-31;25,373548;
2008-01-31;25,634194;
2008-02-29;25,410345;
2008-03-31;24,659355;
2008-04-30;24,477333;
2008-05-31;22,296129;
2008-06-30;21,542;
2008-07-31;20,235484;
2008-08-31;22,582581;
2008-09-30;25,063333;
2008-10-31;27,835484;
2008-11-30;25,601333;
2008-12-31;24,549677;
2009-01-31;25,316129;
2009-02-28;25,670714;
2009-03-31;25,695862;
2009-04-30;24,26;
2009-05-31;22,258621;
2009-06-30;21,808148;
2009-07-31;null;
2009-08-31;23,591034;
2009-09-30;27,066;
2009-10-31;26,686452;
2009-11-30;25,722667;
2009-12-31;24,835484;
2010-01-31;25,774839;
2010-02-28;26,322143;
2010-03-31;24,86;
2010-04-30;23,611333;
2010-05-31;23,657419;
2010-06-30;20,884286;
2010-07-31;21,750769;
2010-08-31;21,468889;
2010-09-30;24,278667;
2010-10-31;27,783871;
2010-11-30;24,829333;
2010-12-31;25,129032;
2011-01-31;24,684516;
2011-02-28;25,496429;
2011-03-31;24,4;
2011-04-30;23,796667;
2011-05-31;22,025806;
2011-06-30;21,316667;
2011-07-31;20,757419;
2011-08-31;22,903226;
2011-09-30;23,304;
2011-10-31;25,435484;
2011-11-30;24,260667;
2011-12-31;24,354194;
2012-01-31;24,290323;
2012-02-29;25,211724;
2012-03-31;25,674839;
2012-04-30;25,726;
2012-05-31;23,506452;
2012-06-30;23,233333;
2012-07-31;22,228387;
2012-08-31;22,669677;
2012-09-30;25,566207;
2012-10-31;27,606452;
2012-11-30;24,937333;
2012-12-31;26,806452;
2013-01-31;25,234194;
2013-02-28;26,110714;
2013-03-31;26,430323;
2013-04-30;24,086667;
2013-05-31;23,13871;
2013-06-30;22,959333;
2013-07-31;22,554839;
2013-08-31;23,251613;
2013-09-30;25,696;
2013-10-31;25,949032;
2013-11-30;26,481538;
2013-12-31;24,861935;
2014-01-31;24,956774;
2014-02-28;25,424286;
2014-03-31;25,873548;
2014-04-30;25,594;
2014-05-31;24,358065;
2014-06-30;22,97;
2014-07-31;22,800645;
2014-08-31;23,258065;
2014-09-30;25,884;
2014-10-31;27,039355;
2014-11-30;26,005333;
2014-12-31;24,89871;
2015-01-31;26,9;
2015-02-28;25,207143;
2015-03-31;25,698065;
2015-04-30;25,849333;
2015-05-31;23,770323;
2015-06-30;22,985333;
2015-07-31;23,05871;
2015-08-31;23,690323;
2015-09-30;27,879333;
2015-10-31;29,067742;
2015-11-30;29,094;
2015-12-31;27,730968;
2016-01-31;25,225161;
2016-02-29;25,877241;
2016-03-31;26,063871;
2016-04-30;25,87;
2016-05-31;24,594839;
2016-06-30;22,908667;
2016-07-31;22,956129;
2016-08-31;24,764516;
2016-09-30;26,726667;
2016-10-31;28,332903;
2016-11-30;26,284667;
2016-12-31;25,575484;
2017-01-31;27,181935;
2017-02-28;25,645714;
2017-03-31;25,851613;
2017-04-30;26,444667;
2017-05-31;25,115484;
