Nome: MONTE AZUL
Codigo Estacao: 83388
Latitude: -15.160374
Longitude: -42.866344
Altitude: 623.22
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;24,863226;
2003-02-28;26,651429;
2003-03-31;26,268387;
2003-04-30;26,542667;
2003-05-31;24,73871;
2003-06-30;23,855333;
2003-07-31;22,653548;
2003-08-31;24,002581;
2003-09-30;25,564;
2003-10-31;26,567097;
2003-11-30;26,319333;
2003-12-31;27,257333;
2004-01-31;24,791613;
2004-02-29;24,329655;
2004-03-31;23,912903;
2004-04-30;24,099333;
2004-05-31;24,227742;
2004-06-30;22,349333;
2004-07-31;21,537419;
2004-08-31;23,267742;
2004-09-30;24,852667;
2004-10-31;26,547097;
2004-11-30;26,055333;
2004-12-31;25,752903;
2005-01-31;25,471613;
2005-02-28;25,236429;
2005-03-31;25,576;
2005-04-30;26,245333;
2005-05-31;24,361935;
2005-06-30;23,099333;
2005-07-31;22,549032;
2005-08-31;24,047742;
2005-09-30;25,76;
2005-10-31;27,894839;
2005-11-30;25,566;
2005-12-31;24,774194;
2006-01-31;26,615484;
2006-02-28;27,594286;
2006-03-31;25,296774;
2006-04-30;24,256667;
2006-05-31;22,80129;
2006-06-30;21,753333;
2006-07-31;22,182581;
2006-08-31;24,111613;
2006-09-30;25,108;
2006-10-31;25,17871;
2006-11-30;24,406;
2006-12-31;25,428387;
2007-01-31;26,703871;
2007-02-28;24,420741;
2007-03-31;25,658065;
2007-04-30;25,827333;
2007-05-31;24,536129;
2007-06-30;23,128667;
2007-07-31;23,061935;
2007-08-31;23,16;
2007-09-30;24,674;
2007-10-31;27,067742;
2007-11-30;27,502;
2007-12-31;25,46129;
2008-01-31;25,592258;
2008-02-29;25,715862;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;26,462;
2009-03-31;26,663704;
2009-04-30;null;
2009-05-31;23,372903;
2009-06-30;23,468;
2009-07-31;23,783226;
2009-08-31;24,359355;
2009-09-30;27,584667;
2009-10-31;26,675484;
2009-11-30;26,431333;
2009-12-31;25,46;
2010-01-31;26,069032;
2010-02-28;26,997143;
2010-03-31;25,391613;
2010-04-30;24,948;
2010-05-31;25,492903;
2010-06-30;22,814;
2010-07-31;22,895484;
2010-08-31;23,161935;
2010-09-30;25,161333;
2010-10-31;28,396842;
2010-11-30;null;
2010-12-31;25,321935;
2011-01-31;25,387742;
2011-02-28;26,955;
2011-03-31;24,720645;
2011-04-30;24,918;
2011-05-31;23,688387;
2011-06-30;23,046;
2011-07-31;22,572903;
2011-08-31;24,576774;
2011-09-30;24,648;
2011-10-31;25,350323;
2011-11-30;24,208667;
2011-12-31;25,005806;
2012-01-31;25,450323;
2012-02-29;26,453793;
2012-03-31;27,520645;
2012-04-30;27,828;
2012-05-31;24,905161;
2012-06-30;25,223333;
2012-07-31;23,903871;
2012-08-31;23,257419;
2012-09-30;26,248667;
2012-10-31;27,735484;
2012-11-30;24,722667;
2012-12-31;27,517419;
2013-01-31;26,47871;
2013-02-28;27,878571;
2013-03-31;28,00129;
2013-04-30;25,828;
2013-05-31;25,616129;
2013-06-30;24,846667;
2013-07-31;24,304516;
2013-08-31;24,510968;
2013-09-30;26,468;
2013-10-31;26,258;
2013-11-30;26,730667;
2013-12-31;24,382581;
2014-01-31;26,142581;
2014-02-28;26,746429;
2014-03-31;26,423871;
2014-04-30;26,154;
2014-05-31;25,290968;
2014-06-30;23,866;
2014-07-31;23,363871;
2014-08-31;24,44;
2014-09-30;26,037931;
2014-10-31;26,907097;
2014-11-30;26,42;
2014-12-31;26,02;
2015-01-31;27,825806;
2015-02-28;26,592143;
2015-03-31;27,812903;
2015-04-30;26,962;
2015-05-31;24,914194;
2015-06-30;23,705333;
2015-07-31;23,967742;
2015-08-31;24,655484;
2015-09-30;28,422759;
2015-10-31;29,272258;
2015-11-30;29,286923;
2015-12-31;29,886667;
2016-01-31;null;

