Nome: MOCAMBINHO
Codigo Estacao: 83389
Latitude: -15.086015
Longitude: -44.016223
Altitude: 453.62
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2012-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,439355;
2003-02-28;26,078519;
2003-03-31;25,997419;
2003-04-30;25,789333;
2003-05-31;23,804516;
2003-06-30;22,272667;
2003-07-31;21,654194;
2003-08-31;23,494839;
2003-09-30;25,228667;
2003-10-31;26,598065;
2003-11-30;26,392667;
2003-12-31;26,843871;
2004-01-31;25,234839;
2004-02-29;24,727586;
2004-03-31;24,303871;
2004-04-30;24,262667;
2004-05-31;24,114839;
2004-06-30;21,762;
2004-07-31;21,397419;
2004-08-31;22,66;
2004-09-30;24,258;
2004-10-31;27,115333;
2004-11-30;26,117241;
2004-12-31;25,730323;
2005-01-31;25,786452;
2005-02-28;25,229231;
2005-03-31;25,477419;
2005-04-30;25,554483;
2005-05-31;23,414839;
2005-06-30;22,392667;
2005-07-31;21,627333;
2005-08-31;23,26;
2005-09-30;25,5025;
2005-10-31;27,554;
2005-11-30;25,068;
2005-12-31;null;
2006-01-31;null;
2006-02-28;26,85;
2006-03-31;25,254667;
2006-04-30;24,468;
2006-05-31;22,455333;
2006-06-30;21,260769;
2006-07-31;21,142581;
2006-08-31;23,825161;
2006-09-30;25,140667;
2006-10-31;26,248;
2006-11-30;25,002759;
2006-12-31;25,613571;
2007-01-31;26,591613;
2007-02-28;24,663704;
2007-03-31;25,704;
2007-04-30;25,377241;
2007-05-31;23,786452;
2007-06-30;22,262857;
2007-07-31;22,205333;
2007-08-31;22,398667;
2007-09-30;24,453571;
2007-10-31;26,887097;
2007-11-30;27,886207;
2007-12-31;25,6408;
2008-01-31;25,991333;
2008-02-29;25,9784;
2008-03-31;25,345806;
2008-04-30;25,295;
2008-05-31;23,488667;
2008-06-30;22,495172;
2008-07-31;20,987742;
2008-08-31;23,044138;
2008-09-30;25,384828;
2008-10-31;null;
2008-11-30;25,021667;
2008-12-31;24,881379;
2009-01-31;25,512414;
2009-02-28;26,517692;
2009-03-31;26,469333;
2009-04-30;24,768148;
2009-05-31;22,824667;
2009-06-30;22,645333;
2009-07-31;22,576774;
2009-08-31;23,971333;
2009-09-30;26,921379;
2009-10-31;26,627143;
2009-11-30;26,506;
2009-12-31;25,575484;
2010-01-31;26,374839;
2010-02-28;26,937857;
2010-03-31;25,494194;
2010-04-30;24,476;
2010-05-31;24,812258;
2010-06-30;22,1;
2010-07-31;22,320667;
2010-08-31;21,867857;
2010-09-30;24,694;
2010-10-31;28,164;
2010-11-30;25,331034;
2010-12-31;25,328387;
2011-01-31;25,198;
2011-02-28;26,023571;
2011-03-31;24,697333;
2011-04-30;null;
2011-05-31;21,895556;
2011-06-30;22,055556;
2011-07-31;21,340645;
2011-08-31;23,445806;
2011-09-30;23,548667;
2011-10-31;25,177692;
2011-11-30;23,772667;
2011-12-31;24,510345;
2012-01-31;24,824516;
2012-02-29;25,431852;
2012-03-31;26,184138;
2012-04-30;26,08;
2012-05-31;23,884444;
2012-06-30;23,520667;
2012-07-31;22,271111;

