Nome: PEDRA AZUL
Codigo Estacao: 83393
Latitude: -16.00944444
Longitude: -41.2811111
Altitude: 647.97
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,116129;
2003-02-28;25,130714;
2003-03-31;25,358667;
2003-04-30;24,074667;
2003-05-31;22,322581;
2003-06-30;20,438;
2003-07-31;19,639355;
2003-08-31;20,764516;
2003-09-30;22,178667;
2003-10-31;23,370968;
2003-11-30;24,4;
2003-12-31;25,609032;
2004-01-31;23,980645;
2004-02-29;23,988966;
2004-03-31;22,889677;
2004-04-30;22,912;
2004-05-31;22,198065;
2004-06-30;19,63;
2004-07-31;18,967097;
2004-08-31;20,232258;
2004-09-30;21,593333;
2004-10-31;23,336774;
2004-11-30;23,994;
2004-12-31;24,342581;
2005-01-31;25,151613;
2005-02-28;24,376429;
2005-03-31;24,826452;
2005-04-30;23,502667;
2005-05-31;21,647742;
2005-06-30;20,048;
2005-07-31;19,260645;
2005-08-31;20,564516;
2005-09-30;22,62;
2005-10-31;25,002581;
2005-11-30;23,439333;
2005-12-31;23,488387;
2006-01-31;23,928387;
2006-02-28;26,29;
2006-03-31;24,410968;
2006-04-30;22,945333;
2006-05-31;20,150323;
2006-06-30;19,010667;
2006-07-31;18,445161;
2006-08-31;20,754194;
2006-09-30;22,084;
2006-10-31;23,025806;
2006-11-30;23,4;
2006-12-31;24,114194;
2007-01-31;25,22;
2007-02-28;23,898571;
2007-03-31;24,108387;
2007-04-30;23,638667;
2007-05-31;21,616129;
2007-06-30;20,018667;
2007-07-31;20,352903;
2007-08-31;19,860645;
2007-09-30;21,567333;
2007-10-31;23,769032;
2007-11-30;25,844545;
2007-12-31;23,952;
2008-01-31;23,768;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;21,216129;
2008-06-30;19,685333;
2008-07-31;18,37871;
2008-08-31;20,729032;
2008-09-30;21,948667;
2008-10-31;24,066452;
2008-11-30;24,250667;
2008-12-31;23,783871;
2009-01-31;24,129032;
2009-02-28;24,802143;
2009-03-31;25,52;
2009-04-30;22,846667;
2009-05-31;20,846452;
2009-06-30;20,308667;
2009-07-31;19,94;
2009-08-31;20,527742;
2009-09-30;23,388667;
2009-10-31;23,973548;
2009-11-30;24,316;
2009-12-31;25,010323;
2010-01-31;25,985806;
2010-02-28;25,741429;
2010-03-31;24,348387;
2010-04-30;23,202667;
2010-05-31;22,245161;
2010-06-30;19,249333;
2010-07-31;19,472258;
2010-08-31;19,627742;
2010-09-30;21,532;
2010-10-31;23,79871;
2010-11-30;23,416;
2010-12-31;23,643226;
2011-01-31;23,383871;
2011-02-28;24,078571;
2011-03-31;23,898065;
2011-04-30;22,482667;
2011-05-31;20,20129;
2011-06-30;19,651333;
2011-07-31;19,257419;
2011-08-31;20,914839;
2011-09-30;20,626667;
2011-10-31;22,543226;
2011-11-30;21,901333;
2011-12-31;23,432903;
2012-01-31;23,56129;
2012-02-29;23,696552;
2012-03-31;24,405161;
2012-04-30;24,616;
2012-05-31;21,42129;
2012-06-30;21,916;
2012-07-31;20,519355;
2012-08-31;19,763871;
2012-09-30;22,312;
2012-10-31;23,666452;
2012-11-30;23,094;
2012-12-31;25,114839;
2013-01-31;24,748387;
2013-02-28;24,754286;
2013-03-31;25,656129;
2013-04-30;22,957333;
2013-05-31;22,249032;
2013-06-30;21,015333;
2013-07-31;19,957419;
2013-08-31;20,547097;
2013-09-30;21,736667;
2013-10-31;22,442581;
2013-11-30;23,268667;
2013-12-31;23,747097;
2014-01-31;23,717419;
2014-02-28;23,872857;
2014-03-31;23,913548;
2014-04-30;23,651333;
2014-05-31;22,318667;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
