Nome: JANAUBA
Codigo Estacao: 83395
Latitude: -15.802909
Longitude: -43.297092
Altitude: 534.61
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2016-08-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,272258;
2003-02-28;26,262857;
2003-03-31;26,010667;
2003-04-30;26,097333;
2003-05-31;24,147742;
2003-06-30;23,536;
2003-07-31;22,170968;
2003-08-31;23,633793;
2003-09-30;25,56;
2003-10-31;26,727742;
2003-11-30;26,452857;
2003-12-31;26,910968;
2004-01-31;25,473548;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;21,261481;
2004-08-31;23,091613;
2004-09-30;24,836429;
2004-10-31;26,72;
2004-11-30;26,046;
2004-12-31;26,336552;
2005-01-31;26,112258;
2005-02-28;25,66;
2005-03-31;25,822581;
2005-04-30;26,468;
2005-05-31;23,924516;
2005-06-30;22,926667;
2005-07-31;22,383871;
2005-08-31;24,137273;
2005-09-30;26,155333;
2005-10-31;28,194839;
2005-11-30;26,022759;
2005-12-31;24,847333;
2006-01-31;26,655333;
2006-02-28;27,527143;
2006-03-31;25,307742;
2006-04-30;24,386;
2006-05-31;23,056129;
2006-06-30;21,922667;
2006-07-31;21,969677;
2006-08-31;24,082581;
2006-09-30;25,178;
2006-10-31;25,666;
2006-11-30;24,510667;
2006-12-31;25,520645;
2007-01-31;26,355484;
2007-02-28;24,688571;
2007-03-31;26,111613;
2007-04-30;25,94;
2007-05-31;24,108387;
2007-06-30;22,693333;
2007-07-31;22,91871;
2007-08-31;23,305806;
2007-09-30;24,956667;
2007-10-31;27,578065;
2007-11-30;27,922759;
2007-12-31;25,814194;
2008-01-31;25,837333;
2008-02-29;26,055862;
2008-03-31;24,999355;
2008-04-30;24,982;
2008-05-31;23,475333;
2008-06-30;22,683448;
2008-07-31;21,894839;
2008-08-31;23,98129;
2008-09-30;25,669655;
2008-10-31;28,12069;
2008-11-30;25,819333;
2008-12-31;24,647333;
2009-01-31;25,825806;
2009-02-28;26,592143;
2009-03-31;26,65871;
2009-04-30;25,017333;
2009-05-31;23,450323;
2009-06-30;23,287333;
2009-07-31;23,450968;
2009-08-31;24,423871;
2009-09-30;27,132;
2009-10-31;26,734;
2009-11-30;26,522667;
2009-12-31;25,450323;
2010-01-31;26,577419;
2010-02-28;27,044286;
2010-03-31;25,629032;
2010-04-30;25,202667;
2010-05-31;25,132;
2010-06-30;22,332143;
2010-07-31;22,792903;
2010-08-31;22,925806;
2010-09-30;25,211333;
2010-10-31;27,483226;
2010-11-30;25,391333;
2010-12-31;25,234839;
2011-01-31;25,489677;
2011-02-28;26,871429;
2011-03-31;24,921935;
2011-04-30;25,374667;
2011-05-31;23,706667;
2011-06-30;22,811111;
2011-07-31;22,42;
2011-08-31;24,042667;
2011-09-30;24,543333;
2011-10-31;25,054194;
2011-11-30;24,44069;
2011-12-31;24,985161;
2012-01-31;25,210968;
2012-02-29;26,411724;
2012-03-31;27,263871;
2012-04-30;26,795862;
2012-05-31;23,928387;
2012-06-30;24,330667;
2012-07-31;23,426452;
2012-08-31;23,127097;
2012-09-30;25,429333;
2012-10-31;27,897419;
2012-11-30;24,817333;
2012-12-31;27,185806;
2013-01-31;26,366;
2013-02-28;27,722222;
2013-03-31;27,774194;
2013-04-30;25,352;
2013-05-31;24,719333;
2013-06-30;24,237931;
2013-07-31;23,547742;
2013-08-31;24,127742;
2013-09-30;25,791333;
2013-10-31;26,097419;
2013-11-30;26,468667;
2013-12-31;24,499355;
2014-01-31;26,145806;
2014-02-28;26,455;
2014-03-31;26,163226;
2014-04-30;26,188667;
2014-05-31;24,93871;
2014-06-30;23,392667;
2014-07-31;22,951613;
2014-08-31;23,790968;
2014-09-30;25,498;
2014-10-31;26,823871;
2014-11-30;26,186;
2014-12-31;25,653548;
2015-01-31;27,484516;
2015-02-28;26,661429;
2015-03-31;27,32;
2015-04-30;26,318;
2015-05-31;24,641935;
2015-06-30;23,654667;
2015-07-31;23,824444;
2015-08-31;24,558519;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;

