Nome: UNAI
Codigo Estacao: 83428
Latitude: -16.36638888
Longitude: -46.88944444
Altitude: 595.59
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,486452;
2003-02-28;25,878571;
2003-03-31;24,859355;
2003-04-30;25,258;
2003-05-31;22,499355;
2003-06-30;21,455333;
2003-07-31;21,006452;
2003-08-31;23,79871;
2003-09-30;25,873333;
2003-10-31;26,455484;
2003-11-30;25,61;
2003-12-31;26,323226;
2004-01-31;24,774194;
2004-02-29;23,795862;
2004-03-31;24,910968;
2004-04-30;24,298667;
2004-05-31;23,732903;
2004-06-30;21,036;
2004-07-31;20,772903;
2004-08-31;23,136129;
2004-09-30;26,086667;
2004-10-31;27,574839;
2004-11-30;26,212;
2004-12-31;24,657419;
2005-01-31;25,576774;
2005-02-28;25,798571;
2005-03-31;25,363871;
2005-04-30;25,468;
2005-05-31;22,874839;
2005-06-30;22,138667;
2005-07-31;21,611613;
2005-08-31;24,030968;
2005-09-30;27,054667;
2005-10-31;29,445806;
2005-11-30;24,518667;
2005-12-31;24,310968;
2006-01-31;25,845161;
2006-02-28;26,104286;
2006-03-31;24,886452;
2006-04-30;24,522667;
2006-05-31;22,523871;
2006-06-30;20,898667;
2006-07-31;21,301935;
2006-08-31;24,487097;
2006-09-30;25,401333;
2006-10-31;24,490323;
2006-11-30;24,58;
2006-12-31;25,363871;
2007-01-31;25,693548;
2007-02-28;24,867143;
2007-03-31;25,981935;
2007-04-30;25,308;
2007-05-31;23,567742;
2007-06-30;21,942667;
2007-07-31;22,630968;
2007-08-31;23,338065;
2007-09-30;26,312;
2007-10-31;28,064516;
2007-11-30;26,709333;
2007-12-31;25,433548;
2008-01-31;25,348387;
2008-02-29;25,357241;
2008-03-31;24,736774;
2008-04-30;25,042667;
2008-05-31;22,351613;
2008-06-30;21,617333;
2008-07-31;20,547097;
2008-08-31;23,729032;
2008-09-30;25,738667;
2008-10-31;28,229677;
2008-11-30;25,522667;
2008-12-31;24,860645;
2009-01-31;25,445806;
2009-02-28;25,795714;
2009-03-31;26,117419;
2009-04-30;23,908;
2009-05-31;22,72129;
2009-06-30;21,516667;
2009-07-31;22,60129;
2009-08-31;23,527742;
2009-09-30;26,749333;
2009-10-31;25,440645;
2009-11-30;26,162667;
2009-12-31;24,716129;
2010-01-31;25,842581;
2010-02-28;26,978571;
2010-03-31;25,664516;
2010-04-30;24,478667;
2010-05-31;23,842581;
2010-06-30;20,933333;
2010-07-31;22,129677;
2010-08-31;22,52129;
2010-09-30;26,092667;
2010-10-31;27,002581;
2010-11-30;24,582;
2010-12-31;25,722581;
2011-01-31;25,809032;
2011-02-28;26,641429;
2011-03-31;24,700645;
2011-04-30;24,466667;
2011-05-31;22,843871;
2011-06-30;21,749333;
2011-07-31;22,064516;
2011-08-31;24,406452;
2011-09-30;26,108;
2011-10-31;24,912258;
2011-11-30;24,569333;
2011-12-31;24,682581;
2012-01-31;24,470968;
2012-02-29;25,391724;
2012-03-31;25,642581;
2012-04-30;26,173333;
2012-05-31;22,994839;
2012-06-30;23,941333;
2012-07-31;22,543226;
2012-08-31;23,652903;
2012-09-30;26,673333;
2012-10-31;28,149677;
2012-11-30;25,324;
2012-12-31;27,345806;
2013-01-31;25,270968;
2013-02-28;26,32;
2013-03-31;26,095484;
2013-04-30;24,168;
2013-05-31;23,59871;
2013-06-30;22,957333;
2013-07-31;22,633548;
2013-08-31;23,869032;
2013-09-30;26,144;
2013-10-31;25,754839;
2013-11-30;25,650667;
2013-12-31;25,418065;
2014-01-31;26,290968;
2014-02-28;25,965714;
2014-03-31;25,36;
2014-04-30;25,382667;
2014-05-31;23,332903;
2014-06-30;22,582667;
2014-07-31;22,050323;
2014-08-31;24,009032;
2014-09-30;27,803333;
2014-10-31;27,809032;
2014-11-30;26,284;
2014-12-31;25,050323;
