Nome: MONTES CLAROS
Codigo Estacao: 83437
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;24,023871;
2003-02-28;24,801429;
2003-03-31;24,849677;
2003-04-30;24,616;
2003-05-31;22,412258;
2003-06-30;20,902;
2003-07-31;20,367742;
2003-08-31;22,200645;
2003-09-30;24,222667;
2003-10-31;25,076129;
2003-11-30;25,61;
2003-12-31;25,584516;
2004-01-31;24,012903;
2004-02-29;23,304138;
2004-03-31;23,003226;
2004-04-30;22,656667;
2004-05-31;21,90129;
2004-06-30;19,362667;
2004-07-31;18,850323;
2004-08-31;20,713548;
2004-09-30;23,098667;
2004-10-31;25,499355;
2004-11-30;25,146;
2004-12-31;24,271613;
2005-01-31;24,572258;
2005-02-28;23,841429;
2005-03-31;23,929677;
2005-04-30;23,631333;
2005-05-31;21,366452;
2005-06-30;20,384;
2005-07-31;19,891613;
2005-08-31;22,185161;
2005-09-30;24,41;
2005-10-31;26,837419;
2005-11-30;23,53;
2005-12-31;23,02129;
2006-01-31;24,444516;
2006-02-28;25,810714;
2006-03-31;23,752903;
2006-04-30;22,51;
2006-05-31;20,396774;
2006-06-30;19,004667;
2006-07-31;19,161935;
2006-08-31;22,36;
2006-09-30;23,314667;
2006-10-31;23,711613;
2006-11-30;23,444667;
2006-12-31;24,092258;
2007-01-31;24,923226;
2007-02-28;23,342857;
2007-03-31;24,083871;
2007-04-30;23,669333;
2007-05-31;21,711613;
2007-06-30;20,6;
2007-07-31;20,873548;
2007-08-31;20,99871;
2007-09-30;23,193793;
2007-10-31;26,112258;
2007-11-30;26,693333;
2007-12-31;24,847742;
2008-01-31;24,432903;
2008-02-29;24,551034;
2008-03-31;23,477419;
2008-04-30;23,674;
2008-05-31;21,271613;
2008-06-30;20,336667;
2008-07-31;19,398065;
2008-08-31;22,134839;
2008-09-30;24,156667;
2008-10-31;27,203226;
2008-11-30;24,412667;
2008-12-31;23,472903;
2009-01-31;24,24129;
2009-02-28;24,840714;
2009-03-31;25,110323;
2009-04-30;23,092667;
2009-05-31;21,337419;
2009-06-30;20,884;
2009-07-31;21,345806;
2009-08-31;22,438065;
2009-09-30;25,504;
2009-10-31;25,165806;
2009-11-30;25,097333;
2009-12-31;23,912258;
2010-01-31;25,124516;
2010-02-28;26,052143;
2010-03-31;24,332903;
2010-04-30;23,145333;
2010-05-31;22,543226;
2010-06-30;19,675333;
2010-07-31;20,62;
2010-08-31;20,910323;
2010-09-30;23,67;
2010-10-31;26,146452;
2010-11-30;23,638;
2010-12-31;24,316129;
2011-01-31;24,040645;
2011-02-28;25,41;
2011-03-31;23,720645;
2011-04-30;23,390667;
2011-05-31;21,313548;
2011-06-30;20,760667;
2011-07-31;20,39871;
2011-08-31;22,865161;
2011-09-30;23,22;
2011-10-31;23,737419;
2011-11-30;22,746667;
2011-12-31;23,400645;
2012-01-31;23,442581;
2012-02-29;24,764138;
2012-03-31;24,93871;
2012-04-30;25,069333;
2012-05-31;22,149677;
2012-06-30;22,119333;
2012-07-31;21,305161;
2012-08-31;21,372258;
2012-09-30;24,576;
2012-10-31;26,28129;
2012-11-30;23,808667;
2012-12-31;26,480645;
2013-01-31;24,96129;
2013-02-28;25,810714;
2013-03-31;25,907742;
2013-04-30;23,182;
2013-05-31;22,57871;
2013-06-30;22,304;
2013-07-31;22,014194;
2013-08-31;22,836129;
2013-09-30;24,828667;
2013-10-31;24,069677;
2013-11-30;24,928667;
2013-12-31;23,901935;
2014-01-31;24,866452;
2014-02-28;25,444286;
2014-03-31;24,903871;
2014-04-30;24,683333;
2014-05-31;22,963226;
2014-06-30;21,483333;
2014-07-31;21,227742;
2014-08-31;22,419355;
2014-09-30;24,925333;
2014-10-31;25,420645;
2014-11-30;24,795333;
2014-12-31;25,127097;
2015-01-31;27,447097;
2015-02-28;25,416429;
2015-03-31;25,651613;
2015-04-30;24,634;
2015-05-31;22,808387;
2015-06-30;22,266667;
2015-07-31;22,163871;
2015-08-31;22,926452;
2015-09-30;27,690667;
2015-10-31;28,325161;
2015-11-30;28,499333;
2015-12-31;27,514839;
2016-01-31;24,418065;
2016-02-29;26,375862;
2016-03-31;26,251613;
2016-04-30;25,684667;
2016-05-31;23,596129;
2016-06-30;22,243333;
2016-07-31;22,334839;
2016-08-31;23,850968;
2016-09-30;25,733333;
2016-10-31;26,240645;
2016-11-30;25,204828;
2016-12-31;25,678571;
2017-01-31;27,315484;
2017-02-28;24,785;
2017-03-31;25,214815;
2017-04-30;25,0488;
2017-05-31;23,297037;
2017-06-30;22,407692;
2017-07-31;19,689333;
2017-08-31;22,661538;
2017-09-30;23,576154;
2017-10-31;null;
2017-11-30;null;
2017-12-31;24,612174;
2018-01-31;null;
2018-02-28;24,295652;
2018-03-31;24,958;
2018-04-30;23,1144;
2018-05-31;22,07871;
2018-06-30;21,738;
2018-07-31;21,130968;
2018-08-31;23,855484;
2018-09-30;25,527333;
2018-10-31;26,898065;
2018-11-30;24,430667;
2018-12-31;24,487742;
2019-01-31;26,819355;
2019-02-28;26,286429;
2019-03-31;25,807097;
2019-04-30;25,248;
2019-05-31;24,703871;
2019-06-30;22,326667;
2019-07-31;21,44;
2019-08-31;23,093548;
2019-09-30;25,654667;
2019-10-31;26,687742;
2019-11-30;26,874;
2019-12-31;26,133548;
2020-01-31;25,178065;
2020-02-29;25,397931;
2020-03-31;23,836667;
2020-04-30;23,742;
2020-05-31;null;
2020-06-30;20,993793;
2020-07-31;21,036129;
2020-08-31;22,172258;
2020-09-30;25,51;
2020-10-31;26,282;
2020-11-30;null;
2020-12-31;24,830323;
2021-01-31;25,727742;
2021-02-28;24,05;
2021-03-31;24,136774;
2021-04-30;23,179333;
2021-05-31;22,228387;
2021-06-30;21,120667;
2021-07-31;20,462581;
2021-08-31;21,960645;
2021-09-30;26,298;
2021-10-31;26,014839;
2021-11-30;23,405333;
2021-12-31;23,657419;
2022-01-31;24,27871;
2022-02-28;24,352593;
2022-03-31;24,960667;
2022-04-30;24,124667;
2022-05-31;21,190667;
2022-06-30;20,170667;
2022-07-31;20,768667;
2022-08-31;22,234194;
2022-09-30;24,822;
2022-10-31;26;
2022-11-30;23,742667;
2022-12-31;23,585161;
2023-01-31;23,996129;
2023-02-28;25,73;
2023-03-31;25,692258;
2023-04-30;25,078;
2023-05-31;22,609032;
2023-06-30;21,145333;
2023-07-31;21,679355;
2023-08-31;23,663871;
2023-09-30;26,389655;
2023-10-31;27,456129;
2023-11-30;27,25;

