Nome: SALINAS
Codigo Estacao: 83441
Latitude: -16.154862
Longitude: -42.284921
Altitude: 476.07
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,090968;
2003-02-28;25,775714;
2003-03-31;25,669032;
2003-04-30;25,02;
2003-05-31;23,348387;
2003-06-30;20,9;
2003-07-31;20,667742;
2003-08-31;22,313548;
2003-09-30;24,393333;
2003-10-31;25,440645;
2003-11-30;25,32;
2003-12-31;27,122581;
2004-01-31;24,834194;
2004-02-29;24,331034;
2004-03-31;23,49871;
2004-04-30;23,248667;
2004-05-31;22,216774;
2004-06-30;19,921333;
2004-07-31;19,256774;
2004-08-31;20,688387;
2004-09-30;23,082667;
2004-10-31;25,128387;
2004-11-30;24,507333;
2004-12-31;25,205161;
2005-01-31;25,874194;
2005-02-28;24,986429;
2005-03-31;25,281935;
2005-04-30;24,610667;
2005-05-31;22,599355;
2005-06-30;21,250667;
2005-07-31;20,694194;
2005-08-31;22,967742;
2005-09-30;24,888;
2005-10-31;27,45;
2005-11-30;24,596667;
2005-12-31;24,236774;
2006-01-31;24,796129;
2006-02-28;26,864286;
2006-03-31;25,060645;
2006-04-30;23,166;
2006-05-31;20,406452;
2006-06-30;19,079333;
2006-07-31;19,129032;
2006-08-31;22,318065;
2006-09-30;23,461333;
2006-10-31;24,444516;
2006-11-30;23,836667;
2006-12-31;24,477419;
2007-01-31;25,407097;
2007-02-28;24,322857;
2007-03-31;24,425161;
2007-04-30;23,718;
2007-05-31;21,085806;
2007-06-30;20,220667;
2007-07-31;21,107097;
2007-08-31;21,261935;
2007-09-30;23,506667;
2007-10-31;26,374839;
2007-11-30;27,185333;
2007-12-31;25,235484;
2008-01-31;24,721935;
2008-02-29;25,065517;
2008-03-31;25,342581;
2008-04-30;24,436;
2008-05-31;21,98;
2008-06-30;21,158667;
2008-07-31;19,861935;
2008-08-31;22,80129;
2008-09-30;24,513333;
2008-10-31;27,188387;
2008-11-30;25,443333;
2008-12-31;24,360645;
2009-01-31;24,92129;
2009-02-28;25,675714;
2009-03-31;25,734839;
2009-04-30;23,715333;
2009-05-31;20,685161;
2009-06-30;20,787333;
2009-07-31;20,804516;
2009-08-31;22,56129;
2009-09-30;25,981333;
2009-10-31;25,797419;
2009-11-30;24,876;
2009-12-31;25,214194;
2010-01-31;26,387742;
2010-02-28;26,693571;
2010-03-31;25,110968;
2010-04-30;23,402;
2010-05-31;22,66129;
2010-06-30;20,002667;
2010-07-31;21,332903;
2010-08-31;21,270968;
2010-09-30;24,091333;
2010-10-31;26,590323;
2010-11-30;24,632;
2010-12-31;24,692258;
2011-01-31;24,652258;
2011-02-28;25,47;
2011-03-31;24,778065;
2011-04-30;23,597333;
2011-05-31;21,84;
2011-06-30;21,014;
2011-07-31;20,903226;
2011-08-31;22,860645;
2011-09-30;23,243333;
2011-10-31;24,598065;
2011-11-30;23,347333;
2011-12-31;24,32129;
2012-01-31;24,272903;
2012-02-29;25,555172;
2012-03-31;26,027097;
2012-04-30;26,204;
2012-05-31;22,929677;
2012-06-30;22,656667;
2012-07-31;22,116129;
2012-08-31;22,032258;
2012-09-30;25,34;
2012-10-31;26,860645;
2012-11-30;24,558;
2012-12-31;26,079355;
2013-01-31;26,192903;
2013-02-28;26,123571;
2013-03-31;26,987742;
2013-04-30;25,061333;
2013-05-31;23,845161;
2013-06-30;23,287333;
