Nome: ARACUAI
Codigo Estacao: 83442
Latitude: -16.84888888
Longitude: -42.06083333
Altitude: 317.67
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;26,258065;
2003-02-28;27,692143;
2003-03-31;27,872903;
2003-04-30;26,213793;
2003-05-31;24,360645;
2003-06-30;22,112667;
2003-07-31;22,014;
2003-08-31;23,64;
2003-09-30;25,393333;
2003-10-31;26,92;
2003-11-30;27,074;
2003-12-31;27,772258;
2004-01-31;25,874194;
2004-02-29;25,597857;
2004-03-31;24,560645;
2004-04-30;24,135333;
2004-05-31;23,191613;
2004-06-30;21,142;
2004-07-31;20,890323;
2004-08-31;22,331613;
2004-09-30;24,857333;
2004-10-31;26,750323;
2004-11-30;26,164;
2004-12-31;26,109677;
2005-01-31;26,979355;
2005-02-28;26,005;
2005-03-31;26,53871;
2005-04-30;26,437333;
2005-05-31;24,153548;
2005-06-30;22,719333;
2005-07-31;21,932258;
2005-08-31;24,330968;
2005-09-30;25,883333;
2005-10-31;28,619355;
2005-11-30;25,524667;
2005-12-31;25,160645;
2006-01-31;26,636774;
2006-02-28;28,917857;
2006-03-31;26,461935;
2006-04-30;24,764667;
2006-05-31;22,407742;
2006-06-30;21,336;
2006-07-31;20,747097;
2006-08-31;23,892258;
2006-09-30;24,633333;
2006-10-31;25,847742;
2006-11-30;25,119333;
2006-12-31;25,486452;
2007-01-31;26,39871;
2007-02-28;25,364286;
2007-03-31;25,744667;
2007-04-30;25,791333;
2007-05-31;22,670323;
2007-06-30;21,448;
2007-07-31;22,307742;
2007-08-31;23,128387;
2007-09-30;24,644667;
2007-10-31;27,647742;
2007-11-30;28,128;
2007-12-31;26,635484;
2008-01-31;26,696129;
2008-02-29;26,688276;
2008-03-31;26,236129;
2008-04-30;26,230667;
2008-05-31;23,929677;
2008-06-30;22,666897;
2008-07-31;21,061935;
2008-08-31;24,089677;
2008-09-30;25,304;
2008-10-31;28,368387;
2008-11-30;26,440667;
2008-12-31;25,033548;
2009-01-31;25,914839;
2009-02-28;27,345714;
2009-03-31;27,733548;
2009-04-30;25,223333;
2009-05-31;22,787742;
2009-06-30;22,653333;
2009-07-31;22,773548;
2009-08-31;24,278065;
2009-09-30;27,472;
2009-10-31;26,926452;
2009-11-30;26,731333;
2009-12-31;26,154194;
2010-01-31;28,008387;
2010-02-28;28,198571;
2010-03-31;26,325161;
2010-04-30;25,342;
2010-05-31;24,154839;
2010-06-30;21,28;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;26,729677;
2010-11-30;25,292;
2010-12-31;25,818065;
2011-01-31;26,132258;
2011-02-28;27,910714;
2011-03-31;26,599355;
2011-04-30;25,223333;
2011-05-31;23,276129;
2011-06-30;22,591333;
2011-07-31;22,242581;
2011-08-31;24,259355;
2011-09-30;24,137333;
2011-10-31;25,327742;
2011-11-30;24,573333;
2011-12-31;25,362581;
2012-01-31;25,812903;
2012-02-29;27,524828;
2012-03-31;27,986452;
2012-04-30;27,314;
2012-05-31;23,443871;
2012-06-30;23,049333;
2012-07-31;22,460645;
2012-08-31;22,973548;
2012-09-30;25,880667;
2012-10-31;27,49871;
2012-11-30;25,494;
2012-12-31;27,249677;
2013-01-31;27,113548;
2013-02-28;27,317143;
2013-03-31;27,856129;
2013-04-30;25,393103;
2013-05-31;24,305161;
2013-06-30;23,878;
2013-07-31;23,320645;
2013-08-31;24,133548;
2013-09-30;25,634;
2013-10-31;25,761935;
2013-11-30;26,845333;
2013-12-31;25,790968;
2014-01-31;26,449677;
2014-02-28;27,872857;
2014-03-31;27,170968;
2014-04-30;26,518667;
2014-05-31;24,615484;
2014-06-30;23,326897;
2014-07-31;22,770323;
2014-08-31;23,463226;
2014-09-30;25,971333;
2014-10-31;26,649677;
2014-11-30;26,219333;
2014-12-31;25,940645;
2015-01-31;28,512258;
2015-02-28;27,151429;
2015-03-31;27,13871;
2015-04-30;26,048667;
2015-05-31;23,812903;
2015-06-30;23,249333;
2015-07-31;23,074194;
2015-08-31;23,810968;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;29,116129;
2016-01-31;26,518065;
2016-02-29;27,782069;
2016-03-31;28,624516;
2016-04-30;27,681333;
2016-05-31;25,180645;
2016-06-30;22,874;
2016-07-31;22,690968;
2016-08-31;24,744516;
2016-09-30;26,644667;
2016-10-31;27,435484;
2016-11-30;26,464;
2016-12-31;26,174839;
2017-01-31;27,948387;
2017-02-28;26,523571;
2017-03-31;27,516129;
2017-04-30;26,021333;
2017-05-31;24,399355;
2017-06-30;23,488;
2017-07-31;21,058065;
2017-08-31;22,632258;
2017-09-30;24,651333;
2017-10-31;28,02129;
2017-11-30;26,164;
2017-12-31;25,835484;
2018-01-31;28,268387;
2018-02-28;26,321429;
2018-03-31;26,423871;
2018-04-30;24,954667;
2018-05-31;23,745161;
2018-06-30;23,230667;
2018-07-31;22,625161;
2018-08-31;25,197419;
2018-09-30;26,772;
2018-10-31;27,623226;
2018-11-30;26,092667;
2018-12-31;25,963871;
2019-01-31;28,632258;
2019-02-28;28,574286;
2019-03-31;28,478261;
2019-04-30;27,455333;
2019-05-31;26,282581;
2019-06-30;23,82;
2019-07-31;22,262581;
2019-08-31;23,732903;
2019-09-30;26,272;
2019-10-31;27,869677;
2019-11-30;29,036667;
2019-12-31;28,37871;
2020-01-31;27,915484;
2020-02-29;28,249655;
2020-03-31;25,382667;
2020-04-30;24,67;
2020-05-31;null;
2020-06-30;22,131333;
2020-07-31;22,138065;
2020-08-31;22,996667;
2020-09-30;26,768;
2020-10-31;27,863333;
2020-11-30;null;
2020-12-31;27,023226;
2021-01-31;28,420645;
2021-02-28;26,102143;
2021-03-31;26,123226;
2021-04-30;25,271333;
2021-05-31;23,489677;
2021-06-30;22,33931;
2021-07-31;21,907097;
2021-08-31;23,337419;
2021-09-30;27,030345;
2021-10-31;27,630323;
2021-11-30;25,39931;
2021-12-31;25,258667;
2022-01-31;26,148387;
2022-02-28;26,614815;
2022-03-31;26,818571;
2022-04-30;25,989333;
2022-05-31;23,024;
2022-06-30;20,793333;
2022-07-31;22,873548;
2022-08-31;23,477419;
2022-09-30;25,474667;
2022-10-31;28,097419;
2022-11-30;25,550667;
2022-12-31;25,178667;
2023-01-31;26,43;
2023-02-28;27,451429;
2023-03-31;27,492903;
2023-04-30;26,546;
2023-05-31;23,246667;
2023-06-30;21,631034;
2023-07-31;22,234194;
2023-08-31;24,832903;
2023-09-30;26,993793;
2023-10-31;28,785161;
2023-11-30;30,037931;

