Nome: JURAMENTO
Codigo Estacao: 83452
Latitude: -16.775057
Longitude: -43.667085
Altitude: 655.59
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;23,940645;
2003-02-28;24,455714;
2003-03-31;24,221935;
2003-04-30;23,438667;
2003-05-31;21,641935;
2003-06-30;20,968;
2003-07-31;null;
2003-08-31;22,112903;
2003-09-30;24,098;
2003-10-31;24,962581;
2003-11-30;25,028667;
2003-12-31;25,108;
2004-01-31;24,056129;
2004-02-29;23,744138;
2004-03-31;23,496774;
2004-04-30;22,998667;
2004-05-31;22,503871;
2004-06-30;20,283333;
2004-07-31;19,380645;
2004-08-31;20,804516;
2004-09-30;23,15;
2004-10-31;25,602581;
2004-11-30;25,246667;
2004-12-31;24,263226;
2005-01-31;24,716129;
2005-02-28;23,837143;
2005-03-31;23,76;
2005-04-30;23,572;
2005-05-31;22,236129;
2005-06-30;20,937333;
2005-07-31;19,130323;
2005-08-31;21,237419;
2005-09-30;23,641333;
2005-10-31;25,95871;
2005-11-30;23,291333;
2005-12-31;22,760645;
2006-01-31;23,939355;
2006-02-28;25,003571;
2006-03-31;23,606452;
2006-04-30;22,053333;
2006-05-31;19,49871;
2006-06-30;18,04;
2006-07-31;18,147097;
2006-08-31;21,052258;
2006-09-30;22,130667;
2006-10-31;22,481935;
2006-11-30;22,605333;
2006-12-31;null;
2007-01-31;23,906667;
2007-02-28;22,723571;
2007-03-31;23,08;
2007-04-30;22,527333;
2007-05-31;20,609677;
2007-06-30;19,364;
2007-07-31;19,816774;
2007-08-31;19,841935;
2007-09-30;21,908667;
2007-10-31;24,95871;
2007-11-30;25,81;
2007-12-31;23,976774;
2008-01-31;23,391613;
2008-02-29;23,872414;
2008-03-31;22,770323;
2008-04-30;22,814;
2008-05-31;20,109677;
2008-06-30;19,253333;
2008-07-31;18,205161;
2008-08-31;20,988387;
2008-09-30;23,001333;
2008-10-31;26,397419;
2008-11-30;24,047333;
2008-12-31;22,919355;
2009-01-31;23,43871;
2009-02-28;23,777857;
2009-03-31;24,030323;
2009-04-30;22,432667;
2009-05-31;20,248387;
2009-06-30;19,630667;
2009-07-31;19,914194;
2009-08-31;21,347742;
2009-09-30;24,134667;
2009-10-31;24,047097;
2009-11-30;23,952667;
2009-12-31;23,300645;
2010-01-31;24,012258;
2010-02-28;24,652857;
2010-03-31;23,777419;
2010-04-30;22,077333;
2010-05-31;21,61871;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
