Nome: PARACATU
Codigo Estacao: 83479
Latitude: -17.24416666
Longitude: -46.88166666
Altitude: 711.41
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2021-11-22
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;24,378065;
2003-02-28;25,765;
2003-03-31;24,246;
2003-04-30;24,378;
2003-05-31;21,338065;
2003-06-30;20,939333;
2003-07-31;20,431613;
2003-08-31;23,085806;
2003-09-30;24,409333;
2003-10-31;25,28129;
2003-11-30;24,776667;
2003-12-31;25,678065;
2004-01-31;23,836129;
2004-02-29;23,337241;
2004-03-31;24,123226;
2004-04-30;23,294667;
2004-05-31;22,635484;
2004-06-30;20,326667;
2004-07-31;19,744516;
2004-08-31;21,932903;
2004-09-30;25,149333;
2004-10-31;26,213548;
2004-11-30;25,643333;
2004-12-31;23,569032;
2005-01-31;24,469032;
2005-02-28;25,039286;
2005-03-31;24,532258;
2005-04-30;24,713333;
2005-05-31;21,856296;
2005-06-30;20,495333;
2005-07-31;20,215484;
2005-08-31;22,339355;
2005-09-30;24,634667;
2005-10-31;27,339355;
2005-11-30;22,946667;
2005-12-31;22,698065;
2006-01-31;24,152903;
2006-02-28;24,988571;
2006-03-31;23,741935;
2006-04-30;23,212414;
2006-05-31;20,996129;
2006-06-30;19,606;
2006-07-31;19,854839;
2006-08-31;22,48;
2006-09-30;23,427333;
2006-10-31;23,201935;
2006-11-30;23,308;
2006-12-31;23,727742;
2007-01-31;23,916129;
2007-02-28;23,537857;
2007-03-31;24,52;
2007-04-30;23,633333;
2007-05-31;21,621935;
2007-06-30;20,398;
2007-07-31;20,989677;
2007-08-31;21,289677;
2007-09-30;23,954667;
2007-10-31;26,123226;
2007-11-30;25,135862;
2007-12-31;24,216774;
2008-01-31;23,901935;
2008-02-29;24,229655;
2008-03-31;23,616774;
2008-04-30;23,982;
2008-05-31;21,379355;
2008-06-30;20,698667;
2008-07-31;19,54129;
2008-08-31;22,441935;
2008-09-30;24,399333;
2008-10-31;26,636774;
2008-11-30;24,252667;
2008-12-31;23,587097;
2009-01-31;24,105806;
2009-02-28;24,733571;
2009-03-31;24,672258;
2009-04-30;22,826;
2009-05-31;21,545806;
2009-06-30;20,329333;
2009-07-31;21,632903;
2009-08-31;22,003226;
2009-09-30;25,014;
2009-10-31;24,502581;
2009-11-30;25,256667;
2009-12-31;23,652258;
2010-01-31;24,959355;
2010-02-28;25,709286;
2010-03-31;24,50129;
2010-04-30;23,197333;
2010-05-31;22,362581;
2010-06-30;19,830667;
2010-07-31;20,970968;
2010-08-31;21,266;
2010-09-30;24,360667;
2010-10-31;25,449677;
2010-11-30;23,630667;
2010-12-31;24,839355;
2011-01-31;24,520645;
2011-02-28;25,744286;
2011-03-31;23,583871;
2011-04-30;23,298;
2011-05-31;21,62;
2011-06-30;20,365333;
2011-07-31;20,747742;
2011-08-31;23,141935;
2011-09-30;24,34;
2011-10-31;23,609677;
2011-11-30;23,314;
2011-12-31;23,37871;
2012-01-31;23,153548;
2012-02-29;24,597931;
2012-03-31;24,506452;
2012-04-30;24,714;
2012-05-31;21,534194;
2012-06-30;22,170667;
2012-07-31;21;
2012-08-31;21,346452;
2012-09-30;24,474;
2012-10-31;26,144516;
2012-11-30;23,826;
2012-12-31;25,537419;
2013-01-31;23,650323;
2013-02-28;24,974286;
2013-03-31;24,463226;
2013-04-30;22,601379;
2013-05-31;21,892903;
2013-06-30;21,45;
2013-07-31;20,965806;
2013-08-31;21,82129;
2013-09-30;24,122667;
2013-10-31;24,134839;
2013-11-30;24,212;
2013-12-31;24,060645;
2014-01-31;24,742667;
2014-02-28;24,930714;
2014-03-31;24,08129;
2014-04-30;23,836667;
2014-05-31;21,81871;
2014-06-30;21,059333;
2014-07-31;20,463871;
2014-08-31;22,465161;
