Nome: JOAO PINHEIRO
Codigo Estacao: 83481
Latitude: -17.74027777
Longitude: -46.17694443
Altitude: 759.62
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2018-01-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;24,143871;
2003-02-28;25,666429;
2003-03-31;24,26129;
2003-04-30;24,728;
2003-05-31;21,78;
2003-06-30;22,066667;
2003-07-31;21,230323;
2003-08-31;23,044516;
2003-09-30;24,413333;
2003-10-31;25,250968;
2003-11-30;24,346;
2003-12-31;25,645161;
2004-01-31;23,768387;
2004-02-29;23,213103;
2004-03-31;23,770968;
2004-04-30;23,226667;
2004-05-31;22,845806;
2004-06-30;20,897333;
2004-07-31;19,872903;
2004-08-31;22,557419;
2004-09-30;25,437333;
2004-10-31;26,195484;
2004-11-30;25,232667;
2004-12-31;23,758065;
2005-01-31;24,410968;
2005-02-28;24,684286;
2005-03-31;24,406452;
2005-04-30;25,082;
2005-05-31;22,429677;
2005-06-30;21,404667;
2005-07-31;21,138065;
2005-08-31;23,14129;
2005-09-30;25,222667;
2005-10-31;27,907742;
2005-11-30;22,969333;
2005-12-31;22,956774;
2006-01-31;25,054839;
2006-02-28;26,045185;
2006-03-31;24,287742;
2006-04-30;23,781333;
2006-05-31;22,009677;
2006-06-30;20,729333;
2006-07-31;21,107742;
2006-08-31;23,360645;
2006-09-30;23,974;
2006-10-31;23,265806;
2006-11-30;23,433333;
2006-12-31;24,027742;
2007-01-31;24,330968;
2007-02-28;23,81;
2007-03-31;25,409677;
2007-04-30;24,489333;
2007-05-31;22,678065;
2007-06-30;21,822667;
2007-07-31;22,030323;
2007-08-31;22,288387;
2007-09-30;24,684;
2007-10-31;26,687097;
2007-11-30;25,453333;
2007-12-31;24,493548;
2008-01-31;24,01871;
2008-02-29;24,509655;
2008-03-31;23,826452;
2008-04-30;24,736;
2008-05-31;22,54129;
2008-06-30;21,974667;
2008-07-31;20,970968;
2008-08-31;23,714194;
2008-09-30;24,966667;
2008-10-31;27,253548;
2008-11-30;24,518667;
2008-12-31;23,77871;
2009-01-31;24,625161;
2009-02-28;25,235714;
2009-03-31;25,478065;
2009-04-30;23,528;
2009-05-31;22,320645;
2009-06-30;21,2672;
2009-07-31;22,761935;
2009-08-31;22,839355;
2009-09-30;25,734;
2009-10-31;24,839355;
2009-11-30;25,560667;
2009-12-31;23,543226;
2010-01-31;25,572258;
2010-02-28;26,268571;
2010-03-31;24,74;
2010-04-30;23,737333;
2010-05-31;23,049677;
2010-06-30;20,461333;
2010-07-31;21,361935;
2010-08-31;22,266452;
2010-09-30;24,452667;
2010-10-31;25,687097;
2010-11-30;23,456;
2010-12-31;24,548387;
2011-01-31;24,398065;
2011-02-28;26,044286;
2011-03-31;23,758065;
2011-04-30;23,924;
2011-05-31;22,62129;
2011-06-30;21,204667;
2011-07-31;21,760645;
2011-08-31;24,013548;
2011-09-30;24,621333;
2011-10-31;23,68;
2011-11-30;22,921333;
2011-12-31;23,062581;
2012-01-31;23,56069;
2012-02-29;25,0625;
2012-03-31;24,807097;
2012-04-30;24,784;
2012-05-31;22,007059;
2012-06-30;22,73;
2012-07-31;21,87871;
2012-08-31;21,832903;
2012-09-30;24,984;
2012-10-31;26,502581;
2012-11-30;24,036667;
2012-12-31;26,547742;
2013-01-31;23,947097;
2013-02-28;25,831429;
2013-03-31;24,867097;
2013-04-30;23,107333;
2013-05-31;22,702581;
2013-06-30;22,434667;
2013-07-31;22,145161;
2013-08-31;22,923333;
2013-09-30;24,441333;
2013-10-31;24,590323;
2013-11-30;24,79;
2013-12-31;24,293548;
2014-01-31;25,214839;
2014-02-28;25,441429;
2014-03-31;24,653548;
2014-04-30;24,440667;
2014-05-31;23,272258;
2014-06-30;22,4875;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;

