Nome: PIRAPORA
Codigo Estacao: 83483
Latitude: -17.34916666
Longitude: -44.92166666
Altitude: 509.52
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2019-10-01
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,258065;
2003-02-28;26,595;
2003-03-31;25,849333;
2003-04-30;24,974667;
2003-05-31;21,974839;
2003-06-30;20,468;
2003-07-31;20,547097;
2003-08-31;23,458065;
2003-09-30;25,219333;
2003-10-31;26,310323;
2003-11-30;26,340667;
2003-12-31;27,150968;
2004-01-31;25,349677;
2004-02-29;24,573793;
2004-03-31;24,614839;
2004-04-30;23,542667;
2004-05-31;22,995484;
2004-06-30;20,216;
2004-07-31;19,856129;
2004-08-31;22,176129;
2004-09-30;25,798667;
2004-10-31;27,443871;
2004-11-30;27,224667;
2004-12-31;25,396774;
2005-01-31;25,68129;
2005-02-28;25,347857;
2005-03-31;25,228387;
2005-04-30;25,240667;
2005-05-31;22,338065;
2005-06-30;21,175333;
2005-07-31;20,926452;
2005-08-31;23,711613;
2005-09-30;26,083333;
2005-10-31;29,025806;
2005-11-30;24,344;
2005-12-31;24,342581;
2006-01-31;26,44129;
2006-02-28;27,207143;
2006-03-31;25,124516;
2006-04-30;24,022667;
2006-05-31;21,185806;
2006-06-30;20,191333;
2006-07-31;19,935484;
2006-08-31;23,651613;
2006-09-30;24,935333;
2006-10-31;24,669032;
2006-11-30;24,359333;
2006-12-31;24,950323;
2007-01-31;25,441935;
2007-02-28;24,757143;
2007-03-31;25,707097;
2007-04-30;24,959333;
2007-05-31;22,523871;
2007-06-30;21,06;
2007-07-31;21,559355;
2007-08-31;22,546452;
2007-09-30;25,428;
2007-10-31;27,871613;
2007-11-30;27,824;
2007-12-31;26,062581;
2008-01-31;25,535484;
2008-02-29;25,61931;
2008-03-31;24,583871;
2008-04-30;24,867333;
2008-05-31;21,894194;
2008-06-30;21,136667;
2008-07-31;19,834839;
2008-08-31;23,234839;
2008-09-30;25,48;
2008-10-31;28,534194;
2008-11-30;25,937333;
2008-12-31;24,903871;
2009-01-31;25,563871;
2009-02-28;26,116429;
2009-03-31;25,913548;
2009-04-30;24,068;
2009-05-31;22,115484;
2009-06-30;21,24;
2009-07-31;22,262;
2009-08-31;23,25871;
2009-09-30;26,629333;
2009-10-31;26,154839;
2009-11-30;26,665333;
2009-12-31;24,75871;
2010-01-31;26,314839;
2010-02-28;27,329286;
2010-03-31;25,823871;
2010-04-30;23,750667;
2010-05-31;23,18129;
2010-06-30;19,94;
2010-07-31;21,825161;
2010-08-31;21,828387;
2010-09-30;25,692667;
2010-10-31;27,209032;
2010-11-30;25,067333;
2010-12-31;26,256129;
2011-01-31;26,020645;
2011-02-28;27,543571;
2011-03-31;24,937419;
2011-04-30;24,352667;
2011-05-31;21,940645;
2011-06-30;20,843333;
2011-07-31;20,850968;
2011-08-31;23,665806;
2011-09-30;25,231333;
2011-10-31;24,869032;
2011-11-30;24,291333;
2011-12-31;24,290323;
2012-01-31;24,96129;
2012-02-29;26,225517;
2012-03-31;25,487097;
2012-04-30;25,358667;
2012-05-31;22,528387;
2012-06-30;22,636;
2012-07-31;21,632258;
2012-08-31;22,460645;
2012-09-30;25,581333;
2012-10-31;27,983871;
2012-11-30;25,278;
2012-12-31;27,702581;
2013-01-31;25,550968;
2013-02-28;26,665714;
2013-03-31;26,212258;
2013-04-30;23,80069;
2013-05-31;22,6;
2013-06-30;22,0376;
2013-07-31;null;
2013-08-31;24,32;
2013-09-30;26,02;
2013-10-31;26,011538;
2013-11-30;26,611538;
2013-12-31;25,256;
2014-01-31;26,183846;
2014-02-28;26,799091;
2014-03-31;26,353333;
2014-04-30;25,405833;
2014-05-31;22,845833;
2014-06-30;21,8992;
2014-07-31;21,7325;
2014-08-31;null;
2014-09-30;26,602;
2014-10-31;26,965714;
2014-11-30;26,115;
2014-12-31;25,704348;
2015-01-31;null;
2015-02-28;25,840909;
2015-03-31;25,777692;
2015-04-30;25,485714;
2015-05-31;23,3224;
2015-06-30;22,596667;
2015-07-31;23,074815;
2015-08-31;24,078462;
2015-09-30;27,938333;
2015-10-31;29,8344;
2015-11-30;29,219167;
2015-12-31;27,744615;
2016-01-31;null;
2016-02-29;27,7425;
2016-03-31;26,297273;
2016-04-30;26,1832;
2016-05-31;24,0776;
2016-06-30;22,262222;
2016-07-31;22,6064;
2016-08-31;24,222222;
2016-09-30;27,464;
2016-10-31;28,304167;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;

