Nome: CARBONITA
Codigo Estacao: 83485
Latitude: -17.533008
Longitude: -43.012091
Altitude: 765.37
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;23,251613;
2003-02-28;23,467143;
2003-03-31;23,419355;
2003-04-30;22,289333;
2003-05-31;19,92;
2003-06-30;17,910667;
2003-07-31;17,523871;
2003-08-31;19,567742;
2003-09-30;21,44;
2003-10-31;22,785806;
2003-11-30;23,412;
2003-12-31;23,993548;
2004-01-31;22,975484;
2004-02-29;22,77;
2004-03-31;22,262581;
2004-04-30;21,654;
2004-05-31;20,869032;
2004-06-30;18,388;
2004-07-31;17,734667;
2004-08-31;18,999355;
2004-09-30;21,04;
2004-10-31;23,181935;
2004-11-30;23,40069;
2004-12-31;23,5;
2005-01-31;23,767097;
2005-02-28;23,067857;
2005-03-31;23,642667;
2005-04-30;22,654;
2005-05-31;20,512258;
2005-06-30;19,095333;
2005-07-31;18,017419;
2005-08-31;20,398065;
2005-09-30;22,169655;
2005-10-31;24,028387;
2005-11-30;21,802667;
2005-12-31;22,014839;
2006-01-31;23,785161;
2006-02-28;25,08;
2006-03-31;23,138065;
2006-04-30;21,614667;
2006-05-31;18,796129;
2006-06-30;17,332;
2006-07-31;16,869032;
2006-08-31;19,977419;
2006-09-30;20,548;
2006-10-31;21,863871;
2006-11-30;21,984667;
2006-12-31;23,327097;
2007-01-31;23,950323;
2007-02-28;22,737143;
2007-03-31;23,114194;
2007-04-30;22,274;
2007-05-31;19,374839;
2007-06-30;17,617241;
2007-07-31;17,377895;
2007-08-31;null;
2007-09-30;21,083529;
2007-10-31;23,801935;
2007-11-30;24,804;
2007-12-31;24,080645;
2008-01-31;23,010968;
2008-02-29;23,290345;
2008-03-31;22,812258;
2008-04-30;22,626667;
2008-05-31;18,985806;
2008-06-30;17,992;
2008-07-31;16,672903;
2008-08-31;19,623226;
2008-09-30;21,304;
2008-10-31;24,467742;
2008-11-30;22,842667;
2008-12-31;22,476;
2009-01-31;23,343871;
2009-02-28;24,086429;
2009-03-31;23,967097;
2009-04-30;21,846667;
2009-05-31;19,337419;
2009-06-30;18,730667;
2009-07-31;18,951613;
2009-08-31;19,490323;
2009-09-30;23,002667;
2009-10-31;23,114839;
2009-11-30;23,438;
2009-12-31;23,13871;
2010-01-31;24,217419;
2010-02-28;24,287857;
2010-03-31;23,849677;
2010-04-30;21,933333;
2010-05-31;20,226452;
2010-06-30;17,496;
2010-07-31;18,302581;
2010-08-31;18,016129;
2010-09-30;20,877333;
2010-10-31;23,111613;
2010-11-30;22,356;
2010-12-31;23,715484;
2011-01-31;23,079355;
2011-02-28;24,142857;
2011-03-31;22,965806;
2011-04-30;21,938;
2011-05-31;18,856129;
2011-06-30;18,193333;
2011-07-31;17,627742;
2011-08-31;19,678065;
2011-09-30;20,008667;
2011-10-31;21,417419;
2011-11-30;21,057241;
2011-12-31;22,043226;
2012-01-31;22,589032;
2012-02-29;23,366207;
2012-03-31;22,947742;
2012-04-30;22,728667;
2012-05-31;19,665161;
2012-06-30;19,229333;
2012-07-31;18,53871;
2012-08-31;18,805806;
2012-09-30;21,488;
2012-10-31;23,361935;
2012-11-30;22,728;
2012-12-31;24,972903;
2013-01-31;23,698065;
2013-02-28;23,742143;
2013-03-31;24,284516;
2013-04-30;21,22;
2013-05-31;19,74;
2013-06-30;19,328;
2013-07-31;18,974839;
2013-08-31;19,683226;
2013-09-30;21,754667;
2013-10-31;21,814839;
2013-11-30;23,094667;
