Nome: ITAMARANDIBA
Codigo Estacao: 83488
Latitude: -17.85972222
Longitude: -42.85277777
Altitude: 919.37
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;22,54129;
2003-02-28;22,167857;
2003-03-31;22,091613;
2003-04-30;21,032;
2003-05-31;18,547742;
2003-06-30;17,120667;
2003-07-31;null;
2003-08-31;null;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;22,82;
2004-01-31;21,630968;
2004-02-29;21,637241;
2004-03-31;20,947097;
2004-04-30;20,184;
2004-05-31;19,529032;
2004-06-30;16,992667;
2004-07-31;15,770968;
2004-08-31;17,167742;
2004-09-30;19,003333;
2004-10-31;21,112258;
2004-11-30;21,455333;
2004-12-31;22,245161;
2005-01-31;22,477419;
2005-02-28;21,830714;
2005-03-31;22,174839;
2005-04-30;20,985333;
2005-05-31;18,805806;
2005-06-30;17,354667;
2005-07-31;16,390323;
2005-08-31;18,52;
2005-09-30;20,092857;
2005-10-31;22,758065;
2005-11-30;20,486;
2005-12-31;20,776774;
2006-01-31;22,021935;
2006-02-28;23,76;
2006-03-31;22,107097;
2006-04-30;20,262;
2006-05-31;17,832258;
2006-06-30;16,056667;
2006-07-31;15,952258;
2006-08-31;18,59871;
2006-09-30;19,087333;
2006-10-31;20,508387;
2006-11-30;20,740667;
2006-12-31;21,850968;
2007-01-31;22,745161;
2007-02-28;21,392143;
2007-03-31;21,648387;
2007-04-30;20,760667;
2007-05-31;18,271613;
2007-06-30;17,265333;
2007-07-31;17,017419;
2007-08-31;17,204516;
2007-09-30;18,990667;
2007-10-31;22,023871;
2007-11-30;23,166;
2007-12-31;22,520645;
2008-01-31;21,693548;
2008-02-29;22,071034;
2008-03-31;21,484516;
2008-04-30;21,932667;
2008-05-31;18,187097;
2008-06-30;17,072667;
2008-07-31;15,605806;
2008-08-31;18,454194;
2008-09-30;19,795333;
2008-10-31;22,161818;
2008-11-30;20,431818;
2008-12-31;21,232903;
2009-01-31;22,130968;
2009-02-28;22,515;
2009-03-31;22,811613;
2009-04-30;20,655333;
2009-05-31;18,415484;
2009-06-30;17,980667;
2009-07-31;17,90129;
2009-08-31;18,117419;
2009-09-30;21,338667;
2009-10-31;21,889032;
2009-11-30;22,490667;
2009-12-31;21,911613;
2010-01-31;22,970323;
2010-02-28;23,178571;
2010-03-31;22,752258;
2010-04-30;20,394667;
2010-05-31;19,452258;
2010-06-30;15,714667;
2010-07-31;17,049032;
2010-08-31;16,974194;
2010-09-30;19,334;
2010-10-31;21,360645;
2010-11-30;21,161333;
2010-12-31;22,58129;
2011-01-31;21,697419;
2011-02-28;22,582143;
2011-03-31;21,915484;
2011-04-30;20,597333;
2011-05-31;17,810323;
2011-06-30;17,08;
2011-07-31;16,349677;
2011-08-31;18,215484;
2011-09-30;18,508;
2011-10-31;20,171613;
2011-11-30;19,607333;
2011-12-31;21,212903;
2012-01-31;21,167742;
2012-02-29;21,525517;
2012-03-31;21,430323;
2012-04-30;21,358667;
2012-05-31;18,426452;
2012-06-30;18,144;
2012-07-31;17,194194;
2012-08-31;16,800645;
2012-09-30;19,983333;
2012-10-31;21,555484;
2012-11-30;21,369333;
2012-12-31;23,279355;
2013-01-31;22,383226;
2013-02-28;22,112143;
2013-03-31;22,854194;
2013-04-30;20,152667;
2013-05-31;18,721935;
2013-06-30;18,173333;
2013-07-31;17,759355;
2013-08-31;18,16;
2013-09-30;20,134667;
2013-10-31;20,098065;
2013-11-30;21,585333;
2013-12-31;22,153548;
2014-01-31;22,084516;
2014-02-28;21,794286;
2014-03-31;21,483871;
2014-04-30;20,934667;
2014-05-31;19,072258;
2014-06-30;17,522667;
2014-07-31;17,14;
2014-08-31;null;
2014-09-30;20,922222;
2014-10-31;21,058065;
2014-11-30;21,569333;
2014-12-31;21,954194;
2015-01-31;23,399355;
2015-02-28;22,19;
2015-03-31;22,429032;
2015-04-30;21,167333;
2015-05-31;18,817419;
2015-06-30;18,096;
2015-07-31;17,77871;
2015-08-31;18,538065;
2015-09-30;22,744;
2015-10-31;23,627097;
2015-11-30;24,578;
2015-12-31;23,865161;
2016-01-31;22,623226;
2016-02-29;23,63931;
2016-03-31;22,941935;
2016-04-30;22,148667;
2016-05-31;19,730323;
2016-06-30;18,209286;
2016-07-31;17,823077;
2016-08-31;19,537778;
2016-09-30;null;
2016-10-31;22,633077;
2016-11-30;21,991538;
2016-12-31;22,076296;
2017-01-31;22,945385;
2017-02-28;21,765833;
2017-03-31;21,853333;
2017-04-30;21,0488;
2017-05-31;19,115556;
2017-06-30;17,789231;
2017-07-31;15,364;
2017-08-31;17,055556;
2017-09-30;18,8408;
2017-10-31;22,277692;
2017-11-30;null;
2017-12-31;21,639231;
2018-01-31;22,685926;
2018-02-28;22,149167;
2018-03-31;22,610769;
2018-04-30;20,1888;
2018-05-31;18,625926;
2018-06-30;17,809231;
2018-07-31;17,171538;
2018-08-31;18,891111;
2018-09-30;20,71913;
2018-10-31;22,672593;
2018-11-30;21,386923;
2018-12-31;null;
2019-01-31;22,929524;
2019-02-28;23,64;
2019-03-31;23,257692;
2019-04-30;22,535385;
2019-05-31;21,093333;
2019-06-30;null;
2019-07-31;17,1624;
2019-08-31;17,945185;
2019-09-30;21,017692;
2019-10-31;22,488387;
2019-11-30;23,547333;
2019-12-31;23,090968;
2020-01-31;23,177419;
2020-02-29;23,08069;
2020-03-31;21,164;
2020-04-30;20,602667;
2020-05-31;null;
2020-06-30;17,39;
2020-07-31;16,981935;
2020-08-31;17,076129;
2020-09-30;20,583333;
2020-10-31;21,947333;
2020-11-30;null;
2020-12-31;22,629677;
2021-01-31;22,431613;
2021-02-28;21,691429;
2021-03-31;21,629032;
2021-04-30;20,228;
2021-05-31;18,344516;
2021-06-30;17,022069;
2021-07-31;16,022581;
2021-08-31;16,844;
2021-09-30;21,138667;
2021-10-31;22,024516;
2021-11-30;20,738667;
2021-12-31;21,385806;
2022-01-31;22,08069;
2022-02-28;22,177778;
2022-03-31;21,925161;
2022-04-30;21,147333;
2022-05-31;18,239355;
2022-06-30;16,439167;
2022-07-31;17,352903;
2022-08-31;18,018667;
2022-09-30;19,837241;
2022-10-31;21,987742;
2022-11-30;21,065714;
2022-12-31;21,260714;
2023-01-31;22,104828;
2023-02-28;22,8144;
2023-03-31;22,297931;
2023-04-30;21,311111;
2023-05-31;19,1272;
2023-06-30;17,206429;
2023-07-31;17,072;
2023-08-31;18,931111;
2023-09-30;21,226429;
2023-10-31;23,666154;
2023-11-30;24,4616;

