Nome: TEOFILO OTONI
Codigo Estacao: 83492
Latitude: -17.86027777
Longitude: -41.5075
Altitude: 349.11
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2019-03-11
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;26,13871;
2003-02-28;26,275714;
2003-03-31;26,435484;
2003-04-30;24,898667;
2003-05-31;22,538065;
2003-06-30;20,822667;
2003-07-31;20,492258;
2003-08-31;21,816129;
2003-09-30;24,625333;
2003-10-31;24,840645;
2003-11-30;25,578;
2003-12-31;26,065161;
2004-01-31;25,206452;
2004-02-29;25,34069;
2004-03-31;24,132258;
2004-04-30;23,438;
2004-05-31;22,612258;
2004-06-30;20,680667;
2004-07-31;19,647097;
2004-08-31;21,07871;
2004-09-30;23,149333;
2004-10-31;24,743226;
2004-11-30;24,914667;
2004-12-31;25,373548;
2005-01-31;26,229032;
2005-02-28;25,514286;
2005-03-31;25,601935;
2005-04-30;24,468667;
2005-05-31;22,150968;
2005-06-30;20,901333;
2005-07-31;19,895484;
2005-08-31;21,389032;
2005-09-30;22,888;
2005-10-31;25,812903;
2005-11-30;23,598;
2005-12-31;24,315484;
2006-01-31;25,997419;
2006-02-28;27,992143;
2006-03-31;25,773548;
2006-04-30;23,974;
2006-05-31;21,419355;
2006-06-30;20,03;
2006-07-31;18,99871;
2006-08-31;22,176129;
2006-09-30;22,088;
2006-10-31;23,9;
2006-11-30;24,013333;
2006-12-31;25,194194;
2007-01-31;26,769677;
2007-02-28;25,298571;
2007-03-31;25,714194;
2007-04-30;24,518;
2007-05-31;21,947742;
2007-06-30;20,32;
2007-07-31;20,852258;
2007-08-31;21,194839;
2007-09-30;22,422;
2007-10-31;25,529677;
2007-11-30;26,855333;
2007-12-31;26,345806;
2008-01-31;25,515484;
2008-02-29;25,897931;
2008-03-31;25,540645;
2008-04-30;25,544667;
2008-05-31;22,587097;
2008-06-30;21,283333;
2008-07-31;19,78;
2008-08-31;22,509677;
2008-09-30;22,938;
2008-10-31;26,119355;
2008-11-30;25,057692;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;22,918667;
2011-12-31;24,994839;
2012-01-31;25,260645;
2012-02-29;25,806207;
2012-03-31;26,106452;
2012-04-30;25,613333;
2012-05-31;22,389677;
2012-06-30;22,449333;
2012-07-31;21,221935;
2012-08-31;21,284516;
2012-09-30;23,319333;
2012-10-31;25,251613;
2012-11-30;24,428;
2012-12-31;27,487742;
2013-01-31;26,627742;
2013-02-28;26,695714;
2013-03-31;26,429677;
2013-04-30;23,986667;
2013-05-31;22,683226;
2013-06-30;21,946667;
2013-07-31;21,772903;
2013-08-31;22,250323;
2013-09-30;23,536;
2013-10-31;23,672903;
2013-11-30;25,332;
2013-12-31;25,74;
2014-01-31;26,150323;
2014-02-28;26,195714;
2014-03-31;25,916774;
2014-04-30;24,908667;
2014-05-31;23,059355;
2014-06-30;21,807333;
2014-07-31;21,151613;
2014-08-31;21,563871;
2014-09-30;24,152;
2014-10-31;24,989677;
2014-11-30;25,354;
2014-12-31;25,729032;
2015-01-31;27,827742;
2015-02-28;26,899286;
2015-03-31;26,576774;
2015-04-30;25,019333;
2015-05-31;23,123226;
2015-06-30;21,988667;
2015-07-31;21,923226;
2015-08-31;21,805161;
2015-09-30;26,148667;
2015-10-31;27,013548;
2015-11-30;28,416;
2015-12-31;28,14;
2016-01-31;26,00129;
2016-02-29;28,117931;
2016-03-31;27,665161;
2016-04-30;26,671333;
2016-05-31;24,128387;
2016-06-30;21,775333;
2016-07-31;21,38;
2016-08-31;22,904516;
2016-09-30;24,679333;
2016-10-31;25,59871;
2016-11-30;25,126;
2016-12-31;25,906452;
2017-01-31;27,322581;
2017-02-28;25,811429;
2017-03-31;26,194839;
2017-04-30;25,541333;
2017-05-31;23,226452;
2017-06-30;22,554667;
2017-07-31;19,54;
2017-08-31;21,015484;
2017-09-30;22,472667;
2017-10-31;25,700645;
2017-11-30;24,601333;
2017-12-31;25,251613;
2018-01-31;26,834839;
2018-02-28;25,752143;
2018-03-31;26,122143;
2018-04-30;23,945333;
2018-05-31;null;
2018-06-30;21,355385;
2018-07-31;20,758462;
2018-08-31;22,684444;
2018-09-30;24,3512;
2018-10-31;25,857778;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;

