Nome: SERRA DOS AIMORES
Codigo Estacao: 83500
Latitude: -17.798812
Longitude: -40.249925
Altitude: 211.92
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2006-08-20
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,75871;
2003-02-28;26,068571;
2003-03-31;26,192903;
2003-04-30;24,598;
2003-05-31;null;
2003-06-30;22,722667;
2003-07-31;21,432903;
2003-08-31;null;
2003-09-30;null;
2003-10-31;24,583871;
2003-11-30;24,882667;
2003-12-31;25,274194;
2004-01-31;24,176129;
2004-02-29;25,698621;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;24,135484;
2004-11-30;null;
2004-12-31;null;
2005-01-31;26,085806;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;22,06;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;25,813548;
2005-11-30;23,741333;
2005-12-31;null;
2006-01-31;null;
2006-02-28;27,05;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;

