Nome: CAPINOPOLIS
Codigo Estacao: 83514
Latitude: -18.7261111
Longitude: -49.56222222
Altitude: 608.98
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2018-08-13
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;24,089677;
2003-02-28;24,692857;
2003-03-31;23,830323;
2003-04-30;23,665333;
2003-05-31;20,436129;
2003-06-30;21,409333;
2003-07-31;20,773548;
2003-08-31;21,345806;
2003-09-30;24,588667;
2003-10-31;25,127097;
2003-11-30;24,36;
2003-12-31;25,444516;
2004-01-31;24,228387;
2004-02-29;23,597241;
2004-03-31;24,123871;
2004-04-30;23,514;
2004-05-31;20,914839;
2004-06-30;19,806207;
2004-07-31;19,884516;
2004-08-31;22,574194;
2004-09-30;26,316;
2004-10-31;24,265806;
2004-11-30;24,888667;
2004-12-31;24,540645;
2005-01-31;24,270323;
2005-02-28;24,807143;
2005-03-31;24,576129;
2005-04-30;24,670667;
2005-05-31;22,031613;
2005-06-30;21,261333;
2005-07-31;20,354194;
2005-08-31;22,581935;
2005-09-30;24,204667;
2005-10-31;26,112258;
2005-11-30;24,191333;
2005-12-31;23,765161;
2006-01-31;24,445161;
2006-02-28;24,138571;
2006-03-31;24,265806;
2006-04-30;23,591333;
2006-05-31;19,998065;
2006-06-30;20,443333;
2006-07-31;21,200645;
2006-08-31;23,461935;
2006-09-30;23,882;
2006-10-31;23,987742;
2006-11-30;24,221333;
2006-12-31;24,132258;
2007-01-31;24,185161;
2007-02-28;24,474286;
2007-03-31;24,87871;
2007-04-30;24,329333;
2007-05-31;21,371613;
2007-06-30;21,035333;
2007-07-31;20,760645;
2007-08-31;22,423226;
2007-09-30;25,721333;
2007-10-31;26,257419;
2007-11-30;24,92;
2007-12-31;24,474194;
2008-01-31;23,650323;
2008-02-29;23,26069;
2008-03-31;23,545161;
2008-04-30;23,258667;
2008-05-31;20,763871;
2008-06-30;21,184667;
2008-07-31;20,587742;
2008-08-31;23,465806;
2008-09-30;24,312;
2008-10-31;25,20129;
2008-11-30;24,493333;
2008-12-31;24,421935;
2009-01-31;24,006452;
2009-02-28;24,230714;
2009-03-31;24,396129;
2009-04-30;23,106667;
2009-05-31;21,891613;
2009-06-30;19,687333;
2009-07-31;21,756129;
2009-08-31;22,360645;
2009-09-30;24,37;
2009-10-31;24,335484;
2009-11-30;25,354667;
2009-12-31;23,717419;
2010-01-31;24,355484;
2010-02-28;25,119286;
2010-03-31;24,530323;
2010-04-30;23,046667;
2010-05-31;20,873548;
2010-06-30;20,341333;
2010-07-31;21,830323;
2010-08-31;22,454839;
2010-09-30;25,780667;
2010-10-31;24,813548;
2010-11-30;24,131333;
2010-12-31;24,731333;
2011-01-31;24,145161;
2011-02-28;24,45;
2011-03-31;23,723226;
2011-04-30;23,501333;
2011-05-31;21,472258;
2011-06-30;19,880667;
2011-07-31;21,490323;
2011-08-31;23,476774;
2011-09-30;25,321333;
2011-10-31;24,116129;
2011-11-30;24,053333;
2011-12-31;24,216129;
2012-01-31;23,040645;
2012-02-29;24,134483;
2012-03-31;24,565806;
2012-04-30;23,883333;
2012-05-31;21,038065;
2012-06-30;21,508667;
2012-07-31;20,537419;
2012-08-31;22,341935;
2012-09-30;25,465333;
2012-10-31;26,858065;
2012-11-30;25,126;
2012-12-31;25,363871;
2013-01-31;24,02129;
2013-02-28;24,222857;
2013-03-31;24,445806;
2013-04-30;22,734667;
2013-05-31;21,863871;
2013-06-30;21,986;
2013-07-31;20,372903;
2013-08-31;21,776129;
2013-09-30;24,420667;
2013-10-31;24,981935;
2013-11-30;24,650667;
2013-12-31;24,642581;
2014-01-31;24,859355;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;24,462143;
2015-03-31;23,809032;
2015-04-30;24,196667;
2015-05-31;21,591613;
2015-06-30;21,392667;
2015-07-31;21,949032;
2015-08-31;23,285806;
2015-09-30;25,73;
2015-10-31;27,692903;
2015-11-30;25,729333;
2015-12-31;25,215484;
2016-01-31;24,26129;
2016-02-29;25,192414;
2016-03-31;25,245806;
2016-04-30;24,950667;
2016-05-31;22,837419;
2016-06-30;20,773333;
2016-07-31;22,011613;
2016-08-31;23,017419;
2016-09-30;25,387333;
2016-10-31;25,160645;
2016-11-30;24,336;
2016-12-31;24,616129;
2017-01-31;24,318065;
2017-02-28;24,842143;
2017-03-31;24,788387;
2017-04-30;24,158;
2017-05-31;22,799355;
2017-06-30;21,063333;
2017-07-31;19,579355;
2017-08-31;23,406452;
2017-09-30;24,921333;
2017-10-31;26,478065;
2017-11-30;24,276154;
2017-12-31;24,664516;
2018-01-31;24,627097;
2018-02-28;24,297857;
2018-03-31;25,332258;
2018-04-30;23,568;
2018-05-31;21,769286;
2018-06-30;22,462667;
2018-07-31;null;
2018-08-31;null;

