Nome: ITUIUTABA
Codigo Estacao: 83521
Latitude: -18.952916
Longitude: -49.525072
Altitude: 540.09
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2015-10-25
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,23871;
2003-02-28;25,942143;
2003-03-31;24,577419;
2003-04-30;24,397333;
2003-05-31;20,20129;
2003-06-30;20,678667;
2003-07-31;20,247742;
2003-08-31;21,236129;
2003-09-30;24,947143;
2003-10-31;25,780645;
2003-11-30;25,045333;
2003-12-31;26,222143;
2004-01-31;25,489032;
2004-02-29;24,866897;
2004-03-31;24,891613;
2004-04-30;24,26;
2004-05-31;21,260645;
2004-06-30;19,794667;
2004-07-31;19,726452;
2004-08-31;22,335484;
2004-09-30;26,586;
2004-10-31;25,1;
2004-11-30;25,668667;
2004-12-31;25,405161;
2005-01-31;25,225161;
2005-02-28;25,782143;
2005-03-31;25,626452;
2005-04-30;25,037333;
2005-05-31;21,806452;
2005-06-30;20,717333;
2005-07-31;20,091613;
2005-08-31;22,606452;
2005-09-30;24,734667;
2005-10-31;26,656774;
2005-11-30;24,927333;
2005-12-31;24,529032;
2006-01-31;25,256129;
2006-02-28;25,225;
2006-03-31;25,193548;
2006-04-30;23,901333;
2006-05-31;19,531613;
2006-06-30;19,974;
2006-07-31;20,645161;
2006-08-31;23,452903;
2006-09-30;23,986667;
2006-10-31;24,847097;
2006-11-30;25,194667;
2006-12-31;25,461935;
2007-01-31;25,326452;
2007-02-28;25,544286;
2007-03-31;25,641935;
2007-04-30;25,068667;
2007-05-31;21,289032;
2007-06-30;20,825333;
2007-07-31;21,072258;
2007-08-31;22,631613;
2007-09-30;26,192667;
2007-10-31;26,452903;
2007-11-30;25,466;
2007-12-31;25,594194;
2008-01-31;24,816129;
2008-02-29;24,488966;
2008-03-31;24,487097;
2008-04-30;24,082;
2008-05-31;20,869677;
2008-06-30;20,938667;
2008-07-31;19,943226;
2008-08-31;23,623226;
2008-09-30;24,410667;
2008-10-31;25,787097;
2008-11-30;25,328;
2008-12-31;25,132258;
2009-01-31;25,11871;
2009-02-28;25,497857;
2009-03-31;25,398065;
2009-04-30;23,581333;
2009-05-31;22,209032;
2009-06-30;19,526667;
2009-07-31;21,725161;
2009-08-31;22,472258;
2009-09-30;24,760667;
2009-10-31;25,129677;
2009-11-30;26,284;
2009-12-31;24,73871;
2010-01-31;25,777419;
2010-02-28;26,295714;
2010-03-31;25,601935;
2010-04-30;23,26;
2010-05-31;20,500645;
2010-06-30;19,222667;
2010-07-31;21,286452;
2010-08-31;21,670323;
2010-09-30;26,075333;
2010-10-31;25,13871;
2010-11-30;25,163333;
2010-12-31;25,956129;
2011-01-31;25,392258;
2011-02-28;25,329286;
2011-03-31;24,44129;
2011-04-30;23,882;
2011-05-31;21,19871;
2011-06-30;19,322;
2011-07-31;20,572258;
2011-08-31;22,917419;
2011-09-30;25,356;
2011-10-31;24,874839;
2011-11-30;24,574;
2011-12-31;25,22129;
2012-01-31;24,159355;
2012-02-29;25,206897;
2012-03-31;25,35871;
2012-04-30;24,616667;
2012-05-31;21,091613;
2012-06-30;21,126667;
2012-07-31;19,605161;
2012-08-31;21,851613;
2012-09-30;25,193103;
2012-10-31;27,455484;
2012-11-30;25,644;
2012-12-31;26,309032;
2013-01-31;25,127742;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;

