Nome: UBERLANDIA
Codigo Estacao: 83527
Latitude: -18.917052
Longitude: -48.255676
Altitude: 874.6
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2006-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;null;
2003-05-31;null;
2003-06-30;null;
2003-07-31;null;
2003-08-31;null;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;null;
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;19,174667;
2004-08-31;22,047742;
2004-09-30;25,282;
2004-10-31;24,317419;
2004-11-30;24,028667;
2004-12-31;23,696;
2005-01-31;23,782581;
2005-02-28;24,653571;
2005-03-31;24,001935;
2005-04-30;24,367333;
2005-05-31;21,397419;
2005-06-30;20,268667;
2005-07-31;20,030323;
2005-08-31;22,084516;
2005-09-30;23,974667;
2005-10-31;26,136667;
2005-11-30;23,156;
2005-12-31;22,60069;
2006-01-31;24,598667;
2006-02-28;24,282963;
2006-03-31;23,674839;
2006-04-30;23,032414;
2006-05-31;20,050968;
2006-06-30;19,8;
2006-07-31;20,475484;
2006-08-31;22,846452;
2006-09-30;22,629333;
2006-10-31;23,033548;
2006-11-30;23,284;

