Nome: PATOS DE MINAS
Codigo Estacao: 83531
Latitude: -18.51972221
Longitude: -46.43916666
Altitude: 947.68
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2018-05-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;22,544516;
2003-02-28;23,758571;
2003-03-31;21,980667;
2003-04-30;22,196;
2003-05-31;19,314194;
2003-06-30;19,658667;
2003-07-31;19,250968;
2003-08-31;21,116129;
2003-09-30;22,586667;
2003-10-31;23,314194;
2003-11-30;22,544667;
2003-12-31;23,716774;
2004-01-31;22,31871;
2004-02-29;21,74;
2004-03-31;21,652903;
2004-04-30;21,357333;
2004-05-31;20,063226;
2004-06-30;18,288;
2004-07-31;17,813548;
2004-08-31;20,305333;
2004-09-30;23,689333;
2004-10-31;23,80129;
2004-11-30;23,629333;
2004-12-31;22,014839;
2005-01-31;23,005517;
2005-02-28;22,718571;
2005-03-31;22,570968;
2005-04-30;22,775172;
2005-05-31;20,050667;
2005-06-30;18,973333;
2005-07-31;18,68129;
2005-08-31;20,854194;
2005-09-30;23;
2005-10-31;25,735172;
2005-11-30;21,511852;
2005-12-31;21,178;
2006-01-31;22,965806;
2006-02-28;23,3;
2006-03-31;22,415484;
2006-04-30;21,584667;
2006-05-31;19,131613;
2006-06-30;17,962667;
2006-07-31;18,447097;
2006-08-31;21,169032;
2006-09-30;21,666;
2006-10-31;21,592903;
2006-11-30;21,670667;
2006-12-31;22,206452;
2007-01-31;22,522581;
2007-02-28;22,076429;
2007-03-31;22,83871;
2007-04-30;21,814667;
2007-05-31;19,677419;
2007-06-30;18,916;
2007-07-31;19,557419;
2007-08-31;20,52;
2007-09-30;23,106;
2007-10-31;24,306452;
2007-11-30;23,257333;
2007-12-31;22,847742;
2008-01-31;22,246452;
2008-02-29;22,542069;
2008-03-31;21,971613;
2008-04-30;21,935333;
2008-05-31;19,264516;
2008-06-30;19,252667;
2008-07-31;18,202581;
2008-08-31;21,14;
2008-09-30;22,461333;
2008-10-31;24,310323;
2008-11-30;22,34;
2008-12-31;21,723226;
2009-01-31;22,510323;
2009-02-28;22,958571;
2009-03-31;22,869032;
2009-04-30;21,041333;
2009-05-31;19,72;
2009-06-30;18,104;
2009-07-31;19,913548;
2009-08-31;20,280645;
2009-09-30;23,037333;
2009-10-31;22,650968;
2009-11-30;23,767333;
2009-12-31;22,090323;
2010-01-31;23,369032;
2010-02-28;23,868571;
2010-03-31;22,876129;
2010-04-30;21,304;
2010-05-31;19,845161;
2010-06-30;17,742667;
2010-07-31;19,329032;
2010-08-31;20,055484;
2010-09-30;22,754667;
2010-10-31;23,1;
2010-11-30;21,774667;
2010-12-31;23,132903;
2011-01-31;22,606452;
2011-02-28;23,802857;
2011-03-31;22,007742;
2011-04-30;21,531333;
2011-05-31;19,973548;
2011-06-30;18,34;
2011-07-31;19,236774;
2011-08-31;21,921935;
2011-09-30;22,810667;
2011-10-31;21,689333;
2011-11-30;21,410667;
2011-12-31;21,46;
2012-01-31;21,329677;
2012-02-29;22,489655;
2012-03-31;22,236129;
2012-04-30;22,211333;
2012-05-31;18,983226;
2012-06-30;19,669333;
2012-07-31;18,823226;
2012-08-31;19,646452;
2012-09-30;22,754667;
2012-10-31;24,154839;
2012-11-30;22,464667;
2012-12-31;24,125161;
2013-01-31;22,382581;
2013-02-28;23,570714;
2013-03-31;22,594194;
2013-04-30;20,712;
2013-05-31;20,041935;
2013-06-30;19,578;
2013-07-31;19,086452;
2013-08-31;20,352258;
2013-09-30;22,204;
2013-10-31;22,194839;
2013-11-30;22,577333;
2013-12-31;22,895484;
2014-01-31;23,098065;
2014-02-28;23,321429;
2014-03-31;22,403226;
2014-04-30;21,729333;
2014-05-31;19,856774;
2014-06-30;19,586667;
2014-07-31;18,596774;
2014-08-31;20,75871;
2014-09-30;23,623333;
2014-10-31;23,919355;
2014-11-30;22,850667;
2014-12-31;22,429677;
2015-01-31;24,100645;
2015-02-28;22,135714;
2015-03-31;21,776774;
2015-04-30;21,941333;
2015-05-31;20,203226;
2015-06-30;19,361333;
2015-07-31;19,747097;
2015-08-31;20,832258;
2015-09-30;23,953333;
2015-10-31;25,925161;
2015-11-30;24,435333;
2015-12-31;23,350968;
2016-01-31;22,538065;
2016-02-29;23,806897;
2016-03-31;23,180645;
2016-04-30;22,916;
2016-05-31;20,596129;
2016-06-30;18,895714;
2016-07-31;20,256923;
2016-08-31;null;
2016-09-30;24,059231;
2016-10-31;23,825385;
2016-11-30;22,161538;
2016-12-31;22,677037;
2017-01-31;23,572308;
2017-02-28;22,503333;
2017-03-31;22,914074;
2017-04-30;22,6552;
2017-05-31;20,44;
2017-06-30;19,338462;
2017-07-31;17,927692;
2017-08-31;21,30963;
2017-09-30;22,019231;
2017-10-31;24,23;
2017-11-30;22,067692;
2017-12-31;null;
2018-01-31;23,139259;
2018-02-28;22,576667;
2018-03-31;23,266667;
2018-04-30;21,1008;
2018-05-31;19,511111;

