Nome: BOM DESPACHO
Codigo Estacao: 83533
Latitude: -19.71944443
Longitude: -45.36749999
Altitude: 695
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2019-01-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;24,125806;
2003-02-28;23,747143;
2003-03-31;23,205806;
2003-04-30;22,846667;
2003-05-31;null;
2003-06-30;16,648667;
2003-07-31;15,851613;
2003-08-31;18,139355;
2003-09-30;20,334667;
2003-10-31;21,489032;
2003-11-30;23,084;
2003-12-31;24,012903;
2004-01-31;23,307742;
2004-02-29;22,508276;
2004-03-31;22,243226;
2004-04-30;21,45;
2004-05-31;18,911613;
2004-06-30;16,506667;
2004-07-31;15,594194;
2004-08-31;16,858065;
2004-09-30;20,198667;
2004-10-31;22,367097;
2004-11-30;22,97;
2004-12-31;23,2;
2005-01-31;24,995484;
2005-02-28;23,508571;
2005-03-31;23,506452;
2005-04-30;22,347333;
2005-05-31;18,909032;
2005-06-30;17,884;
2005-07-31;16,856774;
2005-08-31;18,572903;
2005-09-30;21,748667;
2005-10-31;24,306452;
2005-11-30;22,352667;
2005-12-31;22,325161;
2006-01-31;23,277419;
2006-02-28;23,808571;
2006-03-31;23,212903;
2006-04-30;21,580667;
2006-05-31;17,924516;
2006-06-30;16,432;
2006-07-31;15,259355;
2006-08-31;17,990968;
2006-09-30;20,004;
2006-10-31;22,128387;
2006-11-30;22,281333;
2006-12-31;23,801053;
2007-01-31;23,725806;
2007-02-28;23,187143;
2007-03-31;22,918065;
2007-04-30;22,173333;
2007-05-31;18,094194;
2007-06-30;16,015333;
2007-07-31;16,286452;
2007-08-31;17,02;
2007-09-30;20,404;
2007-10-31;23,132903;
2007-11-30;23,208667;
2007-12-31;23,622581;
2008-01-31;23,074839;
2008-02-29;23,508276;
2008-03-31;22,655484;
2008-04-30;22,101333;
2008-05-31;17,905161;
2008-06-30;17,22;
2008-07-31;14,832258;
2008-08-31;18,365806;
2008-09-30;19,830667;
2008-10-31;23,125161;
2008-11-30;23,192;
2008-12-31;22,905806;
2009-01-31;23,570323;
2009-02-28;24,014286;
2009-03-31;23,709677;
2009-04-30;21,221333;
2009-05-31;18,470968;
2009-06-30;16,550667;
2009-07-31;17,396129;
2009-08-31;18,374194;
2009-09-30;22,3;
2009-10-31;23,342581;
2009-11-30;24,32;
2009-12-31;23,458065;
2010-01-31;24,275652;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;16,419355;
2010-09-30;20,139333;
2010-10-31;22,592258;
2010-11-30;22,833333;
2010-12-31;24,330968;
2011-01-31;23,949677;
2011-02-28;24,712857;
2011-03-31;23,149032;
2011-04-30;21,448667;
2011-05-31;18,441935;
2011-06-30;16,355333;
2011-07-31;16,38129;
2011-08-31;18,93871;
2011-09-30;20,222069;
2011-10-31;22,172903;
2011-11-30;21,667333;
2011-12-31;23,042581;
2012-01-31;23,089032;
2012-02-29;23,395862;
2012-03-31;23,345806;
2012-04-30;22,356;
2012-05-31;18,350968;
2012-06-30;18,504;
2012-07-31;16,622581;
2012-08-31;17,755484;
2012-09-30;20,471333;
2012-10-31;22,832903;
2012-11-30;23,246667;
2012-12-31;25,067742;
2013-01-31;23,905806;
2013-02-28;null;
2013-03-31;23,901935;
2013-04-30;20,894667;
2013-05-31;19,047097;
2013-06-30;18,553333;
2013-07-31;17,029032;
2013-08-31;17,808387;
2013-09-30;20,530667;
2013-10-31;21,334194;
2013-11-30;22,808667;
2013-12-31;24,152258;
2014-01-31;23,963226;
2014-02-28;23,902143;
2014-03-31;23,192667;
2014-04-30;22,078;
2014-05-31;18,494839;
2014-06-30;17,885333;
2014-07-31;17,046452;
2014-08-31;18,113548;
2014-09-30;21,780667;
2014-10-31;23,326452;
2014-11-30;23,922;
2014-12-31;24,225806;
2015-01-31;25,607742;
2015-02-28;24,115;
2015-03-31;23,525161;
2015-04-30;22,456667;
2015-05-31;19,377419;
2015-06-30;17,763333;
2015-07-31;18,524516;
2015-08-31;18,975484;
2015-09-30;22,268;
2015-10-31;25,258065;
2015-11-30;25,889333;
2015-12-31;24,553548;
2016-01-31;24,112258;
2016-02-29;25,406207;
2016-03-31;24,225806;
2016-04-30;22,892667;
2016-05-31;20,296774;
2016-06-30;17,353333;
2016-07-31;17,438065;
2016-08-31;19,350968;
2016-09-30;22,926;
2016-10-31;23,949677;
2016-11-30;23,270667;
2016-12-31;24,110323;
2017-01-31;25,456774;
2017-02-28;24,023571;
2017-03-31;23,591613;
2017-04-30;23,135333;
2017-05-31;20,160645;
2017-06-30;17,922;
2017-07-31;15,852903;
2017-08-31;18,881333;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;23,671429;
2018-03-31;23,954194;
2018-04-30;21,407333;
2018-05-31;18,368387;
2018-06-30;18,488667;
2018-07-31;16,811613;
2018-08-31;18,579355;
2018-09-30;21,787333;
2018-10-31;24,233548;
2018-11-30;22,61;
2018-12-31;24,268387;
2019-01-31;25,293548;

