Nome: CURVELO
Codigo Estacao: 83536
Latitude: -18.74749999
Longitude: -44.45472222
Altitude: 668.26
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2022-04-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;24,491613;
2003-02-28;25,637857;
2003-03-31;24,652258;
2003-04-30;23,842;
2003-05-31;20,287742;
2003-06-30;19,769333;
2003-07-31;19,029677;
2003-08-31;21,517419;
2003-09-30;23,54;
2003-10-31;24,805806;
2003-11-30;24,755333;
2003-12-31;25,430323;
2004-01-31;24,330968;
2004-02-29;23,344138;
2004-03-31;23,655484;
2004-04-30;22,781333;
2004-05-31;21,627742;
2004-06-30;19,108667;
2004-07-31;18,201935;
2004-08-31;20,435484;
2004-09-30;23,777333;
2004-10-31;25,345161;
2004-11-30;25,708667;
2004-12-31;24,077419;
2005-01-31;24,922581;
2005-02-28;24,480714;
2005-03-31;24,277419;
2005-04-30;23,973333;
2005-05-31;21,107097;
2005-06-30;19,843333;
2005-07-31;19,449032;
2005-08-31;21,746;
2005-09-30;23,9;
2005-10-31;26,629677;
2005-11-30;23,043333;
2005-12-31;23,809412;
2006-01-31;25,250968;
2006-02-28;26,031429;
2006-03-31;24,103226;
2006-04-30;22,972667;
2006-05-31;20,083226;
2006-06-30;18,862667;
2006-07-31;18,623871;
2006-08-31;21,682581;
2006-09-30;22,72;
2006-10-31;23,514194;
2006-11-30;23,472667;
2006-12-31;24,124516;
2007-01-31;24,36129;
2007-02-28;24,383571;
2007-03-31;25,305806;
2007-04-30;23,686;
2007-05-31;20,770968;
2007-06-30;19,579333;
2007-07-31;20,130323;
2007-08-31;20,624516;
2007-09-30;23,521333;
2007-10-31;25,992903;
2007-11-30;25,693333;
2007-12-31;25,263871;
2008-01-31;24,264516;
2008-02-29;25,085517;
2008-03-31;24,018065;
2008-04-30;24,192667;
2008-05-31;20,512903;
2008-06-30;20,122;
2008-07-31;18,51871;
2008-08-31;21,809032;
2008-09-30;23,071333;
2008-10-31;26,201935;
2008-11-30;24,304;
2008-12-31;23,753548;
2009-01-31;24,927097;
2009-02-28;25,452857;
2009-03-31;25,386452;
2009-04-30;23,056;
2009-05-31;21,424516;
2009-06-30;19,665333;
2009-07-31;20,988387;
2009-08-31;21,496129;
2009-09-30;24,996;
2009-10-31;24,710323;
2009-11-30;26,076667;
2009-12-31;24,179355;
2010-01-31;25,619355;
2010-02-28;26,681429;
2010-03-31;24,970769;
2010-04-30;22,359;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;20,151333;
2010-09-30;23,38069;
2010-10-31;24,436552;
2010-11-30;23,669;
2010-12-31;25,052;
2011-01-31;24,363;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;23,212;
2012-01-31;24,073548;
2012-02-29;25,393103;
2012-03-31;24,505806;
2012-04-30;23,948;
2012-05-31;20,818065;
2012-06-30;21,218621;
2012-07-31;19,993333;
2012-08-31;20,664516;
2012-09-30;23,86;
2012-10-31;25,965806;
2012-11-30;24,587333;
2012-12-31;26,648387;
2013-01-31;24,867097;
2013-02-28;25,792593;
2013-03-31;24,965806;
2013-04-30;22,692667;
2013-05-31;21,390323;
2013-06-30;21,151724;
2013-07-31;20,546452;
2013-08-31;21,524516;
2013-09-30;23,568;
2013-10-31;24,110323;
2013-11-30;25,161333;
2013-12-31;24,850323;
2014-01-31;25,888;
2014-02-28;26,2725;
2014-03-31;25,389032;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;24,82125;
2019-04-30;25,127333;
2019-05-31;null;
2019-06-30;21,142963;
2019-07-31;19,953077;
2019-08-31;22,210323;
2019-09-30;25,779259;
2019-10-31;26,83871;
2019-11-30;26,43;
2019-12-31;null;
2020-01-31;25,730968;
2020-02-29;25,017931;
2020-03-31;24,22;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;26,132857;
2021-02-28;24,496429;
2021-03-31;25,057333;
2021-04-30;23,457333;
2021-05-31;22,068387;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;26,292143;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;

