Nome: DIAMANTINA
Codigo Estacao: 83538
Latitude: -18.2386111
Longitude: -43.61694443
Altitude: 1318.05
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2020-02-29
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;20,583871;
2003-02-28;20,693571;
2003-03-31;20,267742;
2003-04-30;19,758;
2003-05-31;17,325806;
2003-06-30;17,138;
2003-07-31;null;
2003-08-31;17,042581;
2003-09-30;18,558;
2003-10-31;19,512903;
2003-11-30;19,936667;
2003-12-31;20,898065;
2004-01-31;19,617419;
2004-02-29;19,650345;
2004-03-31;19,310968;
2004-04-30;18,68;
2004-05-31;18,101333;
2004-06-30;15,652667;
2004-07-31;14,52129;
2004-08-31;16,411613;
2004-09-30;18,654;
2004-10-31;19,887742;
2004-11-30;20,304667;
2004-12-31;20,149677;
2005-01-31;20,636774;
2005-02-28;20,436429;
2005-03-31;20,268387;
2005-04-30;19,644;
2005-05-31;17,312903;
2005-06-30;16,084667;
2005-07-31;15,549677;
2005-08-31;16,905806;
2005-09-30;18,476;
2005-10-31;21,163226;
2005-11-30;18,592667;
2005-12-31;18,984516;
2006-01-31;20,630323;
2006-02-28;21,876429;
2006-03-31;20,160645;
2006-04-30;18,954;
2006-05-31;17,129677;
2006-06-30;15,102;
2006-07-31;15,702581;
2006-08-31;17,519355;
2006-09-30;17,92;
2006-10-31;18,543226;
2006-11-30;18,868667;
2006-12-31;20,11871;
2007-01-31;20,794194;
2007-02-28;19,789286;
2007-03-31;20,485161;
2007-04-30;19,375333;
2007-05-31;17,405333;
2007-06-30;16,718667;
2007-07-31;16,245161;
2007-08-31;16,443226;
2007-09-30;18,063448;
2007-10-31;20,756;
2007-11-30;21,131333;
2007-12-31;20,914839;
2008-01-31;19,923226;
2008-02-29;20,653793;
2008-03-31;19,887742;
2008-04-30;20,177333;
2008-05-31;17,124516;
2008-06-30;16,306667;
2008-07-31;15,121935;
2008-08-31;17,580667;
2008-09-30;18,571333;
2008-10-31;20,810345;
2008-11-30;19,703333;
2008-12-31;19,130667;
2009-01-31;20,454;
2009-02-28;20,76;
2009-03-31;21,266667;
2009-04-30;18,95;
2009-05-31;17,234;
2009-06-30;16,376667;
2009-07-31;17,182581;
2009-08-31;17,28129;
2009-09-30;20,341379;
2009-10-31;19,918667;
2009-11-30;21,269655;
2009-12-31;20,073548;
2010-01-31;21,529677;
2010-02-28;21,8;
2010-03-31;21,018;
2010-04-30;19,106667;
2010-05-31;18,116667;
2010-06-30;15,337333;
2010-07-31;15,866452;
2010-08-31;16,374839;
2010-09-30;18,308966;
2010-10-31;19,929677;
2010-11-30;19,378621;
2010-12-31;21,008387;
2011-01-31;20,529677;
2011-02-28;21,321429;
2011-03-31;20,118667;
2011-04-30;19,084667;
2011-05-31;17,007097;
2011-06-30;16,275862;
2011-07-31;16,054;
2011-08-31;18,479333;
2011-09-30;18,109286;
2011-10-31;18,36;
2011-11-30;17,855862;
2011-12-31;19,1;
2012-01-31;19,443226;
2012-02-29;20,012857;
2012-03-31;19,882667;
2012-04-30;19,758667;
2012-05-31;16,869655;
2012-06-30;17,250667;
2012-07-31;16,329;
2012-08-31;15,390714;
2012-09-30;18,832667;
2012-10-31;19,917778;
2012-11-30;19,396296;
2012-12-31;21,958;
2013-01-31;20,412258;
2013-02-28;20,982308;
2013-03-31;21,119167;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;17,397895;
2014-09-30;18,963846;
2014-10-31;19,637778;
2014-11-30;19,788;
2014-12-31;20,378;
2015-01-31;22,030968;
2015-02-28;20,511111;
2015-03-31;20,810968;
2015-04-30;19,340667;
2015-05-31;17,098065;
2015-06-30;16,492667;
2015-07-31;16,689167;
2015-08-31;17,228;
2015-09-30;21,428571;
2015-10-31;22,13;
2015-11-30;22,827143;
2015-12-31;21,916774;
2016-01-31;20,431333;
2016-02-29;null;
2016-03-31;21,145161;
2016-04-30;20,896667;
2016-05-31;18,583226;
2016-06-30;17,264;
2016-07-31;17,18;
2016-08-31;18,253793;
2016-09-30;20,000667;
2016-10-31;20,935484;
2016-11-30;19,800667;
2016-12-31;20,722581;
2017-01-31;21,399259;
2017-02-28;19,652857;
2017-03-31;20,478065;
2017-04-30;19,501333;
2017-05-31;17,648387;
2017-06-30;16,714;
2017-07-31;14,327407;
2017-08-31;17,427778;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;

