Nome: GOVERNADOR VALADARES
Codigo Estacao: 83543
Latitude: -18.842608
Longitude: -41.90357
Altitude: 156.54
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2007-08-26
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;26,567742;
2003-02-28;27,1;
2003-03-31;27,34;
2003-04-30;25,179;
2003-05-31;null;
2003-06-30;null;
2003-07-31;21,62069;
2003-08-31;23,011613;
2003-09-30;24,636667;
2003-10-31;25,861935;
2003-11-30;26,69;
2003-12-31;26,98;
2004-01-31;25,890968;
2004-02-29;25,953571;
2004-03-31;25,304516;
2004-04-30;24,406667;
2004-05-31;23,052258;
2004-06-30;21,018;
2004-07-31;20,443226;
2004-08-31;21,667742;
2004-09-30;24,442667;
2004-10-31;26,314667;
2004-11-30;26,748;
2004-12-31;26,13871;
2005-01-31;26,930968;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;25,054074;
2006-01-31;26,902581;
2006-02-28;28,701538;
2006-03-31;26,657419;
2006-04-30;25,148667;
2006-05-31;22,236774;
2006-06-30;21,004;
2006-07-31;20,345806;
2006-08-31;23,267097;
2006-09-30;23,813793;
2006-10-31;25,750968;
2006-11-30;25,124;
2006-12-31;26,215484;
2007-01-31;27,011613;
2007-02-28;26,010714;
2007-03-31;26,748462;
2007-04-30;25,528;
2007-05-31;22,576774;
2007-06-30;21,186667;
2007-07-31;21,610323;
2007-08-31;21,92;

