Nome: POMPEU
Codigo Estacao: 83570
Latitude: -19.228937
Longitude: -45.001336
Altitude: 692.21
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2015-12-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;24,523871;
2003-02-28;25,677143;
2003-03-31;24,014194;
2003-04-30;23,589333;
2003-05-31;20,064516;
2003-06-30;20,176;
2003-07-31;19,465806;
2003-08-31;21,524516;
2003-09-30;23,49;
2003-10-31;24,830968;
2003-11-30;24,864;
2003-12-31;25,283226;
2004-01-31;24,314194;
2004-02-29;23,169655;
2004-03-31;23,463226;
2004-04-30;22,726667;
2004-05-31;21,091613;
2004-06-30;19,254;
2004-07-31;18,453548;
2004-08-31;20,753548;
2004-09-30;24,604667;
2004-10-31;24,810323;
2004-11-30;25,108667;
2004-12-31;23,745161;
2005-01-31;24,122581;
2005-02-28;24,033571;
2005-03-31;23,651613;
2005-04-30;null;
2005-05-31;null;
2005-06-30;19,805333;
2005-07-31;19,423226;
2005-08-31;22,22;
2005-09-30;24,128;
2005-10-31;26,900645;
2005-11-30;23,120667;
2005-12-31;23,28;
2006-01-31;25,179355;
2006-02-28;25,467857;
2006-03-31;24,195484;
2006-04-30;23,118;
2006-05-31;20,095484;
2006-06-30;19,183333;
2006-07-31;19,289677;
2006-08-31;22,265161;
2006-09-30;22,764667;
2006-10-31;23,586452;
2006-11-30;23,531333;
2006-12-31;24,079355;
2007-01-31;24,203226;
2007-02-28;24,333571;
2007-03-31;25,472903;
2007-04-30;24,006667;
2007-05-31;21,139355;
2007-06-30;20,116;
2007-07-31;20,416774;
2007-08-31;21,810323;
2007-09-30;24,365333;
2007-10-31;26,130323;
2007-11-30;24,797333;
2007-12-31;25,04129;
2008-01-31;24,009333;
2008-02-29;24,804828;
2008-03-31;23,683871;
2008-04-30;23,656667;
2008-05-31;20,489677;
2008-06-30;20,292667;
2008-07-31;18,925806;
2008-08-31;22,213548;
2008-09-30;22,983333;
2008-10-31;25,72129;
2008-11-30;24,058667;
2008-12-31;23,754839;
2009-01-31;24,32;
2009-02-28;24,93;
2009-03-31;24,832258;
2009-04-30;22,666;
2009-05-31;21,204516;
2009-06-30;19,329333;
2009-07-31;21,231613;
2009-08-31;21,619355;
2009-09-30;24,84;
2009-10-31;24,612903;
2009-11-30;25,812667;
2009-12-31;23,989032;
2010-01-31;25,432903;
2010-02-28;26,254286;
2010-03-31;24,920645;
2010-04-30;23,211333;
2010-05-31;21,050323;
2010-06-30;18,336667;
2010-07-31;20,694839;
2010-08-31;21,12129;
2010-09-30;23,766;
2010-10-31;24,535484;
2010-11-30;23,548;
2010-12-31;25,177419;
2011-01-31;25,182581;
2011-02-28;26,482143;
2011-03-31;23,942581;
2011-04-30;23,286;
2011-05-31;20,83871;
2011-06-30;19,334667;
2011-07-31;19,793548;
2011-08-31;22,865333;
2011-09-30;23,8;
2011-10-31;23,356429;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;19,923226;
2012-08-31;20,889677;
2012-09-30;23,83;
2012-10-31;25,934194;
2012-11-30;24,365333;
2012-12-31;26,217419;
2013-01-31;24,062581;
2013-02-28;25,665714;
2013-03-31;24,423226;
2013-04-30;22,076;
2013-05-31;20,90129;
2013-06-30;20,598;
2013-07-31;19,985806;
2013-08-31;21,491613;
2013-09-30;22,927586;
2013-10-31;23,787097;
2013-11-30;24,471333;
2013-12-31;24,595333;
2014-01-31;25,484516;
2014-02-28;26,312143;
2014-03-31;24,84;
2014-04-30;23,318621;
2014-05-31;20,994839;
2014-06-30;20,781333;
2014-07-31;19,68;
2014-08-31;21,508387;
2014-09-30;24,588667;
2014-10-31;25,289032;
2014-11-30;25,046;
2014-12-31;24,794194;
2015-01-31;26,767097;
2015-02-28;24,521429;
2015-03-31;24,162581;
2015-04-30;23,475333;
2015-05-31;20,781333;
2015-06-30;19,715;
2015-07-31;21,121935;
2015-08-31;22,405161;
2015-09-30;25,204667;
2015-10-31;27,529032;
2015-11-30;26,767333;
2015-12-31;25,409032;

