Nome: FRUTAL
Codigo Estacao: 83574
Latitude: -20.034803
Longitude: -48.930435
Altitude: 547.09
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2013-09-08
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,231613;
2003-02-28;26,38;
2003-03-31;25,069032;
2003-04-30;24,624667;
2003-05-31;21,020645;
2003-06-30;22,551333;
2003-07-31;22,341935;
2003-08-31;21,889032;
2003-09-30;25,157333;
2003-10-31;25,726452;
2003-11-30;25,144667;
2003-12-31;26,360645;
2004-01-31;25,727742;
2004-02-29;25,015172;
2004-03-31;25,297419;
2004-04-30;24,697333;
2004-05-31;20,944516;
2004-06-30;20,264667;
2004-07-31;20,11871;
2004-08-31;22,944516;
2004-09-30;27,629333;
2004-10-31;24,804516;
2004-11-30;25,726667;
2004-12-31;25,322581;
2005-01-31;25,433548;
2005-02-28;26,532143;
2005-03-31;25,894194;
2005-04-30;26,261333;
2005-05-31;23,095484;
2005-06-30;21,978667;
2005-07-31;20,650323;
2005-08-31;23,610323;
2005-09-30;24,155333;
2005-10-31;27,261935;
2005-11-30;25,658667;
2005-12-31;24,66;
2006-01-31;26,301935;
2006-02-28;25,71;
2006-03-31;25,532258;
2006-04-30;24,638;
2006-05-31;20,665806;
2006-06-30;21,142;
2006-07-31;22,471333;
2006-08-31;24,423226;
2006-09-30;23,896;
2006-10-31;25,003226;
2006-11-30;25,358;
2006-12-31;25,770323;
2007-01-31;25,377419;
2007-02-28;26,024286;
2007-03-31;26,718;
2007-04-30;25,882667;
2007-05-31;22,174194;
2007-06-30;22,275333;
2007-07-31;21,003226;
2007-08-31;23,62129;
2007-09-30;26,877333;
2007-10-31;27,75871;
2007-11-30;25,559333;
2007-12-31;26,308571;
2008-01-31;null;
2008-02-29;24,816667;
2008-03-31;24,775385;
2008-04-30;24,329231;
2008-05-31;21,324444;
2008-06-30;21,9776;
2008-07-31;21,908889;
2008-08-31;24,580769;
2008-09-30;24,726154;
2008-10-31;26,520741;
2008-11-30;25,656;
2008-12-31;25,560741;
2009-01-31;null;
2009-02-28;26,2232;
2009-03-31;25,628462;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;22,445385;
2009-09-30;25,009333;
2009-10-31;25,425806;
2009-11-30;27,414;
2009-12-31;25,176;
2010-01-31;25,525161;
2010-02-28;26,720769;
2010-03-31;26,541935;
2010-04-30;24,347333;
2010-05-31;21,777419;
2010-06-30;21,158;
2010-07-31;23,195484;
2010-08-31;23,252258;
2010-09-30;25,903333;
2010-10-31;24,939355;
2010-11-30;25,977333;
2010-12-31;26,79619;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;26,143871;
2012-04-30;25,168;
2012-05-31;21,530323;
2012-06-30;22,12;
2012-07-31;21,432903;
2012-08-31;23,10129;
2012-09-30;25,909333;
2012-10-31;28,228387;
2012-11-30;26,372667;
2012-12-31;26,987742;
2013-01-31;25,407742;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;

