Nome: UBERABA
Codigo Estacao: 83577
Latitude: -19.73722221
Longitude: -47.94972221
Altitude: 753.41
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2018-08-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;23,445161;
2003-02-28;24,156429;
2003-03-31;22,892903;
2003-04-30;22,566;
2003-05-31;18,781053;
2003-06-30;null;
2003-07-31;19,139355;
2003-08-31;20,426429;
2003-09-30;23,656552;
2003-10-31;24,061935;
2003-11-30;23,752;
2003-12-31;24,962581;
2004-01-31;24,262759;
2004-02-29;23,676552;
2004-03-31;23,590323;
2004-04-30;22,979333;
2004-05-31;19,876774;
2004-06-30;18,729333;
2004-07-31;18,621935;
2004-08-31;21,056129;
2004-09-30;25,53;
2004-10-31;23,890968;
2004-11-30;24,431333;
2004-12-31;24,074839;
2005-01-31;24,524516;
2005-02-28;24,967857;
2005-03-31;24,650968;
2005-04-30;24,490667;
2005-05-31;21,490323;
2005-06-30;20,28381;
2005-07-31;19,323871;
2005-08-31;21,906154;
2005-09-30;22,944;
2005-10-31;25,43871;
2005-11-30;23,862;
2005-12-31;23,371613;
2006-01-31;24,465161;
2006-02-28;24,133571;
2006-03-31;24,237419;
2006-04-30;23,052667;
2006-05-31;19,086452;
2006-06-30;18,976667;
2006-07-31;20,031613;
2006-08-31;22,397419;
2006-09-30;22,704;
2006-10-31;23,483226;
2006-11-30;23,675714;
2006-12-31;24,265806;
2007-01-31;24,283226;
2007-02-28;24,705;
2007-03-31;24,837419;
2007-04-30;23,739333;
2007-05-31;20,19871;
2007-06-30;19,571333;
2007-07-31;19,529032;
2007-08-31;21,628387;
2007-09-30;25,18;
2007-10-31;25,821935;
2007-11-30;24,115;
2007-12-31;24,148;
2008-01-31;23,558065;
2008-02-29;23,443448;
2008-03-31;23,499355;
2008-04-30;23,148;
2008-05-31;19,9;
2008-06-30;20,49;
2008-07-31;19,311724;
2008-08-31;22,492308;
2008-09-30;23,4216;
2008-10-31;25,359355;
2008-11-30;24,402667;
2008-12-31;23,781333;
2009-01-31;24,164516;
2009-02-28;24,547407;
2009-03-31;24,280645;
2009-04-30;22,638667;
2009-05-31;21,06;
2009-06-30;18,209333;
2009-07-31;20,603226;
2009-08-31;21,173548;
2009-09-30;23,680667;
2009-10-31;24,168387;
2009-11-30;25,082;
2009-12-31;23,603226;
2010-01-31;24,408387;
2010-02-28;24,735714;
2010-03-31;24,300645;
2010-04-30;22,531333;
2010-05-31;19,718065;
2010-06-30;18,224;
2010-07-31;20,431613;
2010-08-31;20,999355;
2010-09-30;24,14;
2010-10-31;23,630323;
2010-11-30;23,323333;
2010-12-31;24,717419;
2011-01-31;24,049677;
2011-02-28;24,347143;
2011-03-31;22,965161;
2011-04-30;22,801333;
2011-05-31;20,014839;
2011-06-30;17,954;
2011-07-31;19,740645;
2011-08-31;21,69871;
2011-09-30;24,086667;
2011-10-31;23,307097;
2011-11-30;23,104667;
2011-12-31;23,699355;
2012-01-31;22,629032;
2012-02-29;24,237931;
2012-03-31;23,894839;
2012-04-30;22,865333;
2012-05-31;19,725806;
2012-06-30;20,188667;
2012-07-31;18,600645;
2012-08-31;20,743871;
2012-09-30;23,81;
2012-10-31;26,359355;
2012-11-30;24,603333;
2012-12-31;25,216129;
2013-01-31;23,910323;
2013-02-28;23,957143;
2013-03-31;23,865806;
2013-04-30;21,475333;
2013-05-31;20,325806;
2013-06-30;20,422667;
2013-07-31;18,308387;
2013-08-31;20,19871;
2013-09-30;22,934667;
2013-10-31;23,450968;
2013-11-30;23,722667;
2013-12-31;24,377419;
2014-01-31;24,692258;
2014-02-28;24,591429;
2014-03-31;23,771613;
2014-04-30;23,045333;
2014-05-31;19,970323;
2014-06-30;19,840667;
2014-07-31;19,093548;
2014-08-31;21,465161;
2014-09-30;24,394667;
2014-10-31;25,585806;
2014-11-30;24,076667;
2014-12-31;24,047097;
2015-01-31;26,045806;
2015-02-28;23,791429;
2015-03-31;22,992903;
2015-04-30;23,048;
2015-05-31;20,626452;
2015-06-30;19,795333;
2015-07-31;20,149677;
2015-08-31;21,258065;
2015-09-30;24,139333;
2015-10-31;26,976129;
2015-11-30;24,972;
2015-12-31;24,34129;
2016-01-31;24,26129;
2016-02-29;25,002069;
2016-03-31;24,562069;
2016-04-30;23,470667;
2016-05-31;21,230968;
2016-06-30;19,094667;
2016-07-31;19,676774;
2016-08-31;21,630968;
2016-09-30;24,018667;
2016-10-31;24,373333;
2016-11-30;23,415;
2016-12-31;24,421481;
2017-01-31;24,064615;
2017-02-28;24,869167;
2017-03-31;24,668889;
2017-04-30;23,476;
2017-05-31;21,763704;
2017-06-30;19,644615;
2017-07-31;18,099231;
2017-08-31;21,854074;
2017-09-30;24,24;
2017-10-31;25,286923;
2017-11-30;24,110769;
2017-12-31;24,109231;
2018-01-31;23,975556;
2018-02-28;24,191667;
2018-03-31;25,145926;
2018-04-30;22,6968;
2018-05-31;20,316296;
2018-06-30;20,87;
2018-07-31;19,740833;
2018-08-31;21,337037;

