Nome: ARAXA
Codigo Estacao: 83579
Latitude: -19.60555555
Longitude: -46.94972221
Altitude: 1018.28
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;22,109032;
2003-02-28;23,335;
2003-03-31;22,049677;
2003-04-30;21,647333;
2003-05-31;18,48;
2003-06-30;19,932;
2003-07-31;18,743871;
2003-08-31;19,983871;
2003-09-30;21,5;
2003-10-31;22,204516;
2003-11-30;21,664667;
2003-12-31;22,876129;
2004-01-31;22,052903;
2004-02-29;21,264138;
2004-03-31;21,21871;
2004-04-30;21,150667;
2004-05-31;19,228387;
2004-06-30;17,973333;
2004-07-31;17,288387;
2004-08-31;20,114194;
2004-09-30;23,443333;
2004-10-31;22,344516;
2004-11-30;22,072667;
2004-12-31;21,862581;
2005-01-31;22,514194;
2005-02-28;22,647143;
2005-03-31;22,397419;
2005-04-30;22,682667;
2005-05-31;19,61871;
2005-06-30;18,468;
2005-07-31;18,296129;
2005-08-31;20,395484;
2005-09-30;21,408;
2005-10-31;24,165161;
2005-11-30;21,142667;
2005-12-31;21,093548;
2006-01-31;22,86;
2006-02-28;22,947143;
2006-03-31;22,292258;
2006-04-30;21,532;
2006-05-31;19,121935;
2006-06-30;17,902667;
2006-07-31;19,049032;
2006-08-31;20,961935;
2006-09-30;20,831333;
2006-10-31;21,303871;
2006-11-30;21,744;
2006-12-31;21,940645;
2007-01-31;22,132258;
2007-02-28;22,392143;
2007-03-31;23,479355;
2007-04-30;21,988;
2007-05-31;19,39871;
2007-06-30;19,434667;
2007-07-31;18,999355;
2007-08-31;20,124516;
2007-09-30;22,718;
2007-10-31;23,889032;
2007-11-30;22,06;
2007-12-31;22,506452;
2008-01-31;21,868387;
2008-02-29;22,066897;
2008-03-31;21,743871;
2008-04-30;21,656;
2008-05-31;19,386452;
2008-06-30;null;
2008-07-31;null;
2008-08-31;21,304516;
2008-09-30;21,713333;
2008-10-31;23,327742;
2008-11-30;22,106;
2008-12-31;21,548387;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;19,418261;
2009-09-30;22,434667;
2009-10-31;22,23871;
2009-11-30;23,634;
2009-12-31;22,06129;
2010-01-31;23,383871;
2010-02-28;23,753571;
2010-03-31;22,831613;
2010-04-30;21,536;
2010-05-31;19,72;
2010-06-30;18,134667;
2010-07-31;19,349677;
2010-08-31;20,170323;
2010-09-30;22,424667;
2010-10-31;22,526452;
2010-11-30;21,584667;
2010-12-31;23,375484;
2011-01-31;22,749677;
2011-02-28;23,551429;
2011-03-31;21,767333;
2011-04-30;21,564667;
2011-05-31;19,907097;
2011-06-30;18,115333;
2011-07-31;19,500645;
2011-08-31;21,678065;
2011-09-30;22,677333;
2011-10-31;21,164828;
2011-11-30;21,420667;
2011-12-31;21,925161;
2012-01-31;21,447097;
2012-02-29;23,562759;
2012-03-31;22,72;
2012-04-30;22,450526;
2012-05-31;18,527059;
2012-06-30;19,516667;
2012-07-31;18,932903;
2012-08-31;19,196129;
2012-09-30;22,744;
2012-10-31;24,189677;
2012-11-30;22,668;
2012-12-31;23,983226;
2013-01-31;22,350968;
2013-02-28;23,261429;
2013-03-31;22,241935;
2013-04-30;20,527333;
2013-05-31;20,052903;
2013-06-30;19,812667;
2013-07-31;18,696129;
2013-08-31;19,933548;
2013-09-30;21,49;
2013-10-31;21,570968;
2013-11-30;22,15;
2013-12-31;22,685806;
2014-01-31;23,679355;
2014-02-28;23,948571;
2014-03-31;22,426452;
2014-04-30;21,550667;
2014-05-31;19,687097;
2014-06-30;19,334;
2014-07-31;18,325161;
2014-08-31;20,936129;
2014-09-30;23,018;
2014-10-31;23,409032;
2014-11-30;22,597333;
2014-12-31;22,411613;
2015-01-31;24,773548;
2015-02-28;22,380714;
2015-03-31;21,651613;
2015-04-30;21,684;
2015-05-31;19,293548;
2015-06-30;18,755333;
2015-07-31;19,710323;
2015-08-31;20,556774;
2015-09-30;23,498;
2015-10-31;25,671613;
2015-11-30;23,447586;
2015-12-31;22,782581;
2016-01-31;22,435484;
2016-02-29;23,810345;
2016-03-31;23,018065;
2016-04-30;23,169333;
