Nome: BAMBUI
Codigo Estacao: 83582
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 684.43
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2018-04-04
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;23,650323;
2003-02-28;23,753571;
2003-03-31;22,611613;
2003-04-30;21,548667;
2003-05-31;17,396129;
2003-06-30;16,889333;
2003-07-31;15,801935;
2003-08-31;18,009677;
2003-09-30;20,318667;
2003-10-31;21,543226;
2003-11-30;22,676667;
2003-12-31;23,610323;
2004-01-31;23,040645;
2004-02-29;22,118621;
2004-03-31;21,640645;
2004-04-30;21,241379;
2004-05-31;18,998065;
2004-06-30;16,322;
2004-07-31;15,48;
2004-08-31;17,208387;
2004-09-30;20,837333;
2004-10-31;22,272258;
2004-11-30;23,074667;
2004-12-31;23,052258;
2005-01-31;23,939355;
2005-02-28;23,217143;
2005-03-31;23,026452;
2005-04-30;22,003333;
2005-05-31;18,329032;
2005-06-30;16,817333;
2005-07-31;16,449677;
2005-08-31;18,034194;
2005-09-30;21,358;
2005-10-31;23,50129;
2005-11-30;22,03;
2005-12-31;21,945806;
2006-01-31;23,123226;
2006-02-28;23,540714;
2006-03-31;23,020645;
2006-04-30;21,464;
2006-05-31;17,522581;
2006-06-30;15,642667;
2006-07-31;15,603226;
2006-08-31;18,171613;
2006-09-30;19,872667;
2006-10-31;21,743871;
2006-11-30;22,22;
2006-12-31;23,086452;
2007-01-31;23,192903;
2007-02-28;23,186429;
2007-03-31;23,030968;
2007-04-30;21,814;
2007-05-31;17,991333;
2007-06-30;16,014667;
2007-07-31;16,440645;
2007-08-31;17,101935;
2007-09-30;21,000667;
2007-10-31;23,268387;
2007-11-30;22,65;
2007-12-31;23,303871;
2008-01-31;22,448387;
2008-02-29;23,218621;
2008-03-31;22,492258;
2008-04-30;21,893333;
2008-05-31;18,260645;
2008-06-30;17,482667;
2008-07-31;15,034839;
2008-08-31;18,556774;
2008-09-30;19,906667;
2008-10-31;22,74;
2008-11-30;22,93;
2008-12-31;22,694194;
2009-01-31;23,087097;
2009-02-28;23,652143;
2009-03-31;23,46;
2009-04-30;20,975333;
2009-05-31;18,729032;
2009-06-30;16,402667;
2009-07-31;17,938621;
2009-08-31;18,514194;
2009-09-30;22,097931;
2009-10-31;22,731613;
2009-11-30;24,145385;
2009-12-31;22,876667;
2010-01-31;23,782581;
2010-02-28;24,051429;
2010-03-31;23,012;
2010-04-30;20,648;
2010-05-31;18,012;
2010-06-30;14,802222;
2010-07-31;17,096774;
2010-08-31;17,005806;
2010-09-30;20,653333;
2010-10-31;22,290323;
2010-11-30;22,703448;
2010-12-31;24,036129;
2011-01-31;23,546667;
2011-02-28;23,957778;
2011-03-31;22,550968;
2011-04-30;21,157333;
2011-05-31;18,416;
2011-06-30;15,778;
2011-07-31;16,413548;
2011-08-31;18,632;
2011-09-30;20,028;
2011-10-31;21,603226;
2011-11-30;21,736;
2011-12-31;22,607742;
2012-01-31;22,308;
2012-02-29;23,209286;
2012-03-31;22,254839;
2012-04-30;21,710667;
2012-05-31;17,841935;
2012-06-30;18,095862;
2012-07-31;15,869333;
2012-08-31;17,334839;
2012-09-30;20,266897;
2012-10-31;22,751613;
2012-11-30;22,805333;
2012-12-31;24,339333;
2013-01-31;23,173333;
2013-02-28;23,577143;
2013-03-31;22,860667;
2013-04-30;20,340741;
2013-05-31;18,630323;
2013-06-30;18,344;
2013-07-31;16,635484;
2013-08-31;17,637419;
2013-09-30;20,619333;
2013-10-31;21,682581;
2013-11-30;23,026;
2013-12-31;24,346;
2014-01-31;24,359355;
2014-02-28;24,232857;
2014-03-31;22,443871;
2014-04-30;21,375333;
2014-05-31;18,249677;
2014-06-30;17,428966;
2014-07-31;16,545806;
2014-08-31;17,779355;
2014-09-30;21,323333;
2014-10-31;22,487742;
2014-11-30;23,161333;
2014-12-31;23,249677;
2015-01-31;24,760645;
2015-02-28;23,092857;
2015-03-31;22,614839;
2015-04-30;21,914667;
2015-05-31;19,098065;
2015-06-30;17,826667;
2015-07-31;18,200645;
2015-08-31;19,149032;
2015-09-30;22,042;
2015-10-31;24,252903;
2015-11-30;24,513333;
2015-12-31;23,96129;
2016-01-31;23,758065;
2016-02-29;24,843077;
2016-03-31;23,573333;
2016-04-30;22,031724;
2016-05-31;19,687097;
2016-06-30;16,856667;
2016-07-31;16,974839;
2016-08-31;18,416129;
2016-09-30;21,829333;
2016-10-31;23,289032;
2016-11-30;22,618;
2016-12-31;null;
2017-01-31;24,442222;
2017-02-28;23,535714;
2017-03-31;23,07871;
2017-04-30;22,325333;
2017-05-31;19,8672;
2017-06-30;null;
2017-07-31;15,184828;
2017-08-31;18,52963;
2017-09-30;19,295385;
2017-10-31;22,632308;
2017-11-30;22,953846;
2017-12-31;23,68;
2018-01-31;23,918519;
2018-02-28;23,49;
2018-03-31;23,876296;
2018-04-30;null;

