Nome: SETE LAGOAS
Codigo Estacao: 83586
Latitude: -19.48454
Longitude: -44.173798
Altitude: 753.68
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2016-07-20
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;23,204516;
2003-02-28;23,768571;
2003-03-31;22,943871;
2003-04-30;22,360667;
2003-05-31;18,570323;
2003-06-30;18,833333;
2003-07-31;17,730323;
2003-08-31;20,163871;
2003-09-30;21,786667;
2003-10-31;23,223226;
2003-11-30;23,218667;
2003-12-31;23,854194;
2004-01-31;22,875484;
2004-02-29;22,166207;
2004-03-31;22,042581;
2004-04-30;21,239333;
2004-05-31;19,983871;
2004-06-30;17,965333;
2004-07-31;16,900645;
2004-08-31;19,190323;
2004-09-30;22,401333;
2004-10-31;23,72;
2004-11-30;23,927333;
2004-12-31;22,700645;
2005-01-31;23,336774;
2005-02-28;22,988571;
2005-03-31;22,95871;
2005-04-30;22,51;
2005-05-31;19,7;
2005-06-30;18,601333;
2005-07-31;18,20129;
2005-08-31;20,234194;
2005-09-30;22,006667;
2005-10-31;24,207742;
2005-11-30;21,706;
2005-12-31;21,981935;
2006-01-31;23,641935;
2006-02-28;24,246429;
2006-03-31;22,887742;
2006-04-30;21,561333;
2006-05-31;18,679355;
2006-06-30;17,508;
2006-07-31;17,585161;
2006-08-31;20,26129;
2006-09-30;21,324;
2006-10-31;22,312258;
2006-11-30;22,284;
2006-12-31;22,983226;
2007-01-31;23,092258;
2007-02-28;22,599286;
2007-03-31;23,492903;
2007-04-30;22,338667;
2007-05-31;19,335484;
2007-06-30;18,245333;
2007-07-31;18,655484;
2007-08-31;19,230968;
2007-09-30;21,849333;
2007-10-31;24,232903;
2007-11-30;23,462667;
2007-12-31;23,345806;
2008-01-31;22,541935;
2008-02-29;23,504828;
2008-03-31;22,740645;
2008-04-30;22,682667;
2008-05-31;19,290323;
2008-06-30;18,987333;
2008-07-31;17,568387;
2008-08-31;20,556774;
2008-09-30;21,599333;
2008-10-31;23,98;
2008-11-30;23,148667;
2008-12-31;22,69871;
2009-01-31;23,60129;
2009-02-28;23,690714;
2009-03-31;23,8;
2009-04-30;21,604;
2009-05-31;19,780645;
2009-06-30;18,304667;
2009-07-31;19,580645;
2009-08-31;20,193548;
2009-09-30;23,503333;
2009-10-31;23,221935;
2009-11-30;24,603333;
2009-12-31;22,854839;
2010-01-31;24,33871;
2010-02-28;24,789286;
2010-03-31;23,711613;
2010-04-30;21,805333;
2010-05-31;19,907097;
2010-06-30;17,155333;
2010-07-31;19,067742;
2010-08-31;19,082581;
2010-09-30;22,003333;
2010-10-31;23,125161;
2010-11-30;22,37;
2010-12-31;24,110323;
2011-01-31;23,807097;
2011-02-28;24,766429;
2011-03-31;23,116774;
2011-04-30;22,51037;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;21,222727;
2011-09-30;21,866;
2011-10-31;22,054194;
2011-11-30;21,638667;
2011-12-31;22,405161;
2012-01-31;22,76;
2012-02-29;23,362759;
2012-03-31;22,857419;
2012-04-30;22,455333;
2012-05-31;19,151613;
2012-06-30;19,744;
2012-07-31;18,573548;
2012-08-31;18,889677;
2012-09-30;22,309333;
2012-10-31;24,18129;
2012-11-30;23,012;
2012-12-31;24,986452;
2013-01-31;23,501935;
2013-02-28;24,057857;
2013-03-31;23,640645;
2013-04-30;21,39;
2013-05-31;20,049032;
2013-06-30;19,943333;
2013-07-31;19,380645;
2013-08-31;20,210968;
2013-09-30;21,948667;
2013-10-31;22,092903;
2013-11-30;23,071333;
2013-12-31;23,163871;
2014-01-31;23,829032;
2014-02-28;null;
2014-03-31;null;
2014-04-30;22,280952;
2014-05-31;20,408387;
2014-06-30;19,712667;
2014-07-31;18,689032;
2014-08-31;19,984516;
2014-09-30;22,738667;
2014-10-31;23,473548;
2014-11-30;23,616667;
2014-12-31;23,614194;
2015-01-31;24,88;
2015-02-28;23,38;
2015-03-31;23,532903;
2015-04-30;22,446667;
2015-05-31;19,843226;
2015-06-30;18,950667;
2015-07-31;19,534839;
2015-08-31;20,54;
2015-09-30;24,288667;
2015-10-31;26,175484;
2015-11-30;25,130667;
2015-12-31;24,112258;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;

