Nome: BELO HORIZONTE
Codigo Estacao: 83587
Latitude: -19.93444444
Longitude: -43.95222222
Altitude: 915.47
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;23,03871;
2003-02-28;24,761429;
2003-03-31;23,389032;
2003-04-30;22,899333;
2003-05-31;20,123226;
2003-06-30;20,873333;
2003-07-31;19,300645;
2003-08-31;20,347742;
2003-09-30;21,94;
2003-10-31;22,817419;
2003-11-30;22,979333;
2003-12-31;23,803226;
2004-01-31;22,557419;
2004-02-29;22,113103;
2004-03-31;22,521935;
2004-04-30;21,930667;
2004-05-31;20,809032;
2004-06-30;18,808;
2004-07-31;17,718065;
2004-08-31;20,152903;
2004-09-30;22,887333;
2004-10-31;22,832903;
2004-11-30;23,235333;
2004-12-31;22,706452;
2005-01-31;23,574194;
2005-02-28;23,444286;
2005-03-31;23,169032;
2005-04-30;23,353333;
2005-05-31;20,572903;
2005-06-30;19,428;
2005-07-31;18,990323;
2005-08-31;21,064516;
2005-09-30;21,563333;
2005-10-31;24,526452;
2005-11-30;21,251333;
2005-12-31;21,94;
2006-01-31;24,306452;
2006-02-28;24,962857;
2006-03-31;23,254194;
2006-04-30;22,343333;
2006-05-31;20,067097;
2006-06-30;18,296667;
2006-07-31;19,319355;
2006-08-31;21,104516;
2006-09-30;21,019333;
2006-10-31;22,116129;
2006-11-30;22,059333;
2006-12-31;22,96;
2007-01-31;23,063871;
2007-02-28;23,152857;
2007-03-31;24,625161;
2007-04-30;22,947333;
2007-05-31;20,409032;
2007-06-30;20,094667;
2007-07-31;19,990323;
2007-08-31;20,326452;
2007-09-30;21,842667;
2007-10-31;23,836129;
2007-11-30;23,424;
2007-12-31;23,79;
2008-01-31;22,633333;
2008-02-29;23,694483;
2008-03-31;22,969677;
2008-04-30;23,294667;
2008-05-31;20,626452;
2008-06-30;20,044667;
2008-07-31;19,089677;
2008-08-31;21,284516;
2008-09-30;21,504667;
2008-10-31;23,94129;
2008-11-30;22,582069;
2008-12-31;22,284516;
2009-01-31;23,460645;
2009-02-28;23,972857;
2009-03-31;24,096129;
2009-04-30;22,372;
2009-05-31;20,773548;
2009-06-30;19,426667;
2009-07-31;20,750323;
2009-08-31;20,452258;
2009-09-30;23,33;
2009-10-31;22,657419;
2009-11-30;24,371333;
2009-12-31;22,432667;
2010-01-31;24,517419;
2010-02-28;25,125714;
2010-03-31;23,977419;
2010-04-30;22,41;
2010-05-31;20,785806;
2010-06-30;18,384;
2010-07-31;19,756129;
2010-08-31;20,072258;
2010-09-30;21,549333;
2010-10-31;22,430968;
2010-11-30;22,009333;
2010-12-31;24,095484;
2011-01-31;23,628387;
2011-02-28;25,052143;
2011-03-31;22,932903;
