Nome: CARATINGA
Codigo Estacao: 83592
Latitude: -19.73583333
Longitude: -42.13722221
Altitude: 609.56
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;23,95871;
2003-02-28;24,862857;
2003-03-31;24,294194;
2003-04-30;22,838;
2003-05-31;19,843226;
2003-06-30;19,434667;
2003-07-31;18,556774;
2003-08-31;19,667097;
2003-09-30;21,518;
2003-10-31;22,803226;
2003-11-30;23,51;
2003-12-31;23,947742;
2004-01-31;23,272258;
2004-02-29;22,961379;
2004-03-31;22,605161;
2004-04-30;21,799333;
2004-05-31;19,893548;
2004-06-30;17,839333;
2004-07-31;17,488387;
2004-08-31;18,873548;
2004-09-30;21,140667;
2004-10-31;22,849677;
2004-11-30;23,578621;
2004-12-31;23,486452;
2005-01-31;23,996129;
2005-02-28;23,106429;
2005-03-31;23,643871;
2005-04-30;22,768667;
2005-05-31;20,184516;
2005-06-30;18,496;
2005-07-31;17,552258;
2005-08-31;20,009032;
2005-09-30;21,066;
2005-10-31;23,48;
2005-11-30;21,616667;
2005-12-31;22,223871;
2006-01-31;24,010968;
2006-02-28;25,418571;
2006-03-31;23,530968;
2006-04-30;21,692667;
2006-05-31;18,570323;
2006-06-30;17,600667;
2006-07-31;17,315484;
2006-08-31;19,503226;
2006-09-30;20,026667;
2006-10-31;21,689032;
2006-11-30;21,784;
2006-12-31;23,071613;
2007-01-31;23,708387;
2007-02-28;23,004286;
2007-03-31;23,432258;
2007-04-30;22,240667;
2007-05-31;18,921935;
2007-06-30;17,856667;
2007-07-31;18,298065;
2007-08-31;19,257419;
2007-09-30;20,844;
2007-10-31;23,505806;
2007-11-30;23,868;
2007-12-31;23,974839;
2008-01-31;23,203226;
2008-02-29;23,735172;
2008-03-31;23,44;
2008-04-30;22,814667;
2008-05-31;19,486452;
2008-06-30;18,528;
2008-07-31;17,521935;
2008-08-31;20,410323;
2008-09-30;20,746667;
2008-10-31;23,550323;
2008-11-30;22,73;
2008-12-31;22,858065;
2009-01-31;23,626452;
2009-02-28;24,446429;
2009-03-31;24,125806;
2009-04-30;21,95;
2009-05-31;19,672258;
2009-06-30;18,309333;
2009-07-31;18,866452;
2009-08-31;19,876129;
2009-09-30;22,349333;
2009-10-31;22,790968;
2009-11-30;23,816667;
2009-12-31;23,695484;
2010-01-31;24,979355;
2010-02-28;25,648571;
2010-03-31;24,363226;
2010-04-30;21,868667;
2010-05-31;19,611613;
2010-06-30;16,794667;
2010-07-31;18,646452;
2010-08-31;18,31871;
2010-09-30;21,004;
2010-10-31;21,901935;
2010-11-30;22,714;
2010-12-31;23,748387;
2011-01-31;24,164516;
2011-02-28;24,597143;
2011-03-31;23,137419;
2011-04-30;22,274667;
2011-05-31;18,969032;
2011-06-30;17,799333;
2011-07-31;17,302581;
