Nome: USIMINAS
Codigo Estacao: 83594
Latitude: -19.498382
Longitude: -42.541609
Altitude: 298
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2005-04-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;25,282581;
2003-02-28;26,668571;
2003-03-31;26,089677;
2003-04-30;24,442667;
2003-05-31;21,75871;
2003-06-30;20,761333;
2003-07-31;20,235484;
2003-08-31;21,496774;
2003-09-30;23,283333;
2003-10-31;24,586452;
2003-11-30;25,142;
2003-12-31;25,529032;
2004-01-31;24,625161;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;

