Nome: AIMORES
Codigo Estacao: 83595
Latitude: -19.494872
Longitude: -41.077647
Altitude: 79.93
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2014-07-15
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;27,183871;
2003-02-28;28,127143;
2003-03-31;27,785161;
2003-04-30;26,093333;
2003-05-31;23,699355;
2003-06-30;22,563333;
2003-07-31;22,145161;
2003-08-31;22,933548;
2003-09-30;24,233333;
2003-10-31;25,371613;
2003-11-30;27,316667;
2003-12-31;27,186452;
2004-01-31;26,245806;
2004-02-29;26,322069;
2004-03-31;25,985806;
2004-04-30;24,94;
2004-05-31;23,487097;
2004-06-30;21,522;
2004-07-31;20,968387;
2004-08-31;22,365806;
2004-09-30;24,443333;
2004-10-31;25,810323;
2004-11-30;26,566;
2004-12-31;26,718065;
2005-01-31;27,369032;
2005-02-28;26,574286;
2005-03-31;27,244516;
2005-04-30;26,492;
2005-05-31;23,609677;
2005-06-30;21,914667;
2005-07-31;21,204516;
2005-08-31;22,989032;
2005-09-30;24,019333;
2005-10-31;27,30129;
2005-11-30;24,582;
2005-12-31;25,587742;
2006-01-31;27,865806;
2006-02-28;29,607143;
2006-03-31;26,948667;
2006-04-30;25,35;
2006-05-31;22,378065;
2006-06-30;20,972;
2006-07-31;20,474194;
2006-08-31;23,399355;
2006-09-30;23,488667;
2006-10-31;25,093548;
2006-11-30;25,227333;
2006-12-31;26,09871;
2007-01-31;27,404516;
2007-02-28;26,605;
2007-03-31;27,814194;
2007-04-30;26,624;
2007-05-31;23,306452;
2007-06-30;21,738667;
2007-07-31;22,567742;
2007-08-31;22,862581;
2007-09-30;23,841333;
2007-10-31;26,299355;
2007-11-30;27,603333;
2007-12-31;27,886897;
2008-01-31;27,025806;
2008-02-29;27,777931;
2008-03-31;27,315484;
2008-04-30;27,181333;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;24,102581;
2008-09-30;24,434;
2008-10-31;27,239355;
2008-11-30;25,942667;
2008-12-31;26,136129;
2009-01-31;26,863226;
2009-02-28;28,202857;
2009-03-31;28,537419;
2009-04-30;25,413333;
2009-05-31;23,260645;
2009-06-30;21,978;
2009-07-31;22,274194;
2009-08-31;23,264516;
2009-09-30;26,380667;
2009-10-31;26,283226;
2009-11-30;27,673333;
2009-12-31;27,585161;
2010-01-31;29,29871;
2010-02-28;29,379286;
2010-03-31;28,488387;
2010-04-30;26,001333;
2010-05-31;23,783871;
2010-06-30;20,990667;
2010-07-31;22,492903;
2010-08-31;22,223333;
2010-09-30;24,604;
2010-10-31;25,270323;
2010-11-30;25,712;
2010-12-31;27,147097;
2011-01-31;27,872258;
2011-02-28;28,518571;
2011-03-31;26,467742;
2011-04-30;25,454;
2011-05-31;22,589677;
2011-06-30;21,679333;
2011-07-31;21,212;
2011-08-31;23,263226;
2011-09-30;23,128667;
2011-10-31;24,54;
2011-11-30;24,176;
2011-12-31;25,772903;
2012-01-31;26,705806;
2012-02-29;27,388276;
2012-03-31;27,705806;
2012-04-30;26,516667;
2012-05-31;23,275172;
2012-06-30;23,528;
2012-07-31;22,42;
2012-08-31;22,452903;
2012-09-30;24,491333;
2012-10-31;26,189677;
2012-11-30;25,469333;
2012-12-31;28,843226;
2013-01-31;null;
2013-02-28;28,09;
2013-03-31;27,187407;
2013-04-30;24,8136;
2013-05-31;23,278519;
2013-06-30;22,560769;
2013-07-31;22,264615;
2013-08-31;22,812593;
2013-09-30;24,023077;
2013-10-31;24,423846;
2013-11-30;25,807692;
2013-12-31;26,453793;
2014-01-31;null;
2014-02-28;27,850833;
2014-03-31;27,285185;
2014-04-30;26,5584;
2014-05-31;23,77;
2014-06-30;22,416923;
2014-07-31;null;

