Nome: SAO S.DO PARAISO
Codigo Estacao: 83631
Latitude: -20.91
Longitude: -47.11416666
Altitude: 820
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2014-03-11
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;22,933548;
2003-02-28;23,507143;
2003-03-31;22,856129;
2003-04-30;22,057333;
2003-05-31;null;
2003-06-30;null;
2003-07-31;null;
2003-08-31;18,520645;
2003-09-30;21,845333;
2003-10-31;23,16;
2003-11-30;22,782667;
2003-12-31;23,650968;
2004-01-31;23,398065;
2004-02-29;22,517931;
2004-03-31;22,619355;
2004-04-30;21,662667;
2004-05-31;17,795484;
2004-06-30;16,782;
2004-07-31;16,67871;
2004-08-31;19,078065;
2004-09-30;23,617333;
2004-10-31;21,763871;
2004-11-30;22,826667;
2004-12-31;23,010968;
2005-01-31;23,611613;
2005-02-28;23,3832;
2005-03-31;22,682667;
2005-04-30;22,706;
2005-05-31;19,187742;
2005-06-30;18,269333;
2005-07-31;16,872258;
2005-08-31;19,162581;
2005-09-30;21,241333;
2005-10-31;23,481935;
2005-11-30;22,189333;
2005-12-31;21,649677;
2006-01-31;22,662581;
2006-02-28;22,841429;
2006-03-31;null;
2006-04-30;20,493;
2006-05-31;17,232903;
2006-06-30;17,214;
2006-07-31;17,915484;
2006-08-31;19,93871;
2006-09-30;20,516;
2006-10-31;21,949677;
2006-11-30;22,153333;
2006-12-31;23,162581;
2007-01-31;22,636129;
2007-02-28;22,78;
2007-03-31;null;
2007-04-30;22,78069;
2007-05-31;18,438065;
2007-06-30;17,159333;
2007-07-31;17,219355;
2007-08-31;18,98;
2007-09-30;22,204828;
2007-10-31;23,325161;
2007-11-30;22,458;
2007-12-31;23,16129;
2008-01-31;22,50129;
2008-02-29;22,553793;
2008-03-31;null;
2008-04-30;20,973333;
2008-05-31;17,368387;
2008-06-30;17,748;
2008-07-31;16,414194;
2008-08-31;19,477419;
2008-09-30;20,452;
2008-10-31;22,390968;
2008-11-30;22,424667;
2008-12-31;21,816774;
2009-01-31;22,560645;
2009-02-28;23,673571;
2009-03-31;null;
2009-04-30;21,250588;
2009-05-31;19,452903;
2009-06-30;16,378667;
2009-07-31;19,420667;
2009-08-31;19,67871;
2009-09-30;22,375333;
2009-10-31;22,953548;
2009-11-30;24,178;
2009-12-31;22,767097;
2010-01-31;23,096129;
2010-02-28;24,114286;
2010-03-31;null;
2010-04-30;null;
2010-05-31;19,178621;
2010-06-30;17,702;
2010-07-31;19,593548;
2010-08-31;18,897419;
2010-09-30;21,769655;
2010-10-31;22,045806;
2010-11-30;22,168;
2010-12-31;23,812258;
2011-01-31;23,306452;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;18,843226;
2011-06-30;16,594667;
2011-07-31;17,885806;
2011-08-31;20,226667;
2011-09-30;22,127586;
2011-10-31;21,991613;
2011-11-30;22,425333;
2011-12-31;22,42129;
2012-01-31;21,847742;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;

