Nome: IBIRITE
Codigo Estacao: 83632
Latitude: -20.01666666
Longitude: -44.08472221
Altitude: 822.08
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2021-11-29
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;23,69037;
2003-02-28;24,371429;
2003-03-31;22,695484;
2003-04-30;22,030667;
2003-05-31;17,918065;
2003-06-30;17,923333;
2003-07-31;16,812258;
2003-08-31;19,534194;
2003-09-30;22,08;
2003-10-31;23,136774;
2003-11-30;23,3;
2003-12-31;23,759355;
2004-01-31;23,261935;
2004-02-29;22,048276;
2004-03-31;22,11871;
2004-04-30;21,175333;
2004-05-31;19,432667;
2004-06-30;17,473333;
2004-07-31;16,347333;
2004-08-31;18,412258;
2004-09-30;22,499333;
2004-10-31;22,57871;
2004-11-30;23,724667;
2004-12-31;22,788;
2005-01-31;23,666452;
2005-02-28;22,977143;
2005-03-31;22,904516;
2005-04-30;22,171333;
2005-05-31;19,371613;
2005-06-30;18,106667;
2005-07-31;17,474839;
2005-08-31;19,857419;
2005-09-30;21,378667;
2005-10-31;23,88;
2005-11-30;21,966667;
2005-12-31;22,125806;
2006-01-31;null;
2006-02-28;24,074667;
2006-03-31;22,885161;
2006-04-30;21,414483;
2006-05-31;17,942581;
2006-06-30;16,766;
2006-07-31;17,041379;
2006-08-31;19,56129;
2006-09-30;null;
2006-10-31;null;
2006-11-30;22,341333;
2006-12-31;23,308276;
2007-01-31;22,976774;
2007-02-28;23,602143;
2007-03-31;24,705161;
2007-04-30;22,244;
2007-05-31;18,970968;
2007-06-30;17,442;
2007-07-31;17,98;
2007-08-31;19,03871;
2007-09-30;21,822667;
2007-10-31;23,677419;
2007-11-30;23,045333;
2007-12-31;23,58;
2008-01-31;22,521935;
2008-02-29;23,134483;
2008-03-31;22,442857;
2008-04-30;22,012;
2008-05-31;18,730323;
2008-06-30;18,460667;
2008-07-31;16,581935;
2008-08-31;20,325161;
2008-09-30;20,573333;
2008-10-31;23,201935;
2008-11-30;22,872;
2008-12-31;22,696774;
2009-01-31;23,479355;
2009-02-28;23,698571;
2009-03-31;23,545161;
2009-04-30;21,27;
2009-05-31;19,206667;
2009-06-30;17,668;
2009-07-31;18,704;
2009-08-31;19,788387;
2009-09-30;22,673333;
2009-10-31;22,818065;
2009-11-30;24,24;
2009-12-31;22,70129;
2010-01-31;24,598065;
2010-02-28;24,071429;
2010-03-31;23,390323;
2010-04-30;21,215333;
2010-05-31;18,669677;
2010-06-30;16,447143;
2010-07-31;18,6;
2010-08-31;18,883226;
2010-09-30;21,131333;
2010-10-31;21,772258;
2010-11-30;22,453333;
2010-12-31;23,805161;
2011-01-31;23,103226;
2011-02-28;24,058571;
2011-03-31;22,278065;
2011-04-30;21,605333;
2011-05-31;18,722581;
2011-06-30;17,470667;
2011-07-31;17,467742;
2011-08-31;19,934839;
2011-09-30;21,068667;
2011-10-31;21,305161;
2011-11-30;20,816;
2011-12-31;21,944516;
2012-01-31;23,5475;
2012-02-29;23,868966;
2012-03-31;22,763226;
2012-04-30;22,369333;
2012-05-31;18,905806;
2012-06-30;18,898667;
2012-07-31;17,608387;
2012-08-31;17,909677;
2012-09-30;21,85;
2012-10-31;23,656774;
2012-11-30;22,446667;
2012-12-31;24,947742;
2013-01-31;23,608;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;

