Nome: DIVINOPOLIS
Codigo Estacao: 83635
Latitude: -20.17333332
Longitude: -44.87472221
Altitude: 787.42
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2021-09-02
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;23,542581;
2003-02-28;25,084286;
2003-03-31;23,004516;
2003-04-30;22,350667;
2003-05-31;18,451613;
2003-06-30;18,650667;
2003-07-31;17,549032;
2003-08-31;19,742581;
2003-09-30;22,100667;
2003-10-31;23,207097;
2003-11-30;23,344;
2003-12-31;23,709032;
2004-01-31;23,327742;
2004-02-29;22,416552;
2004-03-31;22,623871;
2004-04-30;21,854667;
2004-05-31;19,459355;
2004-06-30;17,25;
2004-07-31;16,709032;
2004-08-31;19,043226;
2004-09-30;22,985333;
2004-10-31;22,869032;
2004-11-30;23,879333;
2004-12-31;22,767097;
2005-01-31;23,597419;
2005-02-28;23,404615;
2005-03-31;23,270323;
2005-04-30;23,077333;
2005-05-31;19,7;
2005-06-30;18,116;
2005-07-31;17,674194;
2005-08-31;20,18129;
2005-09-30;22,014667;
2005-10-31;24,530323;
2005-11-30;21,879333;
2005-12-31;22,213548;
2006-01-31;24,237419;
2006-02-28;24,417857;
2006-03-31;23,274194;
2006-04-30;21,934667;
2006-05-31;18,687742;
2006-06-30;17,104667;
2006-07-31;17,616774;
2006-08-31;20,223226;
2006-09-30;20,970667;
2006-10-31;22,257419;
2006-11-30;22,487333;
2006-12-31;23,347742;
2007-01-31;23,127097;
2007-02-28;23,361538;
2007-03-31;24,640645;
2007-04-30;22,644;
2007-05-31;19,1;
2007-06-30;17,962667;
2007-07-31;18,366452;
2007-08-31;19,840645;
2007-09-30;22,678;
2007-10-31;24,497419;
2007-11-30;23,082;
2007-12-31;24,107097;
2008-01-31;23,098065;
2008-02-29;23,676429;
2008-03-31;23,043226;
2008-04-30;22,428667;
2008-05-31;18,983226;
2008-06-30;18,686;
2008-07-31;17,045806;
2008-08-31;20,511613;
2008-09-30;20,702143;
2008-10-31;24,063226;
2008-11-30;22,79;
2008-12-31;22,616774;
2009-01-31;23,304516;
2009-02-28;24,132857;
2009-03-31;23,80129;
2009-04-30;21,462667;
2009-05-31;19,416129;
2009-06-30;17,306;
2009-07-31;19,272903;
2009-08-31;19,735484;
2009-09-30;23,462;
2009-10-31;23,019355;
2009-11-30;24,838667;
2009-12-31;22,979355;
2010-01-31;24,474615;
2010-02-28;25,264286;
2010-03-31;23,965806;
2010-04-30;21,826;
2010-05-31;18,83871;
2010-06-30;16,610667;
2010-07-31;18,64129;
2010-08-31;18,946452;
2010-09-30;21,728667;
2010-10-31;23,042581;
2010-11-30;22,604;
2010-12-31;24,382667;
2011-01-31;24,241935;
2011-02-28;25,296429;
2011-03-31;23,061379;
2011-04-30;22,231333;
2011-05-31;19,096129;
2011-06-30;17,217333;
2011-07-31;17,876774;
2011-08-31;21,044516;
2011-09-30;21,536667;
2011-10-31;22,220645;
2011-11-30;21,891034;
2011-12-31;22,596774;
2012-01-31;22,960741;
2012-02-29;24,28;
2012-03-31;23,42;
2012-04-30;22,542667;
2012-05-31;18,434839;
2012-06-30;null;
2012-07-31;17,58;
2012-08-31;18,734194;
2012-09-30;21,972667;
2012-10-31;24,383871;
2012-11-30;23,368667;
2012-12-31;25,100645;
2013-01-31;23,587586;
2013-02-28;24,811111;
2013-03-31;23,552258;
2013-04-30;20,952;
2013-05-31;19,371613;
2013-06-30;18,890667;
2013-07-31;18,188387;
2013-08-31;19,330968;
2013-09-30;21,699333;
2013-10-31;21,815484;
2013-11-30;23,132857;
2013-12-31;23,918667;
2014-01-31;24,89931;
2014-02-28;25,019259;
2014-03-31;23,992903;
2014-04-30;22,092;
2014-05-31;19,32129;
2014-06-30;18,648;
2014-07-31;17,831613;
2014-08-31;19,545806;
2014-09-30;22,823333;
2014-10-31;23,683226;
2014-11-30;23,884;
2014-12-31;null;
2015-01-31;null;
2015-02-28;23,591852;
2015-03-31;23,25871;
2015-04-30;22,192;
2015-05-31;19,408387;
2015-06-30;18,172667;
2015-07-31;19,172903;
2015-08-31;20,061935;
2015-09-30;23,109333;
2015-10-31;25,657419;
2015-11-30;25,041333;
2015-12-31;24,349032;
2016-01-31;23,753548;
2016-02-29;25,134483;
2016-03-31;24,141935;
2016-04-30;23,349333;
2016-05-31;20,131613;
2016-06-30;17,709333;
2016-07-31;18,555484;
2016-08-31;20,63037;
2016-09-30;23,492667;
2016-10-31;23,896774;
2016-11-30;23,068;
2016-12-31;24,037419;
2017-01-31;25,619259;
2017-02-28;24,420714;
2017-03-31;23,852258;
2017-04-30;22,636667;
2017-05-31;20,054839;
2017-06-30;18,573333;
2017-07-31;17,009677;
2017-08-31;20,252903;
2017-09-30;22,233333;
2017-10-31;24,333548;
2017-11-30;23,047333;
2017-12-31;24,048387;
2018-01-31;24,279231;
2018-02-28;23,59;
2018-03-31;24,492903;
2018-04-30;21,944667;
2018-05-31;19,017419;
2018-06-30;19,178667;
2018-07-31;18,423571;
2018-08-31;19,668148;
2018-09-30;22,176667;
2018-10-31;23,986452;
2018-11-30;22,611333;
2018-12-31;24,06;
2019-01-31;25,69931;
2019-02-28;24,413571;
2019-03-31;23,676129;
2019-04-30;23,088667;
2019-05-31;20,893548;
2019-06-30;18,438;
2019-07-31;17,216774;
2019-08-31;20,038065;
2019-09-30;23,981333;
2019-10-31;24,613548;
2019-11-30;23,788667;
2019-12-31;24,144516;
2020-01-31;24,507407;
2020-02-29;23,735862;
2020-03-31;22,942;
2020-04-30;21,842;
2020-05-31;null;
2020-06-30;18,596;
2020-07-31;19,236129;
2020-08-31;19,39871;
2020-09-30;23,594667;
2020-10-31;24,222069;
2020-11-30;null;
2020-12-31;24,016129;
2021-01-31;24,592857;
2021-02-28;23,431852;
2021-03-31;23,942581;
2021-04-30;21,531333;
2021-05-31;20,057419;
2021-06-30;18,272;
2021-07-31;16,7;
2021-08-31;20,2456;
2021-09-30;null;

