Nome: OLIVEIRA
Codigo Estacao: 83637
Latitude: -20.699773
Longitude: -44.819903
Altitude: 991.23
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2017-10-18
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;22,377419;
2003-02-28;24,148571;
2003-03-31;null;
2003-04-30;21,816;
2003-05-31;17,752258;
2003-06-30;18,589333;
2003-07-31;17,5;
2003-08-31;18,749032;
2003-09-30;20,926667;
2003-10-31;22,09871;
2003-11-30;21,968667;
2003-12-31;22,630323;
2004-01-31;22,063226;
2004-02-29;null;
2004-03-31;21,608387;
2004-04-30;20,996;
2004-05-31;18,31871;
2004-06-30;16,873333;
2004-07-31;16,021935;
2004-08-31;18,486452;
2004-09-30;21,874667;
2004-10-31;20,990968;
2004-11-30;22,037333;
2004-12-31;21,374839;
2005-01-31;22,28;
2005-02-28;null;
2005-03-31;22,178065;
2005-04-30;21,936667;
2005-05-31;18,648387;
2005-06-30;17,412667;
2005-07-31;16,790323;
2005-08-31;19,094839;
2005-09-30;20,066;
2005-10-31;22,655484;
2005-11-30;20,752;
2005-12-31;20,568387;
2006-01-31;22,781935;
2006-02-28;null;
2006-03-31;22,104516;
2006-04-30;21,070667;
2006-05-31;17,785806;
2006-06-30;16,77;
2006-07-31;17,281935;
2006-08-31;19,21871;
2006-09-30;19,272667;
2006-10-31;21,025161;
2006-11-30;21,314667;
2006-12-31;22,09871;
2007-01-31;21,630323;
2007-02-28;null;
2007-03-31;23,476129;
2007-04-30;21,594;
2007-05-31;18,327097;
2007-06-30;17,434667;
2007-07-31;17,414194;
2007-08-31;19,028387;
2007-09-30;21,192667;
2007-10-31;22,503871;
2007-11-30;21,465333;
2007-12-31;22,661935;
2008-01-31;21,557419;
2008-02-29;null;
2008-03-31;21,651613;
2008-04-30;21,126667;
2008-05-31;18,037419;
2008-06-30;17,842667;
2008-07-31;16,544516;
2008-08-31;19,965806;
2008-09-30;19,476667;
2008-10-31;22,182581;
2008-11-30;21,276667;
2008-12-31;null;
2009-01-31;22,013548;
2009-02-28;null;
2009-03-31;22,499355;
2009-04-30;20,516667;
2009-05-31;19,179355;
2009-06-30;16,783333;
2009-07-31;18,808387;
2009-08-31;18,994194;
2009-09-30;21,702;
2009-10-31;21,467097;
2009-11-30;23,352667;
2009-12-31;21,284706;
2010-01-31;null;
2010-02-28;null;
2010-03-31;22,652258;
2010-04-30;21,106;
2010-05-31;18,639355;
2010-06-30;16,289333;
2010-07-31;17,921935;
2010-08-31;18,254839;
2010-09-30;null;
2010-10-31;20,556129;
2010-11-30;20,995333;
2010-12-31;22,656774;
2011-01-31;22,09871;
2011-02-28;23,882143;
2011-03-31;22,24375;
2011-04-30;21,222667;
2011-05-31;18,722581;
2011-06-30;16,762667;
2011-07-31;17,498065;
2011-08-31;20,427059;
2011-09-30;20,029333;
2011-10-31;19,98129;
2011-11-30;19,620667;
2011-12-31;20,716129;
2012-01-31;20,860645;
2012-02-29;null;
2012-03-31;21,472903;
2012-04-30;20,792;
2012-05-31;17,61871;
2012-06-30;17,908;
2012-07-31;17,121935;
2012-08-31;17,944;
2012-09-30;20,107333;
2012-10-31;22,057419;
2012-11-30;21,172667;
2012-12-31;22,67;
2013-01-31;21,531613;
2013-02-28;null;
2013-03-31;21,785806;
2013-04-30;19,53;
2013-05-31;18,372258;
2013-06-30;18,374667;
2013-07-31;17,684516;
2013-08-31;18,562581;
2013-09-30;20,262;
2013-10-31;19,954194;
2013-11-30;21,363333;
2013-12-31;22,505161;
2014-01-31;23,567742;
2014-02-28;23,369286;
2014-03-31;22,67625;
2014-04-30;22,174667;
2014-05-31;18,618065;
2014-06-30;18,138667;
2014-07-31;17,492258;
2014-08-31;18,842581;
2014-09-30;21,158;
2014-10-31;22,298065;
2014-11-30;22,025333;
2014-12-31;22,691613;
2015-01-31;24,065161;
2015-02-28;null;
2015-03-31;null;
2015-04-30;21,144;
2015-05-31;18,672903;
2015-06-30;17,841379;
2015-07-31;18,614194;
2015-08-31;19,415484;
2015-09-30;21,684667;
2015-10-31;23,37875;
2015-11-30;23,420667;
2015-12-31;22,799355;
2016-01-31;22,702667;
2016-02-29;22,757333;
2016-03-31;22,701935;
2016-04-30;22,672667;
2016-05-31;19,207742;
2016-06-30;16,988667;
2016-07-31;18,103871;
2016-08-31;19,427097;
2016-09-30;21,954667;
2016-10-31;21,806452;
2016-11-30;21,138;
2016-12-31;22,369032;
2017-01-31;23,502581;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;

