Nome: CAPARAO
Codigo Estacao: 83639
Latitude: -20.526119
Longitude: -41.90913
Altitude: 836.25
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;22,774839;
2003-02-28;23,205;
2003-03-31;22,390968;
2003-04-30;20,304667;
2003-05-31;17,405806;
2003-06-30;15,905333;
2003-07-31;15,485714;
2003-08-31;16,656667;
2003-09-30;18,25931;
2003-10-31;19,975333;
2003-11-30;21,289286;
2003-12-31;null;
2004-01-31;null;
2004-02-29;21,179167;
2004-03-31;21,049677;
2004-04-30;20,425333;
2004-05-31;18,367097;
2004-06-30;15,641333;
2004-07-31;15,376774;
2004-08-31;16,070323;
2004-09-30;18,855333;
2004-10-31;20,04;
2004-11-30;21,212;
2004-12-31;21,264667;
2005-01-31;22,427097;
2005-02-28;21,658571;
2005-03-31;21,789032;
2005-04-30;21,235;
2005-05-31;18,304667;
2005-06-30;16,495172;
2005-07-31;15,561935;
2005-08-31;17,644667;
2005-09-30;18,992;
2005-10-31;21,015484;
2005-11-30;19,922;
2005-12-31;20,72;
2006-01-31;22,493548;
2006-02-28;23,404286;
2006-03-31;22,221935;
2006-04-30;20,102;
2006-05-31;16,709677;
2006-06-30;15,268;
2006-07-31;14,647742;
2006-08-31;17,830968;
2006-09-30;18,151333;
2006-10-31;20,064516;
2006-11-30;20,74;
2006-12-31;21,890323;
2007-01-31;22,370968;
2007-02-28;21,713571;
2007-03-31;21,874194;
2007-04-30;20,722667;
2007-05-31;16,883871;
2007-06-30;15,77;
2007-07-31;16,085806;
2007-08-31;16,457419;
2007-09-30;18,23;
2007-10-31;20,927742;
2007-11-30;21,398667;
2007-12-31;22,183871;
2008-01-31;21,16;
2008-02-29;22,111034;
2008-03-31;21,709677;
2008-04-30;21,258667;
2008-05-31;17,056774;
2008-06-30;15,946667;
2008-07-31;14,34;
2008-08-31;17,377419;
2008-09-30;17,672667;
2008-10-31;20,658065;
2008-11-30;20,558667;
2008-12-31;21,262581;
2009-01-31;22,26129;
2009-02-28;22,620714;
2009-03-31;22,299355;
2009-04-30;20,267333;
2009-05-31;17,922581;
2009-06-30;16,534667;
2009-07-31;17,403226;
2009-08-31;17,280645;
2009-09-30;20,592;
2009-10-31;21,070968;
2009-11-30;22,71;
2009-12-31;22,42129;
2010-01-31;22,847742;
2010-02-28;23,23;
2010-03-31;22,549032;
2010-04-30;20,149655;
2010-05-31;17,988387;
2010-06-30;14,69;
2010-07-31;16,290323;
2010-08-31;15,403226;
2010-09-30;18,146;
2010-10-31;19,881935;
2010-11-30;20,725333;
2010-12-31;22,618;
2011-01-31;22,650323;
2011-02-28;22,457143;
2011-03-31;21,421935;
2011-04-30;20,489333;
2011-05-31;16,894839;
2011-06-30;15,921379;
2011-07-31;15,200667;
2011-08-31;17,933548;
2011-09-30;17,498667;
2011-10-31;19,584516;
2011-11-30;19,246667;
2011-12-31;21,074839;
2012-01-31;21,517419;
2012-02-29;21,830345;
2012-03-31;21,541935;
2012-04-30;20,710667;
2012-05-31;17,854839;
2012-06-30;17,928667;
2012-07-31;15,948387;
2012-08-31;16,165161;
2012-09-30;19,187586;
2012-10-31;21,174194;
2012-11-30;20,946667;
2012-12-31;23,632258;
2013-01-31;22,207742;
2013-02-28;22,277143;
2013-03-31;21,919355;
2013-04-30;19,533333;
2013-05-31;17,546452;
2013-06-30;17,756667;
2013-07-31;16,453548;
2013-08-31;16,917419;
2013-09-30;19,035333;
2013-10-31;19,171613;
2013-11-30;20,757333;
2013-12-31;22,242581;
2014-01-31;22,565806;
2014-02-28;22,595714;
2014-03-31;21,817333;
2014-04-30;20,182667;
2014-05-31;17,755484;
2014-06-30;16,959333;
2014-07-31;16,371613;
2014-08-31;16,905161;
2014-09-30;19,086207;
2014-10-31;20,065161;
2014-11-30;21,216667;
2014-12-31;22,476129;
2015-01-31;23,649677;
2015-02-28;22,874815;
2015-03-31;22,485333;
2015-04-30;20,676667;
2015-05-31;17,848387;
2015-06-30;16,777333;
2015-07-31;16,774839;
2015-08-31;17,201935;
2015-09-30;20,360667;
2015-10-31;21,743226;
2015-11-30;23,274667;
2015-12-31;23,154194;
2016-01-31;22,710323;
2016-02-29;23,891034;
2016-03-31;22,743226;
2016-04-30;21,438667;
2016-05-31;18,858065;
2016-06-30;16,314;
2016-07-31;16,611333;
2016-08-31;17,73;
2016-09-30;19,51;
2016-10-31;20,344516;
2016-11-30;20,891333;
2016-12-31;22,127742;
2017-01-31;22,484516;
2017-02-28;22,295;
2017-03-31;21,493548;
2017-04-30;20,250667;
2017-05-31;17,665806;
2017-06-30;17,190667;
2017-07-31;14,670323;
2017-08-31;16,352258;
2017-09-30;18,074667;
2017-10-31;21,227097;
2017-11-30;20,673333;
2017-12-31;21,830323;
2018-01-31;22,928387;
2018-02-28;22,191111;
2018-03-31;22,774839;
2018-04-30;19,987333;
2018-05-31;17,696129;
2018-06-30;17,950667;
2018-07-31;16,070968;
2018-08-31;17,396774;
2018-09-30;19,07931;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
