Nome: VICOSA
Codigo Estacao: 83642
Latitude: -20.7625
Longitude: -42.86388888
Altitude: 697.53
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2018-03-07
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;23,043871;
2003-02-28;23,745;
2003-03-31;22,736774;
2003-04-30;21,255333;
2003-05-31;17,873548;
2003-06-30;17,185333;
2003-07-31;16,07871;
2003-08-31;17,012258;
2003-09-30;19,264;
2003-10-31;20,727097;
2003-11-30;21,732;
2003-12-31;22,873548;
2004-01-31;22,147097;
2004-02-29;21,977241;
2004-03-31;21,448387;
2004-04-30;20,718;
2004-05-31;18,130968;
2004-06-30;15,842;
2004-07-31;15,558065;
2004-08-31;16,88129;
2004-09-30;19,852667;
2004-10-31;20,750323;
2004-11-30;21,402667;
2004-12-31;21,938065;
2005-01-31;22,654839;
2005-02-28;22,22;
2005-03-31;22,527742;
2005-04-30;21,422;
2005-05-31;18,748387;
2005-06-30;17,107333;
2005-07-31;15,96;
2005-08-31;17,922581;
2005-09-30;19,594667;
2005-10-31;21,853548;
2005-11-30;20,644667;
2005-12-31;21,276774;
2006-01-31;23,091613;
2006-02-28;23,612857;
2006-03-31;22,555484;
2006-04-30;20,734;
2006-05-31;17,211613;
2006-06-30;16,144;
2006-07-31;15,677419;
2006-08-31;18,024516;
2006-09-30;18,478667;
2006-10-31;20,602581;
2006-11-30;21,201333;
2006-12-31;22,514839;
2007-01-31;22,617419;
2007-02-28;22,347857;
2007-03-31;22,663871;
2007-04-30;21,164667;
2007-05-31;17,512903;
2007-06-30;16,316667;
2007-07-31;16,583226;
2007-08-31;17,64;
2007-09-30;19,655333;
2007-10-31;21,846452;
2007-11-30;21,953333;
2007-12-31;22,838065;
2008-01-31;21,643226;
2008-02-29;22,742759;
2008-03-31;22,029032;
2008-04-30;21,368667;
2008-05-31;17,754839;
2008-06-30;16,705333;
2008-07-31;15,38;
2008-08-31;18,454286;
2008-09-30;18,679333;
2008-10-31;21,391613;
2008-11-30;21,12;
2008-12-31;21,429677;
2009-01-31;22,550323;
2009-02-28;22,948571;
2009-03-31;22,773548;
2009-04-30;20,588;
2009-05-31;18,366452;
2009-06-30;16,518;
2009-07-31;17,647742;
2009-08-31;17,543226;
2009-09-30;21,218;
2009-10-31;21,664516;
2009-11-30;23,109333;
2009-12-31;22,419355;
2010-01-31;23,623871;
2010-02-28;23,906429;
2010-03-31;22,877419;
2010-04-30;20,390667;
2010-05-31;18,200645;
2010-06-30;15,32;
2010-07-31;17,280645;
2010-08-31;16,597419;
2010-09-30;19,244667;
2010-10-31;20,565806;
2010-11-30;21,236;
2010-12-31;23,191613;
2011-01-31;23,316129;
2011-02-28;23,39;
2011-03-31;22,090323;
2011-04-30;20,832;
2011-05-31;17,606452;
2011-06-30;15,824;
2011-07-31;15,639355;
2011-08-31;18,514839;
2011-09-30;18,511333;
2011-10-31;20,324516;
2011-11-30;19,712667;
2011-12-31;21,72;
2012-01-31;21,789032;
2012-02-29;22,548966;
2012-03-31;21,95871;
2012-04-30;20,85;
2012-05-31;17,608387;
2012-06-30;17,837333;
2012-07-31;16,308387;
2012-08-31;17,196774;
2012-09-30;19,337333;
2012-10-31;21,699355;
2012-11-30;21,344667;
2012-12-31;23,987097;
2013-01-31;22,547742;
2013-02-28;22,543571;
2013-03-31;22,363226;
2013-04-30;19,971333;
2013-05-31;17,833548;
2013-06-30;17,729333;
2013-07-31;16,70129;
2013-08-31;17,467097;
2013-09-30;19,304;
2013-10-31;20,08129;
2013-11-30;21,357333;
2013-12-31;22,644516;
2014-01-31;23,427742;
2014-02-28;23,472143;
2014-03-31;21,849677;
2014-04-30;20,752;
2014-05-31;18,149677;
2014-06-30;17,428667;
2014-07-31;16,983226;
2014-08-31;17,592258;
2014-09-30;20,111333;
2014-10-31;21,150323;
2014-11-30;22,064667;
2014-12-31;22,885806;
2015-01-31;23,949032;
2015-02-28;23,125;
2015-03-31;22,774839;
2015-04-30;20,788;
2015-05-31;18,287742;
2015-06-30;17,214667;
2015-07-31;17,354839;
2015-08-31;17,959355;
2015-09-30;21,056667;
2015-10-31;22,662581;
2015-11-30;23,85;
2015-12-31;23,267742;
2016-01-31;22,889032;
2016-02-29;23,732414;
2016-03-31;23,000645;
2016-04-30;22,21;
2016-05-31;19,070769;
2016-06-30;16,874;
2016-07-31;17,287742;
2016-08-31;18,561935;
2016-09-30;20,766667;
2016-10-31;21,718667;
2016-11-30;22,063333;
2016-12-31;22,86129;
2017-01-31;23,660645;
2017-02-28;23,035;
2017-03-31;22,023871;
2017-04-30;21,08;
2017-05-31;18,649032;
2017-06-30;17,947333;
2017-07-31;15,826452;
2017-08-31;17,584516;
2017-09-30;19,476;
2017-10-31;22,605806;
2017-11-30;21,846667;
2017-12-31;22,92;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;

