Nome: CALDAS(P. DE CALDAS)
Codigo Estacao: 83681
Latitude: -21.918139
Longitude: -46.382977
Altitude: 1077.08
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2015-09-16
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;21,066452;
2003-02-28;21,767857;
2003-03-31;20,21871;
2003-04-30;18,504;
2003-05-31;14,280645;
2003-06-30;14,217333;
2003-07-31;13,235484;
2003-08-31;14,691613;
2003-09-30;18,133333;
2003-10-31;19,274839;
2003-11-30;null;
2003-12-31;null;
2004-01-31;null;
2004-02-29;null;
2004-03-31;18,234737;
2004-04-30;18,824667;
2004-05-31;15,182581;
2004-06-30;13,585333;
2004-07-31;13,307742;
2004-08-31;14,532903;
2004-09-30;18,897333;
2004-10-31;18,023226;
2004-11-30;19,506667;
2004-12-31;20,022581;
2005-01-31;21,068;
2005-02-28;19,923571;
2005-03-31;20,564516;
2005-04-30;19,273333;
2005-05-31;15,707742;
2005-06-30;14,246667;
2005-07-31;13,670323;
2005-08-31;15,204516;
2005-09-30;17,684667;
2005-10-31;20,663871;
2005-11-30;19,242;
2005-12-31;19,493548;
2006-01-31;21,369655;
2006-02-28;21,208571;
2006-03-31;20,959355;
2006-04-30;18,199333;
2006-05-31;14,352258;
2006-06-30;13,040667;
2006-07-31;13,835484;
2006-08-31;15,816129;
2006-09-30;17,189333;
2006-10-31;19,768387;
2006-11-30;20,203333;
2006-12-31;21,209677;
2007-01-31;21,284;
2007-02-28;null;
2007-03-31;21,238065;
2007-04-30;19,830667;
2007-05-31;15,22;
2007-06-30;13,966667;
2007-07-31;13,934194;
2007-08-31;16,089032;
2007-09-30;18,98;
2007-10-31;20,616;
2007-11-30;20,062;
2007-12-31;21,164516;
2008-01-31;20,583871;
2008-02-29;21,081379;
2008-03-31;20,016129;
2008-04-30;19,208;
2008-05-31;15,409677;
2008-06-30;14,968667;
2008-07-31;12,787097;
2008-08-31;16,845806;
2008-09-30;17,111333;
2008-10-31;20,183226;
2008-11-30;19,910667;
2008-12-31;20,304348;
2009-01-31;20,647097;
2009-02-28;21,302143;
2009-03-31;21,492308;
2009-04-30;18,376;
2009-05-31;16,403871;
2009-06-30;13,285333;
2009-07-31;15,218065;
2009-08-31;15,47871;
2009-09-30;18,846667;
2009-10-31;19,930323;
2009-11-30;22,050667;
2009-12-31;21,223871;
2010-01-31;21,734839;
2010-02-28;21,835652;
2010-03-31;21,02129;
2010-04-30;18,599333;
2010-05-31;15,566452;
2010-06-30;13,17931;
2010-07-31;14,773548;
2010-08-31;15,007097;
2010-09-30;18,148;
2010-10-31;18,999355;
2010-11-30;20;
2010-12-31;21,92;
2011-01-31;21,645161;
2011-02-28;21,800714;
2011-03-31;20,544516;
2011-04-30;19,150769;
2011-05-31;15,161935;
2011-06-30;12,458;
2011-07-31;14,827742;
2011-08-31;16,711613;
2011-09-30;17,697333;
2011-10-31;19,721935;
2011-11-30;18,974615;
2011-12-31;20,669032;
2012-01-31;20,091613;
2012-02-29;21,40069;
2012-03-31;20,412903;
2012-04-30;19,302;
2012-05-31;15,292903;
2012-06-30;15,468;
2012-07-31;13,844516;
2012-08-31;15,054194;
2012-09-30;17,899333;
2012-10-31;20,914194;
2012-11-30;20,6;
2012-12-31;22,107097;
2013-01-31;20,845161;
2013-02-28;21,417857;
2013-03-31;20,625806;
2013-04-30;17,988667;
2013-05-31;16,268387;
2013-06-30;15,508667;
2013-07-31;14,264516;
2013-08-31;15,030968;
2013-09-30;17,600667;
2013-10-31;18,889677;
2013-11-30;20,009333;
2013-12-31;21,360645;
2014-01-31;22,285806;
2014-02-28;22,264286;
2014-03-31;21,14129;
2014-04-30;19,127333;
2014-05-31;15,79871;
2014-06-30;14,985333;
2014-07-31;14,268387;
2014-08-31;15,87871;
2014-09-30;18,601333;
2014-10-31;20,209032;
2014-11-30;20,930667;
2014-12-31;21,242143;
2015-01-31;22,962581;
2015-02-28;21,164286;
2015-03-31;20,364516;
2015-04-30;19,192667;
2015-05-31;16,242581;
2015-06-30;15,042;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;

