Nome: MACHADO
Codigo Estacao: 83683
Latitude: -21.68138888
Longitude: -45.94083333
Altitude: 892.44
Situacao: Fechada
Data Inicial: 2003-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;22,943226;
2003-02-28;23,948571;
2003-03-31;22,361935;
2003-04-30;20,923333;
2003-05-31;16,976774;
2003-06-30;17,592667;
2003-07-31;16,143226;
2003-08-31;17,426;
2003-09-30;21,125217;
2003-10-31;21,610323;
2003-11-30;21,870667;
2003-12-31;23,027097;
2004-01-31;22,293548;
2004-02-29;21,791724;
2004-03-31;20,870968;
2004-04-30;20,953333;
2004-05-31;17,295484;
2004-06-30;15,658;
2004-07-31;15,449032;
2004-08-31;17,48;
2004-09-30;21,784667;
2004-10-31;20,474839;
2004-11-30;21,874;
2004-12-31;22,256129;
2005-01-31;22,903226;
2005-02-28;22,427857;
2005-03-31;22,596129;
2005-04-30;21,4384;
2005-05-31;18,176129;
2005-06-30;16,47;
2005-07-31;15,992903;
2005-08-31;17,786452;
2005-09-30;19,567333;
2005-10-31;22,855484;
2005-11-30;21,405517;
2005-12-31;21,463226;
2006-01-31;23,310323;
2006-02-28;23,282143;
2006-03-31;23,151613;
2006-04-30;20,615333;
2006-05-31;17,007097;
2006-06-30;15,778;
2006-07-31;16,250323;
2006-08-31;18,750968;
2006-09-30;19,91;
2006-10-31;21,440645;
2006-11-30;21,401333;
2006-12-31;22,593548;
2007-01-31;22,055455;
2007-02-28;null;
2007-03-31;23,142353;
2007-04-30;21,793333;
2007-05-31;17,295484;
2007-06-30;16,121333;
2007-07-31;15,859355;
2007-08-31;18,092258;
2007-09-30;21,022667;
2007-10-31;22,672258;
2007-11-30;21,431333;
2007-12-31;23,065161;
2008-01-31;21,877419;
2008-02-29;22,497241;
2008-03-31;21,778065;
2008-04-30;20,679333;
2008-05-31;17,197037;
2008-06-30;16,514615;
2008-07-31;null;
2008-08-31;18,647742;
2008-09-30;19,275333;
2008-10-31;21,741935;
2008-11-30;21,387333;
2008-12-31;21,823871;
2009-01-31;22,17871;
2009-02-28;22,711429;
2009-03-31;22,749032;
2009-04-30;20,014667;
2009-05-31;17,841935;
2009-06-30;14,950667;
2009-07-31;17,111429;
2009-08-31;17,479231;
2009-09-30;20,547692;
2009-10-31;21,382963;
2009-11-30;23,867586;
2009-12-31;22,327097;
2010-01-31;23,194194;
2010-02-28;23,365714;
2010-03-31;22,611613;
2010-04-30;20,32;
2010-05-31;17,611613;
2010-06-30;15,241333;
2010-07-31;16,919355;
2010-08-31;17,429032;
2010-09-30;20,214667;
2010-10-31;20,765161;
2010-11-30;21,784;
2010-12-31;23,448387;
2011-01-31;22,891613;
2011-02-28;23,720714;
2011-03-31;22,01871;
2011-04-30;20,723333;
2011-05-31;17,406667;
2011-06-30;14,498;
2011-07-31;16,625161;
2011-08-31;18,959355;
2011-09-30;20,149333;
2011-10-31;21,273548;
2011-11-30;20,926667;
2011-12-31;22,123871;
2012-01-31;21,574194;
2012-02-29;23,122759;
2012-03-31;22,181935;
2012-04-30;21,074;
2012-05-31;17,030968;
2012-06-30;17,295333;
2012-07-31;15,976129;
2012-08-31;17,523226;
2012-09-30;20,106;
2012-10-31;22,814839;
2012-11-30;22,122667;
2012-12-31;23,843871;
2013-01-31;22,305161;
2013-02-28;23,075714;
2013-03-31;22,062759;
2013-04-30;19,660667;
2013-05-31;17,874194;
2013-06-30;17,290667;
2013-07-31;16,28;
2013-08-31;17,187097;
2013-09-30;19,752;
2013-10-31;20,52129;
2013-11-30;21,805333;
2013-12-31;23,206452;
2014-01-31;24,462581;
2014-02-28;24,401481;
2014-03-31;22,85871;
2014-04-30;20,974667;
2014-05-31;17,84;
2014-06-30;16,97;
2014-07-31;16,215484;
2014-08-31;18,043226;
2014-09-30;21,04;
2014-10-31;22,168387;
2014-11-30;22,364667;
2014-12-31;22,822581;
2015-01-31;24,445806;
2015-02-28;22,668571;
2015-03-31;21,583226;
2015-04-30;20,933333;
2015-05-31;18,080645;
2015-06-30;16,875333;
2015-07-31;17,46;
2015-08-31;18,293548;
2015-09-30;21,019333;
2015-10-31;23,446;
2015-11-30;23,167857;
2015-12-31;23,180645;
2016-01-31;22,83871;
2016-02-29;23,865517;
2016-03-31;22,862581;
2016-04-30;21,888889;
2016-05-31;null;
2016-06-30;15,988;
2016-07-31;16,756774;
2016-08-31;18,190323;
2016-09-30;21,506;
2016-10-31;22,114839;
2016-11-30;22,138667;
2016-12-31;23,5;
2017-01-31;23,292903;
2017-02-28;23,652143;
2017-03-31;22,326452;
2017-04-30;20,998462;
2017-05-31;18,52129;
2017-06-30;17,042;
2017-07-31;15,363871;
2017-08-31;17,987742;
2017-09-30;20,409286;
2017-10-31;22,372903;
2017-11-30;21,797241;
2017-12-31;22,865806;
2018-01-31;23,114;
2018-02-28;22,718571;
2018-03-31;23,450968;
2018-04-30;20,706923;
2018-05-31;18,025806;
2018-06-30;18,092667;
2018-07-31;16,780645;
2018-08-31;17,636774;
