Nome: LAVRAS
Codigo Estacao: 83687
Latitude: -21.2261111
Longitude: -44.97972221
Altitude: 916.19
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;22,42129;
2003-02-28;23,952857;
2003-03-31;21,893548;
2003-04-30;21,230667;
2003-05-31;17,308387;
2003-06-30;18,276667;
2003-07-31;16,940645;
2003-08-31;18,127742;
2003-09-30;20,482667;
2003-10-31;21,578065;
2003-11-30;21,802;
2003-12-31;22,691613;
2004-01-31;22,302581;
2004-02-29;21,596552;
2004-03-31;21,297419;
2004-04-30;20,944;
2004-05-31;18,062581;
2004-06-30;16,592667;
2004-07-31;15,764516;
2004-08-31;18,197419;
2004-09-30;21,781333;
2004-10-31;20,655484;
2004-11-30;21,770667;
2004-12-31;21,729032;
2005-01-31;22,639355;
2005-02-28;22,083571;
2005-03-31;22,444516;
2005-04-30;22,135333;
2005-05-31;18,953548;
2005-06-30;17,365333;
2005-07-31;16,929677;
2005-08-31;19,268667;
2005-09-30;20,018667;
2005-10-31;22,981935;
2005-11-30;20,863333;
2005-12-31;21,137419;
2006-01-31;23,117419;
2006-02-28;23,195714;
2006-03-31;22,425806;
2006-04-30;20,800667;
2006-05-31;17,348387;
2006-06-30;16,515333;
2006-07-31;17,268387;
2006-08-31;19,429677;
2006-09-30;19,412667;
2006-10-31;21,18;
2006-11-30;21,42;
2006-12-31;22,587097;
2007-01-31;22,039355;
2007-02-28;22,745;
2007-03-31;23,556774;
2007-04-30;21,845333;
2007-05-31;18,086452;
2007-06-30;17,417333;
2007-07-31;17,063226;
2007-08-31;18,944516;
2007-09-30;21,291333;
2007-10-31;22,805806;
2007-11-30;21,476667;
2007-12-31;22,971613;
2008-01-31;21,819355;
2008-02-29;22,298621;
2008-03-31;21,897419;
2008-04-30;20,969333;
2008-05-31;17,820645;
2008-06-30;17,554;
2008-07-31;16,531613;
2008-08-31;19,573548;
2008-09-30;19,432;
2008-10-31;21,998065;
2008-11-30;21,199333;
2008-12-31;21,490968;
2009-01-31;22,210968;
2009-02-28;23,285;
2009-03-31;22,704667;
2009-04-30;20,411333;
2009-05-31;18,674194;
2009-06-30;16,232667;
2009-07-31;18,556774;
2009-08-31;18,473548;
2009-09-30;21,565333;
2009-10-31;21,868387;
2009-11-30;23,710667;
2009-12-31;22,417419;
2010-01-31;23,95871;
2010-02-28;23,947857;
2010-03-31;23,110323;
2010-04-30;21,054;
2010-05-31;18,490323;
2010-06-30;16,02;
2010-07-31;17,704516;
2010-08-31;18,070323;
2010-09-30;20,098667;
2010-10-31;20,896129;
2010-11-30;21,429333;
2010-12-31;23,379355;
2011-01-31;23;
2011-02-28;23,993571;
2011-03-31;22,007097;
2011-04-30;21,432667;
2011-05-31;18,287097;
2011-06-30;16,280667;
2011-07-31;17,330323;
2011-08-31;19,650323;
2011-09-30;20,225333;
2011-10-31;20,909677;
2011-11-30;20,395333;
2011-12-31;21,781481;
2012-01-31;21,66069;
2012-02-29;23,150345;
2012-03-31;22,274839;
2012-04-30;21,396667;
2012-05-31;17,71871;
2012-06-30;17,834667;
2012-07-31;16,791613;
2012-08-31;17,963226;
2012-09-30;20,498667;
2012-10-31;22,954839;
2012-11-30;21,962;
2012-12-31;24,093548;
2013-01-31;22,214194;
2013-02-28;23,474286;
2013-03-31;22,20129;
2013-04-30;19,906;
2013-05-31;18,323226;
2013-06-30;18,042667;
2013-07-31;16,803226;
2013-08-31;18,205161;
2013-09-30;20,243333;
2013-10-31;20,33871;
2013-11-30;21,605333;
2013-12-31;22,746452;
2014-01-31;24,178065;
2014-02-28;24,033571;
2014-03-31;22,773548;
2014-04-30;21,096;
2014-05-31;18,399355;
2014-06-30;17,972;
2014-07-31;17,119355;
2014-08-31;18,542581;
2014-09-30;21,048;
2014-10-31;22,087742;
2014-11-30;22,316;
2014-12-31;22,965161;
2015-01-31;24,810323;
2015-02-28;22,732857;
2015-03-31;21,979355;
2015-04-30;21,24;
2015-05-31;18,411613;
2015-06-30;17,466;
2015-07-31;18,29871;
2015-08-31;19,256129;
2015-09-30;21,634667;
2015-10-31;24,044516;
2015-11-30;23,312667;
2015-12-31;23,249677;
2016-01-31;22,761935;
2016-02-29;23,961379;
2016-03-31;23,122581;
2016-04-30;22,668667;
2016-05-31;18,897419;
2016-06-30;16,707333;
2016-07-31;17,728387;
2016-08-31;19,070968;
2016-09-30;21,852667;
2016-10-31;22,030968;
2016-11-30;21,656667;
2016-12-31;23,109677;
2017-01-31;23,684516;
2017-02-28;23,339286;
2017-03-31;22,5;
2017-04-30;21,2;
2017-05-31;18,907742;
2017-06-30;17,620667;
2017-07-31;16,103871;
2017-08-31;18,530968;
2017-09-30;20,787333;
2017-10-31;22,46129;
2017-11-30;21,59;
2017-12-31;22,796774;
2018-01-31;23,041935;
2018-02-28;22,699286;
2018-03-31;23,647742;
2018-04-30;21,119333;
2018-05-31;18,77871;
2018-06-30;18,545333;
2018-07-31;17,953548;
2018-08-31;18,370968;
2018-09-30;20,826667;
2018-10-31;21,950968;
2018-11-30;21,546;
2018-12-31;23,040645;
2019-01-31;24,219286;
2019-02-28;23,419286;
2019-03-31;22,562581;
2019-04-30;22,178667;
2019-05-31;20,02;
2019-06-30;18,105333;
2019-07-31;16,700645;
2019-08-31;18,470323;
2019-09-30;22,530667;
2019-10-31;22,966452;
2019-11-30;22,361333;
2019-12-31;22,937037;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;18,170667;
2020-07-31;18,457419;
2020-08-31;18,390323;
2020-09-30;22,58;
2020-10-31;22,926667;
2020-11-30;null;
2020-12-31;22,882963;
2021-01-31;null;
2021-02-28;22,320714;
2021-03-31;23,063226;
2021-04-30;20,218;
2021-05-31;18,765806;
2021-06-30;17,515333;
2021-07-31;15,818065;
2021-08-31;19,190667;
2021-09-30;23,186667;
2021-10-31;21,217692;
2021-11-30;21,915333;
2021-12-31;22,081935;
2022-01-31;23,055652;
2022-02-28;22,449286;
2022-03-31;23,739333;
2022-04-30;21,976;
2022-05-31;17,673333;
2022-06-30;17,367586;
2022-07-31;18,114194;
2022-08-31;18,870476;
2022-09-30;20,5216;
2022-10-31;22,795484;
2022-11-30;20,777333;
2022-12-31;21,720667;
2023-01-31;22,445;
2023-02-28;23,773571;
2023-03-31;23,5;
2023-04-30;21,294;
2023-05-31;18,609032;
2023-06-30;17,162069;
2023-07-31;17,977419;
2023-08-31;19,957931;
2023-09-30;22,940769;
2023-10-31;23,8775;
2023-11-30;24,443448;

