Nome: SAO JOAO DEL REI
Codigo Estacao: 83688
Latitude: -21.3
Longitude: -44.26999999
Altitude: 991
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2006-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;22,370323;
2003-02-28;23,487857;
2003-03-31;21,609032;
2003-04-30;20,359333;
2003-05-31;16,353548;
2003-06-30;null;
2003-07-31;null;
2003-08-31;null;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;null;
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;21,33;
2005-05-31;17,935484;
2005-06-30;16,551333;
2005-07-31;15,705806;
2005-08-31;17,892258;
2005-09-30;19,575862;
2005-10-31;22,24129;
2005-11-30;20,361333;
2005-12-31;20,840645;
2006-01-31;23,063226;
2006-02-28;22,929286;
2006-03-31;22,05871;
2006-04-30;20,091333;
2006-05-31;16,528387;

