Nome: BARBACENA
Codigo Estacao: 83689
Latitude: -21.23972221
Longitude: -43.78138888
Altitude: 1128.08
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2018-05-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;21,110323;
2003-02-28;22,47;
2003-03-31;20,560645;
2003-04-30;19,172308;
2003-05-31;15,945806;
2003-06-30;17,022;
2003-07-31;15,445806;
2003-08-31;15,547097;
2003-09-30;17,384;
2003-10-31;18,702581;
2003-11-30;19,508667;
2003-12-31;20,583226;
2004-01-31;19,885161;
2004-02-29;19,857931;
2004-03-31;19,4;
2004-04-30;19,062;
2004-05-31;16,743871;
2004-06-30;15,07;
2004-07-31;13,932903;
2004-08-31;16,185806;
2004-09-30;19,421333;
2004-10-31;18,38129;
2004-11-30;19,424667;
2004-12-31;19,899355;
2005-01-31;20,70129;
2005-02-28;20,149286;
2005-03-31;20,584516;
2005-04-30;20,242;
2005-05-31;17,230323;
2005-06-30;16,026667;
2005-07-31;15,152258;
2005-08-31;17,470968;
2005-09-30;17,592;
2005-10-31;20,645161;
2005-11-30;18,502667;
2005-12-31;19,192903;
2006-01-31;21,222581;
2006-02-28;21,704286;
2006-03-31;20,897778;
2006-04-30;null;
2006-05-31;null;
2006-06-30;14,820833;
2006-07-31;15,657419;
2006-08-31;17,434839;
2006-09-30;16,882667;
2006-10-31;18,639355;
2006-11-30;19,192;
2006-12-31;20,212903;
2007-01-31;20,471613;
2007-02-28;20,736429;
2007-03-31;21,390323;
2007-04-30;19,386;
2007-05-31;15,863871;
2007-06-30;16,054;
2007-07-31;15,673548;
2007-08-31;16,36129;
2007-09-30;17,749333;
2007-10-31;19,887097;
2007-11-30;18,858667;
2007-12-31;20,775484;
2008-01-31;19,331613;
2008-02-29;20,126207;
2008-03-31;19,640645;
2008-04-30;19,022667;
2008-05-31;15,875484;
2008-06-30;15,409333;
2008-07-31;14,355484;
2008-08-31;17,147097;
2008-09-30;16,695333;
2008-10-31;18,94;
2008-11-30;18,671333;
2008-12-31;19,456774;
2009-01-31;20,474839;
2009-02-28;21,350714;
2009-03-31;21,009677;
2009-04-30;18,422667;
2009-05-31;16,950968;
2009-06-30;15,055333;
2009-07-31;16,667097;
2009-08-31;16,668387;
2009-09-30;19,599333;
2009-10-31;19,475484;
2009-11-30;21,655333;
2009-12-31;20,503226;
2010-01-31;21,822581;
2010-02-28;21,891429;
2010-03-31;20,789677;
2010-04-30;18,675333;
2010-05-31;16,674194;
2010-06-30;14,394667;
2010-07-31;16,179355;
2010-08-31;16,025161;
2010-09-30;18,046667;
2010-10-31;18,536129;
2010-11-30;19,225333;
2010-12-31;21,412258;
2011-01-31;21,513548;
2011-02-28;22,287857;
2011-03-31;20,163871;
2011-04-30;19,440667;
2011-05-31;16,143226;
2011-06-30;14,742667;
2011-07-31;15,577419;
2011-08-31;17,810968;
2011-09-30;17,461333;
2011-10-31;18,561935;
2011-11-30;17,918;
2011-12-31;19,827742;
2012-01-31;19,894615;
2012-02-29;20,978571;
2012-03-31;20,261935;
2012-04-30;19,457333;
2012-05-31;15,848387;
2012-06-30;16,792;
2012-07-31;15,629032;
2012-08-31;15,155484;
2012-09-30;17,894;
2012-10-31;20,263226;
2012-11-30;19,211667;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;

