Nome: JUIZ DE FORA
Codigo Estacao: 83692
Latitude: -21.76999999
Longitude: -43.36444444
Altitude: 936.9
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;21,827742;
2003-02-28;23,519286;
2003-03-31;21,291613;
2003-04-30;20,186667;
2003-05-31;17,50129;
2003-06-30;18,361333;
2003-07-31;16,986452;
2003-08-31;15,845161;
2003-09-30;17,98087;
2003-10-31;19,16;
2003-11-30;19,774;
2003-12-31;21,085161;
2004-01-31;20,707097;
2004-02-29;20,69931;
2004-03-31;20,027742;
2004-04-30;19,96;
2004-05-31;17,150968;
2004-06-30;16,137333;
2004-07-31;14,945161;
2004-08-31;16,524516;
2004-09-30;19,62;
2004-10-31;18,313548;
2004-11-30;19,71;
2004-12-31;20,152903;
2005-01-31;21,210323;
2005-02-28;20,627143;
2005-03-31;21,518065;
2005-04-30;20,755333;
2005-05-31;18,437419;
2005-06-30;17,178667;
2005-07-31;15,932258;
2005-08-31;18,319355;
2005-09-30;17,592;
2005-10-31;21,104516;
2005-11-30;19,032667;
2005-12-31;19,698065;
2006-01-31;22,213548;
2006-02-28;22,847143;
2006-03-31;21,735484;
2006-04-30;19,66;
2006-05-31;16,707097;
2006-06-30;16,043333;
2006-07-31;17,159355;
2006-08-31;17,89871;
2006-09-30;17,29;
2006-10-31;19,116129;
2006-11-30;19,614667;
2006-12-31;21,011613;
2007-01-31;21,074839;
2007-02-28;22,183704;
2007-03-31;22,85871;
2007-04-30;20,793846;
2007-05-31;17,174839;
2007-06-30;17,533333;
2007-07-31;16,771613;
2007-08-31;17,965806;
2007-09-30;18,984667;
2007-10-31;20,709677;
2007-11-30;19,712667;
2007-12-31;21,872903;
2008-01-31;20,565161;
2008-02-29;20,97;
2008-03-31;20,862581;
2008-04-30;20,233333;
2008-05-31;17,483871;
2008-06-30;16,513333;
2008-07-31;16,442667;
2008-08-31;18,190968;
2008-09-30;17,57;
2008-10-31;19,796774;
2008-11-30;19,003333;
2008-12-31;19,720645;
2009-01-31;21,240645;
2009-02-28;22,360714;
2009-03-31;21,964516;
2009-04-30;19,308667;
2009-05-31;18,050968;
2009-06-30;15,832667;
2009-07-31;16,972258;
2009-08-31;17,32;
2009-09-30;20,17;
2009-10-31;19,854194;
2009-11-30;22,71;
2009-12-31;21,014483;
2010-01-31;23,054286;
2010-02-28;23,293571;
2010-03-31;21,262857;
2010-04-30;19,584;
2010-05-31;17,762581;
2010-06-30;15,646667;
2010-07-31;17,118065;
2010-08-31;17,10129;
2010-09-30;18,65;
2010-10-31;18,454194;
2010-11-30;19,618;
2010-12-31;21,883226;
2011-01-31;22,509333;
2011-02-28;23,596923;
2011-03-31;20,770323;
2011-04-30;20,225333;
2011-05-31;16,718;
2011-06-30;15,743333;
2011-07-31;16,549333;
2011-08-31;18,380667;
2011-09-30;17,750667;
2011-10-31;19,537333;
2011-11-30;18,26069;
2011-12-31;20,205161;
2012-01-31;20,490323;
2012-02-29;22,397857;
2012-03-31;21,381935;
2012-04-30;20,252;
2012-05-31;16,327059;
2012-06-30;null;
2012-07-31;17,331111;
2012-08-31;16,676129;
2012-09-30;18,770667;
2012-10-31;21,084516;
2012-11-30;19,372;
2012-12-31;23,403871;
2013-01-31;21,028387;
