Nome: SAO LOURENCO
Codigo Estacao: 83736
Latitude: -22.12638888
Longitude: -45.04333333
Altitude: 930.65
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;22,063226;
2003-02-28;23,217143;
2003-03-31;21,255484;
2003-04-30;19,913333;
2003-05-31;15,133548;
2003-06-30;15,497333;
2003-07-31;13,975484;
2003-08-31;15,726452;
2003-09-30;19,082667;
2003-10-31;20,307742;
2003-11-30;21,054;
2003-12-31;22,193548;
2004-01-31;21,901935;
2004-02-29;21,052414;
2004-03-31;19,889032;
2004-04-30;19,608667;
2004-05-31;16,037419;
2004-06-30;14,066;
2004-07-31;13,922581;
2004-08-31;15,662581;
2004-09-30;20,118667;
2004-10-31;19,398065;
2004-11-30;20,844;
2004-12-31;21,198065;
2005-01-31;21,645556;
2005-02-28;21,168571;
2005-03-31;21,458065;
2005-04-30;20,227333;
2005-05-31;16,780645;
2005-06-30;14,972667;
2005-07-31;14,505161;
2005-08-31;16,503871;
2005-09-30;18,644;
2005-10-31;21,663226;
2005-11-30;20,761379;
2005-12-31;20,702581;
2006-01-31;22,404516;
2006-02-28;22,37;
2006-03-31;21,875484;
2006-04-30;19,236;
2006-05-31;15,276129;
2006-06-30;14,037333;
2006-07-31;14,282581;
2006-08-31;16,985806;
2006-09-30;18,323333;
2006-10-31;20,949677;
2006-11-30;20,802667;
2006-12-31;21,989677;
2007-01-31;21,652903;
2007-02-28;22,208571;
2007-03-31;22,575484;
2007-04-30;20,507333;
2007-05-31;16,174194;
2007-06-30;14,716667;
2007-07-31;14,794194;
2007-08-31;16,562581;
2007-09-30;19,996;
2007-10-31;22,069677;
2007-11-30;20,516667;
2007-12-31;22;
2008-01-31;20,0225;
2008-02-29;21,477241;
2008-03-31;20,639355;
2008-04-30;19,505333;
2008-05-31;15,965161;
2008-06-30;15,106667;
2008-07-31;13,603226;
2008-08-31;17,188387;
2008-09-30;17,594667;
2008-10-31;20,845161;
2008-11-30;20,396;
2008-12-31;20,867742;
2009-01-31;null;
2009-02-28;22,03;
2009-03-31;21,863226;
2009-04-30;18,936;
2009-05-31;16,556129;
2009-06-30;13,691333;
2009-07-31;15,821935;
2009-08-31;16,307097;
2009-09-30;19,545333;
2009-10-31;20,753548;
2009-11-30;22,744667;
2009-12-31;21,689677;
2010-01-31;22,548387;
2010-02-28;22,548571;
2010-03-31;21,461935;
2010-04-30;19,228;
2010-05-31;16,420645;
2010-06-30;13,377333;
2010-07-31;15,243871;
2010-08-31;15,681935;
2010-09-30;19,078667;
2010-10-31;19,939355;
2010-11-30;20,882667;
2010-12-31;22,705806;
2011-01-31;22,327742;
2011-02-28;22,541429;
2011-03-31;21,369677;
2011-04-30;19,682;
2011-05-31;16,187097;
2011-06-30;13,647333;
2011-07-31;14,967097;
2011-08-31;17,608387;
2011-09-30;18,773333;
2011-10-31;20,576129;
2011-11-30;19,924667;
2011-12-31;21,323226;
2012-01-31;20,651613;
2012-02-29;22,298621;
2012-03-31;21,276129;
2012-04-30;20,131333;
2012-05-31;15,566452;
2012-06-30;15,932667;
2012-07-31;14,359355;
2012-08-31;15,92129;
2012-09-30;18,693333;
2012-10-31;21,877419;
2012-11-30;20,968667;
2012-12-31;23,08129;
2013-01-31;21,423226;
2013-02-28;22,097857;
2013-03-31;21,2;
2013-04-30;18,454;
2013-05-31;16,410323;
2013-06-30;16,293333;
2013-07-31;14,632258;
2013-08-31;15,705161;
2013-09-30;18,672;
2013-10-31;19,414839;
2013-11-30;20,665333;
2013-12-31;22,255484;
2014-01-31;23,291613;
2014-02-28;23,324286;
2014-03-31;21,846452;
2014-04-30;20,034;
2014-05-31;16,503226;
2014-06-30;15,8;
2014-07-31;14,833548;
2014-08-31;16,670323;
2014-09-30;null;
2014-10-31;21,314815;
2014-11-30;22,009333;
2014-12-31;22,689677;
2015-01-31;23,786452;
2015-02-28;22,038571;
2015-03-31;21,239355;
2015-04-30;20,177333;
2015-05-31;16,884516;
2015-06-30;15,601333;
2015-07-31;16,235484;
