Nome: PASSA QUATRO
Codigo Estacao: 83737
Latitude: -22.38277777
Longitude: -44.96694443
Altitude: 919.55
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2003-01-31;22,089032;
2003-02-28;23,307143;
2003-03-31;21,476774;
2003-04-30;19,889655;
2003-05-31;15,490323;
2003-06-30;15,862;
2003-07-31;14,001935;
2003-08-31;15,31871;
2003-09-30;18,379333;
2003-10-31;20,021935;
2003-11-30;20,694667;
2003-12-31;21,914839;
2004-01-31;21,526452;
2004-02-29;21,194483;
2004-03-31;20,222581;
2004-04-30;19,932;
2004-05-31;16,46;
2004-06-30;14,301333;
2004-07-31;14,172903;
2004-08-31;15,674194;
2004-09-30;19,905333;
2004-10-31;19,047742;
2004-11-30;20,485333;
2004-12-31;21,247742;
2005-01-31;21,765161;
2005-02-28;21,351429;
2005-03-31;21,665806;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;18,064;
2005-10-31;21,36129;
2005-11-30;20,334667;
2005-12-31;20,54129;
2006-01-31;22,184516;
2006-02-28;22,447143;
2006-03-31;21,892903;
2006-04-30;19,242;
2006-05-31;15,705806;
2006-06-30;14,299333;
2006-07-31;14,025161;
2006-08-31;16,295333;
2006-09-30;17,629333;
2006-10-31;20,369032;
2006-11-30;20,530667;
2006-12-31;21,989032;
2007-01-31;21,528387;
2007-02-28;22,167857;
2007-03-31;22,328387;
2007-04-30;20,768;
2007-05-31;16,049677;
2007-06-30;14,581333;
2007-07-31;14,527742;
2007-08-31;16,107742;
2007-09-30;19,281333;
2007-10-31;null;
2007-11-30;20,142;
2007-12-31;null;
2008-01-31;21,010323;
2008-02-29;21,643448;
2008-03-31;20,674839;
2008-04-30;19,527586;
2008-05-31;15,811613;
2008-06-30;14,944;
2008-07-31;13,436129;
2008-08-31;null;
2008-09-30;17,172667;
2008-10-31;20,430323;
2008-11-30;20,398;
2008-12-31;20,777419;
2009-01-31;21,266452;
2009-02-28;22,295714;
2009-03-31;22,361935;
2009-04-30;19,562;
2009-05-31;16,881935;
2009-06-30;13,988667;
2009-07-31;15,889677;
2009-08-31;16,111613;
2009-09-30;19,471333;
2009-10-31;20,646452;
2009-11-30;22,946;
2009-12-31;21,734839;
2010-01-31;22,96;
2010-02-28;22,600714;
2010-03-31;21,703226;
2010-04-30;19,464667;
2010-05-31;16,789677;
2010-06-30;13,496667;
2010-07-31;15,365161;
2010-08-31;15,392903;
2010-09-30;18,656;
2010-10-31;19,495484;
2010-11-30;20,628;
2010-12-31;22,897333;
2011-01-31;22,461935;
2011-02-28;22,885;
2011-03-31;21,734;
2011-04-30;20,174;
2011-05-31;16,375484;
2011-06-30;13,560667;
2011-07-31;14,725161;
2011-08-31;17,129677;
2011-09-30;18,252667;
2011-10-31;19,870323;
2011-11-30;19,642;
2011-12-31;21,254839;
2012-01-31;20,710968;
2012-02-29;22,485517;
2012-03-31;21,537419;
2012-04-30;20,259333;
2012-05-31;16,224516;
2012-06-30;16,256667;
2012-07-31;14,387097;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;
2023-01-31;null;
2023-02-28;null;
2023-03-31;null;
2023-04-30;null;
2023-05-31;null;
2023-06-30;null;
2023-07-31;null;
2023-08-31;null;
2023-09-30;null;
2023-10-31;null;
2023-11-30;null;

