Nome: CONTAGEM
Codigo Estacao: A501
Latitude: -19.95
Longitude: -44.08333333
Altitude: 980
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2008-06-24
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2003-01-31;22,517201;
2003-02-28;24,043555;
2003-03-31;22,480365;
2003-04-30;22,213013;
2003-05-31;19,162626;
2003-06-30;20,171576;
2003-07-31;18,64065;
2003-08-31;19,708713;
2003-09-30;21,41718;
2003-10-31;22,326635;
2003-11-30;22,211938;
2003-12-31;22,594892;
2004-01-31;21,928549;
2004-02-29;null;
2004-03-31;null;
2004-04-30;21,128545;
2004-05-31;19,703352;
2004-06-30;18,006967;
2004-07-31;17,001039;
2004-08-31;19,664904;
2004-09-30;22,318512;
2004-10-31;22,258371;
2004-11-30;22,857211;
2004-12-31;21,689798;
2005-01-31;22,461017;
2005-02-28;22,335531;
2005-03-31;22,236197;
2005-04-30;21,974789;
2005-05-31;19,974913;
2005-06-30;null;
2005-07-31;18,076802;
2005-08-31;20,672433;
2005-09-30;20,61454;
2005-10-31;24,075881;
2005-11-30;20,008396;
2005-12-31;20,984742;
2006-01-31;23,189919;
2006-02-28;24,048855;
2006-03-31;21,985926;
2006-04-30;21,769744;
2006-05-31;19,175158;
2006-06-30;17,660107;
2006-07-31;18,750094;
2006-08-31;20,27686;
2006-09-30;20,262415;
2006-10-31;21,206241;
2006-11-30;21,118726;
2006-12-31;21,750731;
2007-01-31;22,032796;
2007-02-28;22,268194;
2007-03-31;23,816012;
2007-04-30;22,209819;
2007-05-31;19,662776;
2007-06-30;19,254825;
2007-07-31;19,083696;
2007-08-31;19,709911;
2007-09-30;21,241528;
2007-10-31;23,176075;
2007-11-30;22,763482;
2007-12-31;22,94664;
2008-01-31;21,726747;
2008-02-29;22,776935;
2008-03-31;22,163564;
2008-04-30;22,437675;
2008-05-31;19,846944;
2008-06-30;19,852821;

