Nome: BARBACENA
Codigo Estacao: A502
Latitude: -21.22833332
Longitude: -43.76777777
Altitude: 1168.76
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;18,960049;
2003-05-31;15,856454;
2003-06-30;17,353414;
2003-07-31;15,633619;
2003-08-31;null;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;20,941078;
2004-01-31;20,477222;
2004-02-29;20,560047;
2004-03-31;19,920452;
2004-04-30;19,754155;
2004-05-31;17,708737;
2004-06-30;15,964502;
2004-07-31;14,98636;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;19,475463;
2004-12-31;null;
2005-01-31;20,293321;
2005-02-28;19,844953;
2005-03-31;20,240188;
2005-04-30;19,848545;
2005-05-31;16,941935;
2005-06-30;15,940278;
2005-07-31;15,091918;
2005-08-31;17,374328;
2005-09-30;17,135168;
2005-10-31;20,523222;
2005-11-30;18,045798;
2005-12-31;18,820565;
2006-01-31;20,882124;
2006-02-28;21,500305;
2006-03-31;20,353997;
2006-04-30;18,747477;
2006-05-31;16,080196;
2006-06-30;14,615086;
2006-07-31;16,127554;
2006-08-31;17,305972;
2006-09-30;16,669899;
2006-10-31;18,266439;
2006-11-30;18,781741;
2006-12-31;19,705661;
2007-01-31;20,161559;
2007-02-28;20,406011;
2007-03-31;21,219045;
2007-04-30;19,317222;
2007-05-31;16,241812;
2007-06-30;16,588859;
2007-07-31;15,954599;
2007-08-31;16,685046;
2007-09-30;17,884831;
2007-10-31;19,837997;
2007-11-30;19,787223;
2007-12-31;20,385833;
2008-01-31;19,362365;
2008-02-29;20,284673;
2008-03-31;19,713575;
2008-04-30;19,391667;
2008-05-31;16,624167;
2008-06-30;15,870274;
2008-07-31;15,323253;
2008-08-31;17,557796;
2008-09-30;17,179444;
2008-10-31;19,353629;
2008-11-30;18,584659;
2008-12-31;19,042754;
2009-01-31;20,153448;
2009-02-28;20,977381;
2009-03-31;20,625134;
2009-04-30;18,300278;
2009-05-31;16,955242;
2009-06-30;15,164722;
2009-07-31;16,661156;
2009-08-31;16,515025;
2009-09-30;19,398472;
2009-10-31;19,131034;
2009-11-30;21,245;
2009-12-31;20,138575;
2010-01-31;21,647083;
2010-02-28;21,920982;
2010-03-31;20,789516;
2010-04-30;18,572917;
2010-05-31;16,969028;
2010-06-30;14,735344;
2010-07-31;16,039651;
2010-08-31;16,188114;
2010-09-30;17,909444;
2010-10-31;18,258602;
2010-11-30;19,038056;
2010-12-31;21,087097;
2011-01-31;21,177957;
2011-02-28;22,037946;
2011-03-31;19,46425;
2011-04-30;19,11875;
2011-05-31;16,089247;
2011-06-30;14,967222;
2011-07-31;15,802419;
2011-08-31;17,882188;
2011-09-30;17,179583;
2011-10-31;18,117204;
2011-11-30;17,534583;
2011-12-31;19,376408;
2012-01-31;19,49207;
2012-02-29;20,74569;
2012-03-31;19,941275;
2012-04-30;19,262083;
2012-05-31;15,784274;
2012-06-30;16,819589;
2012-07-31;16,079436;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;18,963611;
2012-12-31;22,146236;
2013-01-31;20,043817;
2013-02-28;21,366667;
2013-03-31;20,009339;
2013-04-30;17,61;
2013-05-31;16,54543;
2013-06-30;16,789015;
2013-07-31;15,589247;
2013-08-31;16,652016;
2013-09-30;17,644306;
2013-10-31;17,46074;
2013-11-30;18,724722;
2013-12-31;20,067473;
2014-01-31;21,734812;
2014-02-28;21,265923;
2014-03-31;19,967339;
2014-04-30;18,459583;
2014-05-31;16,69086;
2014-06-30;16,433194;
2014-07-31;15,046774;
2014-08-31;16,313657;
2014-09-30;18,305972;
2014-10-31;18,939651;
2014-11-30;19,279722;
2014-12-31;20,868145;
2015-01-31;22,288575;
2015-02-28;20,564732;
2015-03-31;19,960484;
2015-04-30;18,487639;
2015-05-31;16,22379;
2015-06-30;15,761389;
2015-07-31;16,550403;
2015-08-31;16,668817;
2015-09-30;19,62875;
2015-10-31;20,787097;
2015-11-30;21,056944;
2015-12-31;21,16371;
2016-01-31;20,560618;
2016-02-29;21,773132;
2016-03-31;20,670833;
2016-04-30;20,561806;
2016-05-31;17,080435;
2016-06-30;14,982639;
2016-07-31;16,222446;
2016-08-31;17,06371;
2016-09-30;18,337222;
2016-10-31;18,887839;
2016-11-30;18,885694;
2016-12-31;20,583602;
2017-01-31;21,514651;
2017-02-28;20,585565;
2017-03-31;19,789516;
2017-04-30;18,3375;
2017-05-31;16,431586;
2017-06-30;16,149722;
2017-07-31;13,582527;
2017-08-31;15,735215;
2017-09-30;17,656111;
2017-10-31;20,019355;
2017-11-30;18,692639;
2017-12-31;20,213979;
2018-01-31;20,798118;
2018-02-28;20,006399;
2018-03-31;20,893683;
2018-04-30;18,142361;
2018-05-31;16,450122;
2018-06-30;16,710833;
2018-07-31;16,380108;
2018-08-31;15,899597;
2018-09-30;17,878194;
2018-10-31;19,046505;
2018-11-30;18,831715;
2018-12-31;20,369758;
2019-01-31;22,344489;
2019-02-28;21,466071;
2019-03-31;20,241532;
2019-04-30;20,117778;
2019-05-31;18,576613;
2019-06-30;16,449722;
2019-07-31;15,591639;
2019-08-31;15,805511;
2019-09-30;19,156667;
2019-10-31;19,678629;
2019-11-30;19,466111;
2019-12-31;20,283737;
2020-01-31;20,908871;
2020-02-29;20,212213;
2020-03-31;19,003495;
2020-04-30;17,869722;
2020-05-31;15,680534;
2020-06-30;16,73875;
2020-07-31;16,641532;
2020-08-31;15,944855;
2020-09-30;20,427639;
2020-10-31;19,712903;
2020-11-30;19,206528;
2020-12-31;20,622446;
2021-01-31;21,262903;
2021-02-28;20,019792;
2021-03-31;20,571236;
2021-04-30;17,763611;
2021-05-31;17,147581;
2021-06-30;15,487603;
2021-07-31;14,767865;
2021-08-31;16,444127;
2021-09-30;19,84;
2021-10-31;18,090188;
2021-11-30;18,787639;
2021-12-31;19,183199;
2022-01-31;20,688978;
2022-02-28;19,993331;
2022-03-31;21,111425;
2022-04-30;19,026806;
2022-05-31;16,329199;
2022-06-30;15,615047;
2022-07-31;16,184677;
2022-08-31;15,780338;
2022-09-30;17,225692;
2022-10-31;19,591532;
2022-11-30;17,682639;
2022-12-31;18,992608;
2023-01-31;19,761559;
2023-02-28;21,142464;
2023-03-31;20,731111;
2023-04-30;18,277639;
2023-05-31;16,239306;
2023-06-30;15,468672;
2023-07-31;15,834636;
2023-08-31;17,676747;
2023-09-30;20,037778;
2023-10-31;20,815188;
2023-11-30;21,862778;

