Nome: CARANGOLA
Codigo Estacao: A503
Latitude: -20.74166666
Longitude: -42.01749999
Altitude: 399
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2010-09-21
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;23,299046;
2003-05-31;20,818414;
2003-06-30;20,609201;
2003-07-31;19,650602;
2003-08-31;20,286266;
2003-09-30;22,005114;
2003-10-31;null;
2003-11-30;24,164861;
2003-12-31;26,218787;
2004-01-31;25,587196;
2004-02-29;25,69805;
2004-03-31;24,692365;
2004-04-30;24,791516;
2004-05-31;23,584455;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;26,165115;
2005-01-31;26,890223;
2005-02-28;25,970445;
2005-03-31;26,151695;
2005-04-30;25,724336;
2005-05-31;23,252554;
2005-06-30;21,662083;
2005-07-31;20,820705;
2005-08-31;23,190694;
2005-09-30;23,680143;
2005-10-31;26,850447;
2005-11-30;24,005436;
2005-12-31;25,156317;
2006-01-31;27,591129;
2006-02-28;28,827116;
2006-03-31;26,489886;
2006-04-30;24,311889;
2006-05-31;21,748053;
2006-06-30;20,61776;
2006-07-31;21,065736;
2006-08-31;22,795833;
2006-09-30;20,078133;
2006-10-31;21,44422;
2006-11-30;22,186164;
2006-12-31;22,758236;
2007-01-31;23,488844;
2007-02-28;23,17632;
2007-03-31;24,220174;
2007-04-30;22,06811;
2007-05-31;18,819676;
2007-06-30;18,627391;
2007-07-31;18,672128;
2007-08-31;19,403945;
2007-09-30;21,079964;
2007-10-31;23,216293;
2007-11-30;22,812179;
2007-12-31;23,980511;
2008-01-31;22,737097;
2008-02-29;23,448994;
2008-03-31;22,844489;
2008-04-30;22,549583;
2008-05-31;18,951525;
2008-06-30;18,249751;
2008-07-31;17,330242;
2008-08-31;19,903763;
2008-09-30;20,13875;
2008-10-31;22,549328;
2008-11-30;21,423958;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;20,648707;
2009-09-30;23,745;
2009-10-31;23,187213;
2009-11-30;25,790054;
2009-12-31;25,070833;
2010-01-31;26,816887;
2010-02-28;26,549851;
2010-03-31;24,981855;
2010-04-30;22,701944;
2010-05-31;20,761828;
2010-06-30;18,299583;
2010-07-31;19,839516;
2010-08-31;19,516734;
2010-09-30;21,914484;

