Nome: ALFENAS
Codigo Estacao: A504
Latitude: -21.45
Longitude: -45.95
Altitude: 875
Situacao: Desativada
Data Inicial: 2003-01-01
Data Final: 2004-11-17
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;20,979362;
2003-05-31;17,140171;
2003-06-30;18,615179;
2003-07-31;17,12687;
2003-08-31;17,811832;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;null;
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;17,519049;
2004-06-30;16,27723;
2004-07-31;15,604653;
2004-08-31;18,3906;
2004-09-30;22,703485;
2004-10-31;20,277862;
2004-11-30;null;

