Nome: ARAXA
Codigo Estacao: A505
Latitude: -19.60583333
Longitude: -46.94972221
Altitude: 1018.32
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2003-01-31;22,14664;
2003-02-28;23,473958;
2003-03-31;21,874597;
2003-04-30;21,634306;
2003-05-31;18,646955;
2003-06-30;20,054255;
2003-07-31;18,976075;
2003-08-31;20,266532;
2003-09-30;21,739583;
2003-10-31;22,437366;
2003-11-30;21,711389;
2003-12-31;22,913978;
2004-01-31;22,074503;
2004-02-29;21,27703;
2004-03-31;21,314919;
2004-04-30;21,219275;
2004-05-31;19,427102;
2004-06-30;18,185296;
2004-07-31;17,497148;
2004-08-31;20,432065;
2004-09-30;23,79718;
2004-10-31;22,39034;
2004-11-30;22,406394;
2004-12-31;21,674909;
2005-01-31;22,38915;
2005-02-28;22,619661;
2005-03-31;22,272915;
2005-04-30;22,728101;
2005-05-31;19,68294;
2005-06-30;18,67449;
2005-07-31;18,609308;
2005-08-31;20,668717;
2005-09-30;21,695353;
2005-10-31;24,277627;
2005-11-30;21,402245;
2005-12-31;20,914651;
2006-01-31;22,802823;
2006-02-28;22,982798;
2006-03-31;22,129123;
2006-04-30;21,45124;
2006-05-31;19,503423;
2006-06-30;18,112013;
2006-07-31;19,355411;
2006-08-31;21,286144;
2006-09-30;21,031053;
2006-10-31;21,363073;
2006-11-30;21,608351;
2006-12-31;21,454214;
2007-01-31;21,842204;
2007-02-28;22,2875;
2007-03-31;23,602227;
2007-04-30;22,126872;
2007-05-31;19,671622;
2007-06-30;19,688919;
2007-07-31;19,285764;
2007-08-31;20,584128;
2007-09-30;23,074149;
2007-10-31;24,074772;
2007-11-30;22,178177;
2007-12-31;22,030671;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;19,515865;
2008-06-30;19,267889;
2008-07-31;18,660215;
2008-08-31;21,196774;
2008-09-30;21,661389;
2008-10-31;23,17836;
2008-11-30;21,795;
2008-12-31;21,11707;
2009-01-31;21,72379;
2009-02-28;22,71369;
2009-03-31;22,198521;
2009-04-30;20,906111;
2009-05-31;19,704301;
2009-06-30;17,92125;
2009-07-31;20,203091;
2009-08-31;20,05336;
2009-09-30;22,355;
2009-10-31;22,004023;
2009-11-30;23,23125;
2009-12-31;21,617473;
2010-01-31;22,990604;
2010-02-28;23,473661;
2010-03-31;22,468145;
2010-04-30;21,457778;
2010-05-31;19,839113;
2010-06-30;18,175;
2010-07-31;19,405411;
2010-08-31;20,430663;
2010-09-30;22,419028;
2010-10-31;22,375;
2010-11-30;21,359167;
2010-12-31;22,945968;
2011-01-31;22,482124;
2011-02-28;23,331548;
2011-03-31;21,166274;
2011-04-30;21,444583;
2011-05-31;19,921291;
2011-06-30;18,636827;
2011-07-31;19,846183;
2011-08-31;22,228017;
2011-09-30;22,816411;
2011-10-31;21,164002;
2011-11-30;21,073873;
2011-12-31;21,367882;
2012-01-31;20,696096;
2012-02-29;23,000219;
2012-03-31;22,203863;
2012-04-30;21,605557;
2012-05-31;18,470044;
2012-06-30;19,485483;
