Nome: MONTES CLAROS
Codigo Estacao: A506
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2003-01-31;24,001639;
2003-02-28;24,62381;
2003-03-31;24,607661;
2003-04-30;24,414306;
2003-05-31;22,353009;
2003-06-30;20,946528;
2003-07-31;20,365054;
2003-08-31;22,199866;
2003-09-30;24,145139;
2003-10-31;25,047984;
2003-11-30;25,425139;
2003-12-31;25,64422;
2004-01-31;23,843297;
2004-02-29;22,993391;
2004-03-31;22,710484;
2004-04-30;22,364547;
2004-05-31;21,695833;
2004-06-30;19,242307;
2004-07-31;18,83262;
2004-08-31;20,569944;
2004-09-30;23,084595;
2004-10-31;25,432667;
2004-11-30;25,406001;
2004-12-31;23,994186;
2005-01-31;24,43717;
2005-02-28;23,631619;
2005-03-31;23,729611;
2005-04-30;23,517154;
2005-05-31;21,303653;
2005-06-30;20,323691;
2005-07-31;20,178092;
2005-08-31;22,138696;
2005-09-30;24,131106;
2005-10-31;26,913165;
2005-11-30;23,795789;
2005-12-31;22,834543;
2006-01-31;24,410887;
2006-02-28;25,527956;
2006-03-31;23,576468;
2006-04-30;22,272141;
2006-05-31;19,834589;
2006-06-30;19,038937;
2006-07-31;19,28607;
2006-08-31;22,226963;
2006-09-30;23,211579;
2006-10-31;23,447744;
2006-11-30;23,184444;
2006-12-31;23,749709;
2007-01-31;24,645787;
2007-02-28;23,069345;
2007-03-31;24,063698;
2007-04-30;23,503194;
2007-05-31;21,767162;
2007-06-30;20,371685;
2007-07-31;20,882136;
2007-08-31;21,063651;
2007-09-30;23,156178;
2007-10-31;26,187962;
2007-11-30;26,396314;
2007-12-31;24,584274;
2008-01-31;24,277285;
2008-02-29;24,406178;
2008-03-31;23,308602;
2008-04-30;23,488195;
2008-05-31;21,246996;
2008-06-30;20,359735;
2008-07-31;19,369892;
2008-08-31;22,035887;
2008-09-30;24,126806;
2008-10-31;26,772917;
2008-11-30;22,794238;
2008-12-31;23,243125;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;22,902917;
2009-05-31;21,232124;
2009-06-30;20,873195;
2009-07-31;21,31828;
2009-08-31;22,344758;
2009-09-30;25,3425;
2009-10-31;24,995982;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;20,535618;
2010-08-31;20,751981;
2010-09-30;23,588889;
2010-10-31;26,054167;
2010-11-30;23,501697;
2010-12-31;24,170296;
2011-01-31;23,890591;
2011-02-28;25,193452;
2011-03-31;23,402122;
2011-04-30;23,142983;
2011-05-31;21,192204;
2011-06-30;20,818889;
2011-07-31;20,519086;
2011-08-31;22,74207;
2011-09-30;23,214306;
2011-10-31;23,503091;
2011-11-30;22,497663;
2011-12-31;23,251139;
2012-01-31;23,647517;
2012-02-29;24,700575;
2012-03-31;24,800672;
2012-04-30;25,004445;
2012-05-31;21,998925;
2012-06-30;22,135863;
2012-07-31;21,264651;
2012-08-31;21,124722;
2012-09-30;24,504028;
2012-10-31;26,225134;
2012-11-30;23,579722;
2012-12-31;26,422312;
2013-01-31;24,771371;
2013-02-28;25,675744;
2013-03-31;25,804598;
2013-04-30;22,917222;
2013-05-31;22,526344;
2013-06-30;22,158371;
2013-07-31;21,977571;
2013-08-31;22,787366;
2013-09-30;24,765972;
2013-10-31;24,028898;
2013-11-30;24,891667;
2013-12-31;23,691667;
2014-01-31;24,857527;
2014-02-28;25,366369;
2014-03-31;24,700538;
2014-04-30;24,494722;
2014-05-31;22,850134;
2014-06-30;21,351667;
2014-07-31;21,234812;
2014-08-31;22,335484;
2014-09-30;24,807222;
2014-10-31;25,348656;
2014-11-30;24,718889;
2014-12-31;24,934677;
2015-01-31;27,376619;
2015-02-28;25,331399;
2015-03-31;25,475941;
2015-04-30;24,596528;
2015-05-31;22,725403;
2015-06-30;22,14875;
2015-07-31;22,160215;
2015-08-31;22,873925;
2015-09-30;27,632917;
2015-10-31;28,337231;
2015-11-30;null;
2015-12-31;27,369758;
2016-01-31;24,288155;
2016-02-29;26,301006;
2016-03-31;26,174731;
2016-04-30;25,579994;
2016-05-31;23,601478;
2016-06-30;22,253194;
2016-07-31;22,323656;
2016-08-31;23,815767;
2016-09-30;25,665139;
2016-10-31;26,291339;
2016-11-30;24,998472;
2016-12-31;25,54664;
2017-01-31;27,161021;
2017-02-28;24,675;
2017-03-31;25,179167;
2017-04-30;24,908333;
2017-05-31;23,221909;
2017-06-30;22,495833;
2017-07-31;20,139785;
2017-08-31;22,373656;
2017-09-30;23,430417;
2017-10-31;27,039247;
2017-11-30;24,981944;
2017-12-31;24,31922;
2018-01-31;25,541667;
2018-02-28;24,069643;
2018-03-31;24,560556;
2018-04-30;23,101111;
2018-05-31;21,976344;
2018-06-30;21,531806;
2018-07-31;20,990188;
2018-08-31;23,829839;
2018-09-30;25,445694;
2018-10-31;26,786425;
2018-11-30;24,258889;
2018-12-31;24,181452;
2019-01-31;26,714113;
2019-02-28;26,056101;
2019-03-31;25,586109;
2019-04-30;25,033333;
2019-05-31;24,635484;
2019-06-30;22,29875;
2019-07-31;21,4625;
2019-08-31;23,004435;
2019-09-30;25,627313;
2019-10-31;26,748136;
2019-11-30;26,953333;
2019-12-31;26,013844;
2020-01-31;24,891935;
2020-02-29;25,27227;
2020-03-31;23,65;
2020-04-30;23,543611;
2020-05-31;21,13172;
2020-06-30;21,051806;
2020-07-31;20,964715;
2020-08-31;22,015054;
2020-09-30;25,46375;
2020-10-31;26,431048;
2020-11-30;23,9375;
2020-12-31;24,721932;
2021-01-31;25,638306;
2021-02-28;23,783333;
2021-03-31;24,061425;
2021-04-30;23,136806;
2021-05-31;22,220564;
2021-06-30;21,190694;
2021-07-31;20,539516;
2021-08-31;21,857322;
2021-09-30;26,270417;
2021-10-31;25,925134;
2021-11-30;23,178273;
2021-12-31;23,467204;
2022-01-31;24,226613;
2022-02-28;23,911607;
2022-03-31;24,758064;
2022-04-30;24,004167;
2022-05-31;21,121079;
2022-06-30;20,135;
2022-07-31;20,730645;
2022-08-31;22,235484;
2022-09-30;24,702778;
2022-10-31;25,927016;
2022-11-30;23,63;
2022-12-31;23,332124;
2023-01-31;23,732527;
2023-02-28;25,638244;
2023-03-31;25,627419;
2023-04-30;24,856389;
2023-05-31;22,525;
2023-06-30;21,088056;
2023-07-31;21,708199;
2023-08-31;23,608199;
2023-09-30;26,354583;
2023-10-31;27,337366;
2023-11-30;27,302917;

