Nome: UBERLANDIA
Codigo Estacao: A507
Latitude: -18.91694443
Longitude: -48.25555555
Altitude: 874.77
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;22,996806;
2003-05-31;19,852006;
2003-06-30;21,089169;
2003-07-31;20,588472;
2003-08-31;21,348396;
2003-09-30;23,835441;
2003-10-31;null;
2003-11-30;null;
2003-12-31;null;
2004-01-31;null;
2004-02-29;null;
2004-03-31;23,072688;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;24,429018;
2005-03-31;23,659259;
2005-04-30;null;
2005-05-31;null;
2005-06-30;20,105855;
2005-07-31;19,932596;
2005-08-31;22,099136;
2005-09-30;23,721446;
2005-10-31;26,060281;
2005-11-30;null;
2005-12-31;22,193817;
2006-01-31;23,895027;
2006-02-28;23,944631;
2006-03-31;23,200444;
2006-04-30;22,668524;
2006-05-31;20,427654;
2006-06-30;19,656178;
2006-07-31;20,676944;
2006-08-31;22,92875;
2006-09-30;22,761692;
2006-10-31;22,596505;
2006-11-30;22,804759;
2006-12-31;22,783144;
2007-01-31;22,96586;
2007-02-28;23,390476;
2007-03-31;24,649123;
2007-04-30;23,78;
2007-05-31;21,045694;
2007-06-30;20,638762;
2007-07-31;20,394741;
2007-08-31;21,960659;
2007-09-30;24,681232;
2007-10-31;25,348568;
2007-11-30;23,721474;
2007-12-31;23,421505;
2008-01-31;22,883871;
2008-02-29;22,962;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;20,814964;
2008-07-31;null;
2008-08-31;22,851751;
2008-09-30;23,699546;
2008-10-31;24,807527;
2008-11-30;23,769637;
2008-12-31;23,576926;
2009-01-31;23,32155;
2009-02-28;23,951339;
2009-03-31;24,002688;
2009-04-30;22,809722;
2009-05-31;21,614785;
2009-06-30;19,575833;
2009-07-31;21,865796;
2009-08-31;22,008333;
2009-09-30;23,874722;
2009-10-31;24,015374;
2009-11-30;24,714167;
2009-12-31;23,049866;
2010-01-31;24,255972;
2010-02-28;25,132143;
2010-03-31;24,258642;
2010-04-30;23,137361;
2010-05-31;21,580645;
2010-06-30;20,150556;
2010-07-31;21,485349;
2010-08-31;22,369618;
2010-09-30;24,882083;
2010-10-31;24,365188;
2010-11-30;23,415556;
2010-12-31;24,22836;
2011-01-31;23,465995;
2011-02-28;24,477827;
2011-03-31;22,58877;
2011-04-30;23,16;
2011-05-31;21,485753;
2011-06-30;19,786782;
2011-07-31;21,204839;
2011-08-31;23,439516;
2011-09-30;24,728889;
2011-10-31;22,907857;
2011-11-30;23,240556;
2011-12-31;23,219355;
2012-01-31;22,360951;
2012-02-29;24,301006;
2012-03-31;23,841304;
2012-04-30;23,504167;
2012-05-31;20,472984;
2012-06-30;21,24849;
2012-07-31;20,557515;
2012-08-31;21,411944;
2012-09-30;24,750139;
2012-10-31;26,140726;
2012-11-30;24,161528;
2012-12-31;25,270027;
2013-01-31;23,287366;
2013-02-28;24,217708;
2013-03-31;24,064435;
2013-04-30;22,146944;
2013-05-31;21,61707;
2013-06-30;21,429874;
2013-07-31;20,429301;
2013-08-31;21,602285;
2013-09-30;23,460695;
2013-10-31;23,948925;
2013-11-30;24,004583;
2013-12-31;23,761021;
2014-01-31;24,940323;
2014-02-28;24,859821;
2014-03-31;23,85;
2014-04-30;23,277778;
2014-05-31;21,487769;
2014-06-30;21,314583;
2014-07-31;20,403763;
2014-08-31;23,03469;
2014-09-30;24,84375;
2014-10-31;25,92379;
2014-11-30;23,838195;
2014-12-31;23,343414;
2015-01-31;26,409005;
2015-02-28;23,900149;
2015-03-31;22,89543;
2015-04-30;23,45125;
2015-05-31;21,196371;
2015-06-30;20,845972;
2015-07-31;21,643279;
2015-08-31;22,982527;
2015-09-30;25,824028;
2015-10-31;27,650134;
2015-11-30;25,239028;
2015-12-31;24,595015;
2016-01-31;23,868817;
2016-02-29;24,997988;
2016-03-31;24,791236;
2016-04-30;24,758056;
2016-05-31;22,500134;
2016-06-30;20,43;
2016-07-31;21,840188;
2016-08-31;22,798188;
2016-09-30;25,284583;
2016-10-31;24,86922;
2016-11-30;23,340139;
2016-12-31;24,214919;
2017-01-31;24,086425;
2017-02-28;24,31756;
2017-03-31;24,41586;
2017-04-30;23,81875;
2017-05-31;22,525538;
2017-06-30;20,89375;
2017-07-31;19,0375;
2017-08-31;23,10457;
2017-09-30;24,361111;
2017-10-31;25,921102;
2017-11-30;23,383056;
2017-12-31;23,977016;
2018-01-31;24,305914;
2018-02-28;23,808333;
2018-03-31;25,063575;
2018-04-30;22,904583;
2018-05-31;21,411425;
2018-06-30;22,042778;
2018-07-31;21,592876;
2018-08-31;22,507392;
2018-09-30;24,521667;
2018-10-31;24,722581;
2018-11-30;22,990972;
2018-12-31;24,675941;
2019-01-31;25,596505;
2019-02-28;24,740327;
2019-03-31;24,166667;
2019-04-30;24,21875;
2019-05-31;22,997312;
2019-06-30;21,413611;
2019-07-31;20,504973;
2019-08-31;22,914113;
2019-09-30;26,919167;
2019-10-31;26,078092;
2019-11-30;24,77;
2019-12-31;24,134677;
2020-01-31;24,391667;
2020-02-29;23,656178;
2020-03-31;24,098521;
2020-04-30;23,402917;
2020-05-31;20,000134;
2020-06-30;21,287778;
2020-07-31;21,57957;
2020-08-31;22,261693;
2020-09-30;26,230278;
2020-10-31;26,157661;
2020-11-30;24,514583;
2020-12-31;24,008333;
2021-01-31;24,835081;
2021-02-28;23,577827;
2021-03-31;24,207527;
2021-04-30;23,320139;
2021-05-31;22,329704;
2021-06-30;21,189861;
2021-07-31;19,750806;
2021-08-31;23,146371;
2021-09-30;27,394722;
2021-10-31;24,503629;
2021-11-30;24,406341;
2021-12-31;23,844489;
2022-01-31;23,58293;
2022-02-28;23,417262;
2022-03-31;24,864919;
2022-04-30;24,452361;
2022-05-31;20,300806;
2022-06-30;20,849167;
2022-07-31;21,659409;
2022-08-31;22,575134;
2022-09-30;24,431528;
2022-10-31;24,909005;
2022-11-30;23,371667;
2022-12-31;23,179032;
2023-01-31;22,946505;
2023-02-28;24,592857;
2023-03-31;24,404973;
2023-04-30;23,152778;
2023-05-31;21,79543;
2023-06-30;20,46875;
2023-07-31;22,031183;
2023-08-31;23,917624;
2023-09-30;null;
2023-10-31;26,663441;
2023-11-30;26,664638;

